Annotated	Significant	Expected	DEG	Term
GO:0042793	9	5	1,19	5	plastid transcription
GO:0014706	3	2	0,4	2	striated muscle tissue development
GO:0009408	74	27	9,79	27	response to heat
GO:0045454	36	14	4,76	14	cell redox homeostasis
GO:0010387	2	2	0,26	2	COP9 signalosome assembly
GO:0016560	4	3	0,53	3	protein import into peroxisome matrix, docking
GO:0015976	6	3	0,79	3	carbon utilization
GO:0019252	43	10	5,69	10	starch biosynthetic process
GO:0019287	6	3	0,79	3	isopentenyl diphosphate biosynthetic process, mevalonate pathway
GO:0015914	34	11	4,5	11	phospholipid transport
GO:0043328	5	4	0,66	4	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0015937	9	4	1,19	4	coenzyme A biosynthetic process
GO:1902584	3	2	0,4	2	positive regulation of response to water deprivation
GO:0019243	5	3	0,66	3	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0006825	12	3	1,59	3	copper ion transport
GO:0010499	22	8	2,91	8	proteasomal ubiquitin-independent protein catabolic process
GO:0006807	10254	1309	1356,77	1309	nitrogen compound metabolic process
GO:0009107	3	2	0,4	2	lipoate biosynthetic process
GO:0045175	3	2	0,4	2	basal protein localization
GO:0042823	7	4	0,93	4	pyridoxal phosphate biosynthetic process
GO:0000373	17	6	2,25	6	Group II intron splicing
GO:0010438	3	2	0,4	2	cellular response to sulfur starvation
GO:2001246	4	3	0,53	3	negative regulation of phosphatidylcholine biosynthetic process
GO:0006572	4	3	0,53	3	tyrosine catabolic process
GO:0046940	17	6	2,25	6	nucleoside monophosphate phosphorylation
GO:0000338	6	4	0,79	4	protein deneddylation
GO:0006515	30	13	3,97	13	protein quality control for misfolded or incompletely synthesized proteins
GO:0043403	2	2	0,26	2	skeletal muscle tissue regeneration
GO:0010193	12	6	1,59	6	response to ozone
GO:0009231	13	7	1,72	7	riboflavin biosynthetic process
GO:0043161	211	50	27,92	50	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:1901352	4	3	0,53	3	negative regulation of phosphatidylglycerol biosynthetic process
GO:0010121	2	2	0,26	2	arginine catabolic process to proline via ornithine
