baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Solyc01g067090.4.1	1902.98880681656	4.95756020015993	0.11559206560118	42.88841257725	0	0
Solyc01g080410.3.1	2142.80105887301	6.64611443506746	0.160597787414688	41.3835990025576	0	0
Solyc01g088400.4.1	4196.14890217931	6.98510587228259	0.134835047078674	51.8048239209416	0	0
Solyc01g095320.4.1	83219.9053947584	3.71442292436968	0.0802163252749453	46.3050745797482	0	0
Solyc01g098110.4.1	2269.90758320276	5.40957289224835	0.119916837384346	45.1110370340247	0	0
Solyc01g099190.4.1	97369.0403805503	4.89864042251732	0.076334736490965	64.173149049871	0	0
Solyc01g102310.3.1	1926.10072770566	-4.02569568222016	0.1067191991599	-37.7223190757677	0	0
Solyc01g102960.3.1	3671.17557661277	5.65401169353947	0.139740941796499	40.4606668657869	0	0
Solyc02g070020.1.1	3476.44499203716	6.06850760564885	0.122676485209309	49.4675698875365	0	0
Solyc02g078400.3.1	1548.30331930014	5.69406223414249	0.147779926041421	38.5306880756357	0	0
Solyc02g089620.3.1	2998.59941318528	-5.72370368321509	0.125084325685091	-45.7587603551939	0	0
Solyc03g031860.3.1	44479.5534019345	6.89123699991367	0.130856553720675	52.6625285778474	0	0
Solyc03g082420.3.1	5923.35560433123	7.07721134132074	0.12928291624787	54.7420459463633	0	0
Solyc03g083910.5.1	69640.3146068536	4.58966985482326	0.0878770373947065	52.2283180099529	0	0
Solyc03g095900.4.1	9423.71620937536	7.09662362856643	0.125338732837782	56.619557800629	0	0
Solyc03g111690.4.1	22995.5053006939	6.91005098519973	0.115155643091315	60.0061864073847	0	0
Solyc03g111720.3.1	41722.9952065174	6.77887680353853	0.0892525827131106	75.9516038356923	0	0
Solyc03g111970.4.1	2316.31427628873	4.99276129463386	0.111261597761687	44.874075108358	0	0
Solyc03g117630.1.1	2477.64622575802	5.42400750616886	0.125038422162431	43.3787264135723	0	0
Solyc03g120980.3.1	3521.2037032749	5.33229587448957	0.100770277063559	52.9153638341821	0	0
Solyc03g123630.4.1	6197.06253526039	-6.71556315503712	0.12171139852094	-55.1761234908637	0	0
Solyc04g006970.4.1	4712.71242953746	-5.00920496705451	0.102702675833059	-48.7738505975916	0	0
Solyc04g054480.3.1	2529.8161156787	-4.92871952390912	0.11098820746647	-44.4075964142238	0	0
Solyc04g071650.4.1	2517.81670794283	-6.44888603276222	0.142311157960865	-45.3153928698664	0	0
Solyc04g077020.3.1	10972.1992902784	-4.98797302797684	0.08651733832658	-57.6528719497653	0	0
Solyc04g081300.4.1	1533.62972119191	-5.63631401457796	0.14338186623217	-39.3098106663738	0	0
Solyc05g005080.3.1	9267.52520427155	-7.99514649483278	0.150443416387987	-53.1438775241161	0	0
Solyc05g005550.4.1	2587.06965420695	-7.82078608367702	0.203529914568046	-38.4257326510216	0	0
Solyc05g005560.4.1	12084.7500506763	-7.75189304902315	0.116018862141031	-66.8157996550602	0	0
Solyc05g054090.3.1	10284.7309397812	-4.91620699135135	0.118103063246596	-41.6264138812932	0	0
Solyc06g009050.3.1	3435.5177021765	4.94369513435895	0.0994254938736446	49.7226107887548	0	0
Solyc06g035720.3.1	1317.21159206044	-5.32430642673911	0.140447821051948	-37.9094982525204	0	0
Solyc06g069430.3.1	3546.46539210678	4.5383641524725	0.11266464701591	40.2820607233749	0	0
Solyc06g074260.4.1	2208.81755737173	-4.82443190499188	0.12084858818562	-39.9212930612121	0	0
Solyc06g076520.1.1	11189.9427117483	4.09521178903703	0.093279401419616	43.9026379534189	0	0
Solyc06g076560.2.1	9974.48903341337	6.10794653515602	0.0963890033766805	63.3676697671274	0	0
Solyc06g076570.4.1	8891.74234040633	3.81365706267478	0.0872403245667636	43.7143841636702	0	0
Solyc06g084540.3.1	3728.71193922639	4.2484462187173	0.101011915284184	42.0588621328964	0	0
Solyc07g047800.3.1	14935.9502730465	3.61923678975158	0.0793905926553896	45.5877285796516	0	0
Solyc07g049530.3.1	11517.4742023671	5.77485217889358	0.094435067529557	61.1515650908612	0	0
Solyc07g052480.3.1	1999.64408540432	5.17406743041183	0.115119203525657	44.9453025381526	0	0
Solyc07g062530.3.1	6257.78724933688	-3.72947878156709	0.0845088246881908	-44.1312347595369	0	0
Solyc08g005630.3.1	20277.3577418861	6.81501441899221	0.132687267442549	51.3614798943911	0	0
Solyc08g005770.3.1	5008.58529324318	7.54274639738225	0.142191620519406	53.0463494953476	0	0
Solyc08g005800.4.1	2748.54136264774	-6.19599256486665	0.133320395342686	-46.4744538818724	0	0
Solyc08g006890.3.1	9282.37957175418	-3.82890480843819	0.0777856413607882	-49.2237994243542	0	0
Solyc08g065610.3.1	5795.47254442859	3.91248343141903	0.0866683890665101	45.1431424255106	0	0
Solyc08g066240.3.1	11020.3564280499	7.58866079187241	0.119948281260332	63.2661069599006	0	0
Solyc08g066250.4.1	2916.00374110247	8.29906339205725	0.216556489161692	38.3228571177137	0	0
Solyc08g066690.4.1	4175.18583814534	5.30548652298062	0.107208458742991	49.4875738835067	0	0
Solyc08g066700.3.1	1790.99066311026	4.60880377982608	0.11230269909316	41.0391185344787	0	0
Solyc08g080090.3.1	3961.19766551378	6.21390383393486	0.115789678560605	53.6654381563248	0	0
Solyc09g066150.2.1	3195.5024381603	4.68571303925918	0.117850107099809	39.7599387439741	0	0
Solyc09g089580.4.1	40102.7049439067	5.50154598745472	0.090707266243793	60.6516568658157	0	0
Solyc09g098540.3.1	5023.78196679826	-4.58517475087197	0.100249985477655	-45.7374106243036	0	0
Solyc10g006880.3.1	1844.97965029558	6.56428301374888	0.161794959812521	40.5716162070512	0	0
Solyc10g024420.3.1	5136.15401512578	6.31740750791401	0.110401439965661	57.2221477353826	0	0
Solyc10g080840.1.1	4359.02794705923	7.61651024956865	0.144663640485111	52.6497897054687	0	0
Solyc10g080900.3.1	3517.20444854318	6.07769495333168	0.122014183619233	49.8113807186401	0	0
Solyc10g085230.2.1	5500.48770705283	6.27256292901635	0.10684435070705	58.7074832455552	0	0
Solyc10g085830.2.1	1440.11331226345	4.75398690082373	0.124213139399063	38.2728181883439	0	0
Solyc10g085880.1.1	50875.6589043996	6.07949908400839	0.10933006587679	55.6068363743577	0	0
Solyc11g020040.2.1	4873.45779938632	3.52232969458525	0.0860571300057658	40.9301320454128	0	0
Solyc11g020330.1.1	3438.23645490567	6.71553414637509	0.129981035436199	51.665491999188	0	0
Solyc12g008840.2.1	1369.36319656553	5.34895369945364	0.139641653807314	38.3048578530475	0	0
Solyc12g009300.3.1	2887.74635868369	-4.9559038397209	0.117245565733486	-42.2694351698237	0	0
Solyc12g013690.2.1	9906.55482682288	5.55925886974137	0.102648244534294	54.1583433303047	0	0
Solyc12g013700.2.1	4847.58499201241	6.68149710369712	0.121609962393693	54.9420209675488	0	0
Solyc12g088220.2.1	1475.27519037519	5.70583831425752	0.144547128800859	39.4738958953546	0	0
Solyc12g098710.2.1	11506.9285599034	6.08059463946491	0.0919804867243635	66.1074414368618	0	0
Solyc12g017250.2.1	1550.30297495495	3.9553709931438	0.105475029890417	37.5005439415683	9.02459893615513e-308	2.50083076153313e-305
Solyc09g092380.3.1	24290.5274452979	2.89219520201329	0.0772331949379565	37.447566481442	6.58017237037513e-307	1.79812349148793e-304
Solyc08g081010.3.1	4328.68224471408	3.31250037645481	0.088581837098483	37.3948033248854	4.74619697357007e-306	1.27919760897248e-303
Solyc09g008780.4.1	2001.16541355288	3.62256388601808	0.0970219260371963	37.3375795964848	4.03304068462606e-305	1.0722983171624e-302
Solyc02g091890.3.1	1758.47639129704	-4.0373335681891	0.108419490562139	-37.2380791244832	1.65230562265992e-303	4.33454841677787e-301
Solyc07g045440.1.1	2005.113765724	-7.29774518267067	0.197155145241043	-37.0152408335496	6.51203034571442e-300	1.68584469805173e-297
Solyc09g082690.3.1	2881.94176992624	3.89901864467279	0.105774826226211	36.8614989386446	1.91367798529422e-297	4.88982004683944e-295
Solyc10g007110.3.1	1380.34552961255	4.75757074289517	0.129855818926979	36.6373319440575	7.281731434112e-294	1.83677007648915e-291
Solyc03g080100.4.1	2169.59644201643	-4.21144544890711	0.115022099049626	-36.6142287760728	1.69822737140735e-293	4.2294460167645e-291
Solyc07g056420.4.1	2248.8033618005	4.64075023507725	0.127008549589423	36.538880650785	2.67789667230642e-292	6.58595212845361e-290
Solyc01g008710.5.1.1	10808.177084446	9.35571573912213	0.257718991260586	36.302003563495	1.50433922313608e-288	3.6540585450867e-286
Solyc03g005020.3.1	1524.00485795579	5.33719487636241	0.14709674114336	36.2835698117935	2.93842321257393e-288	7.05042398870634e-286
Solyc10g085040.1.1	2813.18932340153	3.2523360259702	0.0897689132235448	36.2300924583006	2.04557745040746e-287	4.84900437792371e-285
Solyc04g053130.4.1	4065.14216698942	2.99787302479521	0.0830018326567752	36.1181546098127	1.17686391747262e-285	2.75652352098497e-283
Solyc03g065340.3.1	2127.18408394451	-3.8296764881466	0.106055159711902	-36.1102326237582	1.56700846582656e-285	3.6271637135456e-283
Solyc05g053550.3.1	1929.43382512544	4.08780428424118	0.113795498447008	35.9223725017978	1.36704032212775e-282	3.1275021323097e-280
Solyc07g056140.3.1	1298.47875085626	-5.11265253264738	0.142554050755978	-35.8646597941938	1.08673779933324e-281	2.45765128757259e-279
Solyc02g084720.3.1	1301.55643774651	-5.97818040056006	0.168215888258565	-35.538738120688	1.24026763224113e-276	2.77298473458456e-274
Solyc02g065765.1.1	1597.06882568849	-7.07330164180877	0.199378070032769	-35.4768287236716	1.1193502094597e-275	2.47451858102468e-273
Solyc09g007270.3.1	5355.83218785781	2.90767059056724	0.0820120809066884	35.4541740487664	2.50138735516869e-275	5.46831069032712e-273
Solyc02g089160.3.1	1454.02205483796	7.18877359535452	0.202794251948216	35.4486062908242	3.04769962141896e-275	6.58939451114484e-273
Solyc04g063230.3.1	3679.290049243	-3.72667631496485	0.105225321966147	-35.4161550217332	9.63234989647096e-275	2.05996178492463e-272
Solyc11g008540.3.1	1750.94040825496	-4.08704517222851	0.116266793703147	-35.1522996554249	1.07207984880276e-270	2.26808290593488e-268
Solyc01g104650.3.1	2513.94384673901	3.76131308229513	0.107456308713632	35.0031852696422	2.01228416024238e-268	4.2118820056137e-266
Solyc01g006540.4.1	1553.65029230781	7.37266824876768	0.212504727761099	34.6941375208186	9.65701168483424e-264	2.00001794630646e-261
Solyc09g091510.3.1	1449.24376405989	7.14808244151773	0.206141879696964	34.6755470165774	1.84124681952941e-263	3.77359699731679e-261
Solyc11g066060.3.1	14790.7722175786	-3.13291024293505	0.0906389687740427	-34.5647163169431	8.56793975834637e-262	1.73787850253056e-259
Solyc11g069190.2.1	1613.96233234608	-3.66770943334167	0.106323939538868	-34.4956126461145	9.33341752571206e-261	1.87382642671821e-258
Solyc02g062500.3.1	11124.3822690574	2.87852624151823	0.0835646696619132	34.4466896496355	5.04735842062316e-260	1.00309875682587e-257
Solyc02g067580.3.1	2886.08565667892	2.92572759707487	0.085306925347362	34.2964839626042	8.8539646329599e-258	1.74201754153486e-255
Solyc09g075440.4.1	3346.4578054475	3.47336091336223	0.101928683165711	34.0763836585173	1.65102570088581e-254	3.21623075890379e-252
