baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g088400.4.1	4005,47364180307	7,9373835922294	0,168752645448143	47,0356098486678	0	0
mRNA:Solyc01g095530.2.1	2800,28902909297	-6,38317039988818	0,152142224852223	-41,9552849715995	0	0
mRNA:Solyc01g099190.4.1	35072,4770457366	3,50676075649174	0,0806089710020359	43,5033559280042	0	0
mRNA:Solyc01g101060.4.1	13801,4163009787	-3,61253452821621	0,0913703901156472	-39,5372562560348	0	0
mRNA:Solyc01g107825.1.1	2888,43658505244	7,30680360816739	0,168911180410118	43,2582591065103	0	0
mRNA:Solyc02g038740.4.1	2950,92076065228	5,53777314738458	0,134505369495148	41,1713909130172	0	0
mRNA:Solyc02g078400.3.1	1626,95906736595	6,49471177443134	0,162344915100472	40,0056371978876	0	0
mRNA:Solyc03g031860.3.1	32575,5445673544	5,57163009558171	0,0906917504324411	61,4348060216588	0	0
mRNA:Solyc03g082420.3.1	1886,31043553919	6,61988730949462	0,170436408659894	38,8408049755648	0	0
mRNA:Solyc03g095900.4.1	2980,32863456766	7,56783879449072	0,16656210100035	45,4355387512482	0	0
mRNA:Solyc03g097050.3.1	1568,47512243005	4,49880604226033	0,118691243508627	37,9034367597078	0	0
mRNA:Solyc03g111690.4.1	17812,534763737	8,25959647400729	0,136772631325759	60,3892488866061	0	0
mRNA:Solyc03g111720.3.1	11438,2018884912	5,4547017820881	0,111937332820198	48,7299602792023	0	0
mRNA:Solyc03g111970.4.1	1571,64083271303	4,51967399819045	0,114407758602323	39,5049606198531	0	0
mRNA:Solyc03g113620.3.1	1708,5777577407	-6,03439413494851	0,160623963832191	-37,5684548617716	0	0
mRNA:Solyc03g115230.3.1	3392,43870489306	4,45271210374614	0,106756271414424	41,7091384398475	0	0
mRNA:Solyc04g006970.4.1	3567,23070704791	-6,36156932726638	0,142076675335451	-44,7756066380802	0	0
mRNA:Solyc04g007770.3.1	7753,87148092958	-6,25457568542231	0,129384046851474	-48,3411659909065	0	0
mRNA:Solyc04g077020.3.1	6466,68746726303	-5,15670535336769	0,120308389530184	-42,8623920036261	0	0
mRNA:Solyc05g005080.3.1	9881,80585474382	-8,17804914675757	0,156023376912275	-52,4155373931927	0	0
mRNA:Solyc05g005560.4.1	8992,94022248813	-9,15651152910895	0,186097412887644	-49,2027878680785	0	0
mRNA:Solyc05g012020.4.1	2951,0386986874	8,1352000234074	0,192198292564339	42,3271191167534	0	0
mRNA:Solyc06g051800.3.1	3598,55833705288	7,95650362539554	0,187021720074694	42,5432063303547	0	0
