baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g006540.4.1	3621,27662315124	8,56418765029899	0,208997973244572	40,9773717770798	0	0
mRNA:Solyc01g088400.4.1	3648,51548154798	7,72600536423925	0,170765023102523	45,2434885310251	0	0
mRNA:Solyc01g099190.4.1	57653,7214972184	4,19301494977949	0,0924765182659973	45,3414015622733	0	0
mRNA:Solyc01g107825.1.1	2046,32981890612	6,72828929245184	0,173930541376124	38,6837713446884	0	0
mRNA:Solyc03g005020.3.1	1893,65132391265	6,12568082121711	0,155230571057399	39,4618197916185	0	0
mRNA:Solyc03g031860.3.1	44511,6518715948	5,95320599012176	0,0906205291389066	65,6937897702679	0	0
mRNA:Solyc03g082420.3.1	5377,86174497651	8,06293245323319	0,182458061972701	44,1906066854944	0	0
mRNA:Solyc03g095900.4.1	8606,1140593334	9,02480813511673	0,181940902174172	49,6029646290161	0	0
mRNA:Solyc03g111690.4.1	20185,0826010325	8,36554967492571	0,131082155503929	63,8191342121692	0	0
mRNA:Solyc03g111720.3.1	24523,9206121451	6,49473143376197	0,147390107725589	44,0649072993002	0	0
mRNA:Solyc03g115230.3.1	4291,85281894288	4,7270955440419	0,112947324245152	41,8522136370556	0	0
mRNA:Solyc04g006970.4.1	3885,2941991055	-4,44545924650001	0,112455431441243	-39,5308540416985	0	0
mRNA:Solyc04g011440.4.1	4382,07615796876	4,69968416665803	0,106457343225777	44,1461718304472	0	0
mRNA:Solyc05g005560.4.1	9605,70657515997	-6,03797908471295	0,112823737647516	-53,516921266842	0	0
mRNA:Solyc05g012020.4.1	2569,26238537354	7,85892660546669	0,206044865724934	38,1418220629588	0	0
mRNA:Solyc06g009050.3.1	2876,19261800684	4,86460408942417	0,121264076588307	40,1157888328262	0	0
mRNA:Solyc06g051800.3.1	3261,39277468984	7,73916834777177	0,176736682536654	43,7892588946086	0	0
mRNA:Solyc06g076560.2.1	3975,76444018055	5,90789600873031	0,12172274981654	48,5356765077578	0	0
mRNA:Solyc08g005770.3.1	5212,7968391197	8,584422479382	0,191278041157841	44,8792889524534	0	0
mRNA:Solyc08g066240.3.1	7282,3550732657	8,59117724985473	0,165617062717364	51,8737448237208	0	0
mRNA:Solyc08g066690.4.1	5091,85351384991	6,85155486355689	0,139040936030595	49,2772492703101	0	0
mRNA:Solyc08g080090.3.1	4979,0845349691	6,54199835662023	0,124112355354306	52,710290912977	0	0
mRNA:Solyc09g010210.3.1	3551,18156172108	7,97788551005851	0,177513873824394	44,9423210602155	0	0
mRNA:Solyc09g066150.2.1	4995,05805660444	5,82155657311544	0,12532430108817	46,4519372744778	0	0
mRNA:Solyc09g082690.3.1	4896,20626434057	6,97255428564843	0,172479450937398	40,4254202326928	0	0
mRNA:Solyc09g089580.4.1	34377,8269266646	7,11785524406945	0,121943256295892	58,3702244820996	0	0
mRNA:Solyc09g092500.1.1	2675,02549094937	5,22282674026256	0,137384573944837	38,0161075606615	0	0
mRNA:Solyc10g080840.1.1	1603,7385339111	6,75220996155695	0,17935490410429	37,6472000878812	0	0
mRNA:Solyc10g085230.2.1	9788,47438852501	7,504224895461	0,154190118725381	48,6686498298009	0	0
mRNA:Solyc10g085880.1.1	79459,7286444081	7,80588863793594	0,107037698145507	72,9265368480238	0	0
mRNA:Solyc10g085900.3.1	2358,77666182318	5,50537564699433	0,127988860378369	43,0144907198875	0	0
mRNA:Solyc11g020040.2.1	5427,86024912713	4,09617565505998	0,102833813313063	39,8329646941103	0	0
mRNA:Solyc11g066100.2.1	5915,19567704842	5,77560654322113	0,113246455233006	51,0003296027036	0	0
mRNA:Solyc12g013690.2.1	9869,72227119673	4,66597114562634	0,0971778601487012	48,0147549913786	0	0
mRNA:Solyc12g013700.2.1	9424,00115887274	5,30076473989188	0,105302272685277	50,3385596978956	0	0
mRNA:Solyc12g098710.2.1	15640,883435705	6,20947819203022	0,101739626556335	61,0330350347015	0	0
mRNA:Solyc09g098540.3.1	4136,88132963837	-4,28212949250227	0,11468835337015	-37,3370910530205	4,10733574381504e-305	2,11549992621306e-302
mRNA:Solyc03g113620.3.1	1797,47663883565	-6,17027064971707	0,16577479307961	-37,2208013962287	3,14519292606175e-303	1,57731425241997e-300
mRNA:Solyc10g080900.3.1	2353,69689977327	8,0583951763997	0,218502477169815	36,8801090073542	9,63054614782738e-298	4,7058799471576e-295
mRNA:Solyc02g078400.3.1	1495,04434256654	6,29544593441525	0,171194174860769	36,7737158085857	4,85878072705105e-296	2,3148446078853e-293
mRNA:Solyc04g077020.3.1	6940,75034497601	-4,41783315434625	0,12157599731986	-36,338037538143	4,06004279742051e-289	1,88712769732787e-286
mRNA:Solyc12g088220.2.1	2002,49344503528	7,75144411691429	0,215223470720406	36,0157936816478	4,73485353800176e-284	2,14838342556428e-281
mRNA:Solyc08g005800.4.1	1622,08392371023	-4,72925869778568	0,131640232723912	-35,9256330676985	1,2158274245259e-282	5,38837749516051e-280
mRNA:Solyc10g006880.3.1	2269,12496466097	5,9066040053837	0,166118542416655	35,5565605106797	6,5789005162404e-277	2,84941152586348e-274
mRNA:Solyc01g101060.4.1	14510,6359551609	-3,66039361947052	0,103258951307774	-35,4486809435079	3,03963865414139e-275	1,28725319626606e-272
mRNA:Solyc02g088610.4.1	4480,39059971197	3,51697939023706	0,099437116869941	35,3688793575653	5,1401409800633e-274	2,12947101428405e-271
mRNA:Solyc05g014390.4.1	2200,48971357192	5,04378459674442	0,14269023469513	35,3477910210245	1,08408829593027e-273	4,39563205437089e-271
mRNA:Solyc10g007600.3.1	4045,69666964568	-3,69803186978826	0,105535588948958	-35,0406143237311	5,41922051612683e-269	2,15154344532977e-266
mRNA:Solyc12g017250.2.1	1231,76074743203	4,67212268334692	0,133964593632679	34,8758023045816	1,73054515373782e-266	6,73040795811869e-264
mRNA:Solyc07g049530.3.1	6891,15968057476	4,41455595139597	0,127363348589168	34,6611171918529	3,03774800298527e-263	1,1578072738578e-260
mRNA:Solyc06g074260.4.1	1414,21408761868	-5,14269568085505	0,149822445553252	-34,3252685661653	3,29498907617712e-258	1,23122758479818e-255
mRNA:Solyc03g111970.4.1	2193,46598061835	4,93909025986247	0,144115390961845	34,271775047053	2,06705191486195e-257	7,57534775798541e-255
mRNA:Solyc01g080410.3.1	1073,22554659309	5,76687617182658	0,169123001653777	34,0987099060146	7,70817129470751e-255	2,77159661062719e-252
mRNA:Solyc11g020330.1.1	1211,25505670376	6,25320874086606	0,183650456384139	34,049513755557	4,12659385776458e-254	1,45630553976703e-251
mRNA:Solyc12g010320.2.1	4277,50900333306	4,34386004179488	0,127713940792436	34,0124188075494	1,45984801010694e-253	5,05824064156509e-251
mRNA:Solyc08g061270.1.1	3352,64674587816	4,17574527852542	0,122857469364394	33,9885340315793	3,29078903166136e-253	1,11986726029233e-250
mRNA:Solyc09g075440.4.1	3112,67739760427	3,52548441522331	0,103852269753208	33,9471099052645	1,34560943819626e-252	4,49882088836949e-250
mRNA:Solyc10g085040.1.1	2307,017838803	4,17543683590873	0,124899411025293	33,4303965217513	4,96042925298367e-245	1,62984310817431e-242
mRNA:Solyc03g097470.3.1	1143,17129434767	4,49231721990347	0,134427395703014	33,4181674532191	7,46783653491773e-245	2,41211120077843e-242
mRNA:Solyc01g110360.3.1	1184,0114910312	-4,96863587875268	0,150138511225777	-33,0936802169357	3,66395246851598e-240	1,16373236987515e-237
mRNA:Solyc04g054480.3.1	2275,44941280596	-3,76145185668872	0,113748159784664	-33,0682435989249	8,50605095207991e-240	2,6573739835047e-237
mRNA:Solyc01g095080.3.1	1813,54988605381	7,82978823977795	0,237256195275479	33,0014068997724	7,75355075009561e-239	2,3832163974931e-236
mRNA:Solyc01g104650.3.1	2887,87794255537	3,52582683674264	0,107495739040563	32,7996892547731	5,94848505208803e-236	1,7993695180578e-233
mRNA:Solyc02g077710.1.1	9305,71835853571	4,45455350931315	0,135912012396946	32,7752744643581	1,32550595254808e-235	3,94690108401701e-233
mRNA:Solyc03g117630.1.1	1129,812463839	6,71446579693465	0,205746372981168	32,6346739417332	1,32213992400655e-233	3,87631085104506e-231
mRNA:Solyc12g008560.1.1	3469,49488406213	-3,65317634743805	0,112689251197107	-32,418143777069	1,52362066948191e-230	4,39933925732071e-228
mRNA:Solyc09g015000.4.1	3614,4502065326	5,3911144755959	0,167268119643598	32,2303765181486	6,62701764162496e-228	1,88494142084249e-225
mRNA:Solyc08g066700.3.1	2113,51060900367	4,72051211939599	0,147006006661256	32,111015234047	3,09449082383009e-226	8,67231053378384e-224
mRNA:Solyc06g036290.3.1	1022,59420051963	4,87205306739331	0,154013778289111	31,6338779654349	1,26364575486645e-219	3,49004306528841e-217
mRNA:Solyc08g006890.3.1	6559,62053022623	-3,73631375705456	0,119133669019191	-31,3623662211955	6,59926637444801e-216	1,79660313282651e-213
mRNA:Solyc03g120980.3.1	2983,56669041485	3,88518822728276	0,124177845805495	31,2872896294907	6,9485052441915e-215	1,86503752730363e-212
mRNA:Solyc08g081010.3.1	3111,74702214054	3,27234956926937	0,104807891059724	31,2223587001158	5,29847736245294e-214	1,40240393189258e-211
mRNA:Solyc04g072160.3.1	1169,44186810989	4,03694086975887	0,129872053330903	31,0839843231946	3,96490796823478e-212	1,03505823494041e-209
mRNA:Solyc01g095530.2.1	3117,64811842693	-3,86079030107791	0,12469292171885	-30,9623854173773	1,73084427315296e-210	4,45739179911838e-208
mRNA:Solyc08g014130.3.1	1756,95026472795	3,33307073654266	0,107828518187882	30,9108461523608	8,53966900280106e-210	2,16987296248506e-207
mRNA:Solyc01g095900.4.1	2722,89889095803	3,57173039673331	0,116131320837826	30,7559611908757	1,01776626779488e-207	2,55204891649567e-205
mRNA:Solyc05g050010.3.1	1094,39150473103	7,29030495759373	0,237042519041098	30,7552627565932	1,0398887409075e-207	2,57365710850315e-205
mRNA:Solyc12g009300.3.1	3097,39087411882	-5,24013004288575	0,170980644414526	-30,6475043466414	2,85297808964321e-206	6,97041069927315e-204
mRNA:Solyc10g083720.3.1	962,200721135337	4,15560340472087	0,135926541686036	30,5724206117117	2,84777025029676e-205	6,8696148936589e-203
mRNA:Solyc06g076850.3.1	1528,53255247597	-4,79748583450374	0,157438614799384	-30,4721039410625	6,10508857334319e-204	1,45430841177752e-201
mRNA:Solyc09g092380.3.1	18045,138958151	3,1818038413316	0,104579865611388	30,4246311919636	2,5949338230792e-203	6,10514245264449e-201
mRNA:Solyc12g008840.2.1	1358,85944746838	4,08643402694721	0,136111270455475	30,0227454587163	4,95488013408e-198	1,15152622823369e-195
mRNA:Solyc02g091560.3.1	1627,52294247146	-3,74062699142116	0,125461786084461	-29,8148711903635	2,50653325207689e-195	5,75506074516016e-193
mRNA:Solyc05g051240.1.1	1089,40543117964	3,93440331809651	0,131981929165744	29,8101667627214	2,8843769351718e-195	6,54375848256773e-193
mRNA:Solyc04g007770.3.1	8596,21337807074	-3,92550552239909	0,131866122871796	-29,7688704036259	9,88373751435573e-195	2,21593395071855e-192
mRNA:Solyc07g054060.3.1	1691,16365958705	4,15403870568098	0,139973268315814	29,6773716557682	1,50443941022149e-193	3,33373277216173e-191
mRNA:Solyc08g007240.4.1	933,589753918468	-5,79876535460528	0,195697739029832	-29,6312332648938	5,9190413325378e-193	1,29654219165716e-190
mRNA:Solyc06g076520.1.1	6592,00356157781	3,12058136050687	0,105521505246948	29,572942057677	3,33041034126671e-192	7,21223066744542e-190
mRNA:Solyc04g015340.3.1	1052,5157235643	3,75632818384482	0,12709613491495	29,5550150786133	5,66152531555212e-192	1,2122661566121e-189
mRNA:Solyc04g071650.4.1	886,915450018567	-4,94710704949783	0,167618830623396	-29,514029128463	1,90216606435223e-191	4,02773096537339e-189
mRNA:Solyc03g044300.3.1	3606,84634172678	4,372431328242	0,148227535201726	29,4981045342991	3,04470459510768e-191	6,37614675483155e-189
mRNA:Solyc06g035720.3.1	995,29232659755	-5,85057275663394	0,199055158466656	-29,3917163549117	7,00773155814892e-190	1,45159065547439e-187
mRNA:Solyc04g081300.4.1	1073,92885960917	-4,08378855233562	0,138979230057032	-29,3841644586734	8,75132489439426e-190	1,79326880120937e-187
mRNA:Solyc08g066250.4.1	1681,12930189904	8,78268967699524	0,299430187445986	29,3313434824588	4,13348262897138e-189	8,37997643194762e-187
mRNA:Solyc12g056940.2.1	3222,33468031767	3,38672010785902	0,115771245171704	29,2535517160247	4,04667676721917e-188	8,11763359504165e-186
mRNA:Solyc06g072430.3.1	906,891563240569	4,55790139713668	0,156011685277448	29,2151282708792	1,24595988786545e-187	2,47336016490124e-185
mRNA:Solyc01g088090.3.1	1191,90436992436	3,61463943867922	0,124494846883996	29,0344502535702	2,41846799529869e-185	4,75141696767084e-183
mRNA:Solyc03g083910.5.1	65895,7895008813	3,08915326278148	0,106890671203011	28,9001203567562	1,18977338612153e-183	2,31362361421612e-181
mRNA:Solyc08g062340.3.1	867,774676870839	5,15826639452803	0,180072470392307	28,6455024651475	1,82377442787822e-180	3,51067366384599e-178
mRNA:Solyc10g083400.1.1	811,317943814753	6,19965332009849	0,2171643690281	28,5482068160835	2,95667908650894e-179	5,63454333516008e-177
mRNA:Solyc04g150102.1.1	1336,3934653136	7,91208379896655	0,277405387610885	28,521738049532	6,29828615859895e-179	1,1883805873705e-176
mRNA:Solyc10g085830.2.1	1934,753893392	3,12450883050032	0,109648438299938	28,4956984243895	1,32440057256184e-178	2,47442173640303e-176
mRNA:Solyc07g047800.3.1	13363,8517385601	2,87885461896398	0,101106342453161	28,4735314235864	2,49217231051369e-178	4,61100269140382e-176
