baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g088400.4.1	5428,82806582819	5,37222853833464	0,128816687082638	41,7044457515684	0	0
mRNA:Solyc02g038740.4.1	6481,79043696139	6,57824602206941	0,151988376023078	43,2812442253517	0	0
mRNA:Solyc03g111690.4.1	22114,5938026981	6,11361357720068	0,138364628387081	44,1848010468223	0	0
mRNA:Solyc04g006970.4.1	6819,42499750756	-6,98873810491973	0,171861118911906	-40,6650331917254	0	0
mRNA:Solyc05g005560.4.1	7523,89578291664	-7,85903438995278	0,175972290433801	-44,6606358909062	0	0
mRNA:Solyc08g005630.3.1	19048,9747130444	7,03873978675259	0,180266651479119	39,0462668996097	0	0
mRNA:Solyc10g007600.3.1	12820,3514562052	-9,51652057521482	0,218735966062827	-43,5068852484982	0	0
mRNA:Solyc12g088220.2.1	4972,88090727915	6,66400570280892	0,176280541851404	37,8034105909791	0	0
mRNA:Solyc08g080640.2.1	7680,40502713939	4,40739190043844	0,122114602564484	36,0922593029862	2,9997373581896e-285	6,39044048539657e-282
mRNA:Solyc01g107825.1.1	3860,33814870722	4,76909755072864	0,133297764177192	35,7777760202271	2,44806909616769e-280	4,69368287808231e-277
mRNA:Solyc05g005080.3.1	3306,51662835726	-6,34176849223153	0,179062919300617	-35,4164252264018	9,54053868843834e-275	1,6629158933948e-271
mRNA:Solyc10g083880.2.1	1909,54138170595	5,92603459420576	0,175805449763435	33,7079117978418	4,4265794628318e-249	7,07256733673951e-246
mRNA:Solyc08g014130.3.1	8431,37320993262	3,81233366402569	0,115547983205055	32,9935110789447	1,00636686174329e-238	1,48423629540031e-235
mRNA:Solyc10g080210.2.1	13374,0507882717	4,6277865668136	0,140886496356684	32,8476233456567	1,23159095877744e-236	1,6866638180457e-233
mRNA:Solyc08g006930.3.1	1910,51993084084	-7,01728399770194	0,218687218503337	-32,0882219167961	6,43652549886967e-226	8,22716689265521e-223
mRNA:Solyc03g113620.3.1	1757,93084275631	-5,38861119157064	0,168979696907922	-31,8891043727396	3,78085502465755e-223	4,53064583673495e-220
mRNA:Solyc07g062530.3.1	9371,41784354665	-5,03923684268511	0,15884984734653	-31,7232715477027	7,42233432505446e-221	8,37108329495701e-218
mRNA:Solyc01g111630.3.1	1731,89641448376	-5,04033440848382	0,159236642785735	-31,6531064728987	6,87246269486895e-220	7,32031818048458e-217
mRNA:Solyc04g076880.3.1	20358,3032645031	4,7906771092324	0,155343575220566	30,839235561756	7,81020799063266e-209	7,88132198970526e-206
mRNA:Solyc10g086580.2.1	3852,31692370503	-4,2645880083679	0,138958668843605	-30,6896147167875	7,83118560111913e-207	7,50736607651286e-204
mRNA:Solyc10g006230.3.1	1631,91904852379	-7,06179902942381	0,234465432771874	-30,1187213225357	2,75580281871784e-199	2,51604797348939e-196
mRNA:Solyc01g095530.2.1	3332,60651269701	-5,97004859102474	0,19968855817192	-29,8967985230524	2,1656895837337e-196	1,88739847222392e-193
mRNA:Solyc02g091560.3.1	1432,29712786571	-6,53379484855521	0,219904029777611	-29,7120287207235	5,36936581087827e-194	4,47595003008561e-191
mRNA:Solyc08g066250.4.1	1329,67161544932	6,36536213571549	0,214465570523103	29,6801119181495	1,38680242286243e-193	1,10788178556422e-190
mRNA:Solyc08g066240.3.1	6222,43023545566	5,33503143975674	0,179907713524063	29,6542673754962	2,98800162403761e-193	2,29155820550692e-190
mRNA:Solyc06g071820.3.1	1971,65094644519	-4,48396770572453	0,152816060600985	-29,3422542636572	3,00014870091954e-189	2,21237888625886e-186
mRNA:Solyc02g077710.1.1	11548,0785366802	4,71722077576704	0,162032898103958	29,1127347036682	2,47693739241866e-186	1,75890076388307e-183
mRNA:Solyc12g013700.2.1	9945,68253487541	3,82952977675165	0,131688915018468	29,0801224705557	6,40475438403789e-186	4,38565556446994e-183
mRNA:Solyc02g036350.3.1	4114,85220830599	-5,73883460021048	0,198557619944151	-28,9026157838952	1,10689130660636e-183	7,31807828329786e-181
mRNA:Solyc09g010210.3.1	2703,79380436532	5,38248659911729	0,190192684813897	28,3001767622348	3,43861871755229e-176	2,19762122238767e-173
mRNA:Solyc07g064160.3.1	5278,36346402381	-3,72990904912845	0,135318704309381	-27,5638838560019	3,0169739180875e-167	1,86594970746747e-164
mRNA:Solyc06g063370.3.1	1538,83539230684	-5,90237240783839	0,214320851279961	-27,5398887816486	5,84877654273484e-167	3,50433102043297e-164
mRNA:Solyc04g081890.1.1	814,77243882404	5,40830270221987	0,19704261809815	27,4473753669164	7,46729827281935e-166	4,33850029650804e-163
mRNA:Solyc06g059740.4.1	46258,1379469963	4,65660877951939	0,170007264416895	27,3906458967562	3,54478541076813e-165	1,99894619648992e-162
mRNA:Solyc09g066150.2.1	14258,1117552672	5,09592652657367	0,186131899055703	27,3780397257358	5,00856004013801e-165	2,7436891899876e-162
mRNA:Solyc11g007990.2.1	1089,17954990313	-5,00258226374668	0,182970868918512	-27,3408673922549	1,38670877856492e-164	7,38537983650698e-162
mRNA:Solyc10g083720.3.1	1108,71914836323	3,99482324629701	0,146898525979009	27,1944406499209	7,55657053556309e-163	3,91573315887435e-160
mRNA:Solyc05g051850.3.1	7357,33362708549	-4,59008085674109	0,169122460079321	-27,1405752647417	3,27133454506988e-162	1,65056045349012e-159
mRNA:Solyc01g067090.4.1	746,784163203011	4,45874296686	0,167374405960325	26,6393355739044	2,37878566677076e-156	1,16944763048707e-153
mRNA:Solyc03g120570.3.1	940,884927793265	6,0447150897574	0,227062257207575	26,6213996288756	3,83781260972155e-156	1,83955952915478e-153
mRNA:Solyc03g111550.4.1	1507,0129731679	4,17112503828841	0,15691868007175	26,5814435628772	1,11260426007558e-155	5,20291743376319e-153
mRNA:Solyc09g011080.3.1	1206,1527760074	-7,00041531135793	0,264705094005563	-26,4460921602469	4,04663050566758e-154	1,84728682583725e-151
mRNA:Solyc08g079430.3.1	1631,85937345235	-4,65382635499475	0,17643853030517	-26,3764742709284	2,55135775858136e-153	1,13760889082047e-150
mRNA:Solyc07g009380.4.1	1354,15004468938	-7,13834742747342	0,271281145794968	-26,3134668152299	1,34494743833047e-152	5,86060846252501e-150
mRNA:Solyc06g059720.3.1	564,519963426805	5,37550561491888	0,205113020598522	26,2075298741791	2,18092516520741e-151	9,29219515389372e-149
mRNA:Solyc09g083090.4.1	1214,45998008174	-3,7634962661426	0,143858751801661	-26,1610518582238	7,37807642337628e-151	3,07521433185638e-148
mRNA:Solyc01g110360.3.1	1299,25418841265	-7,41995071461046	0,285289536375545	-26,0084923158314	3,96955985196055e-149	1,61932704343914e-146
mRNA:Solyc05g051240.1.1	1798,19464150985	3,33272678732344	0,128169139180101	26,0025682363393	4,63177970896169e-149	1,85010650749838e-146
mRNA:Solyc04g007770.3.1	10223,34057047	-4,28017431447946	0,166074588079326	-25,7726023227287	1,79913338273552e-146	7,0397519075894e-144
mRNA:Solyc01g108400.3.1	661,736852463303	4,16233761553697	0,162241513475284	25,6551946932563	3,6998049107102e-145	1,41872719106093e-142
mRNA:Solyc01g065530.3.1	2058,1507657572	3,49513185711981	0,136911648059347	25,5283747340823	9,54659529626927e-144	3,58895826696805e-141
mRNA:Solyc07g005390.3.1	871,350813200921	-5,29736320218693	0,207968223152694	-25,4719837573335	4,0300716127375e-143	1,48593390444262e-140
mRNA:Solyc04g009030.3.1	936,645480625746	-6,77165507390091	0,269327737138039	-25,1428061062654	1,69391029466275e-139	6,12780039237151e-137
mRNA:Solyc03g080060.1.1	879,87723595974	-6,16118148177394	0,245411659602091	-25,1054961763578	4,33144113615871e-139	1,53790223895502e-136
mRNA:Solyc04g054480.3.1	1203,07658137931	-3,88706279444252	0,155100049622942	-25,0616476519009	1,30334680394296e-138	4,54346695854515e-136
mRNA:Solyc05g005700.4.1	831,691686456058	-4,49923181683905	0,179790630396462	-25,0248403207534	3,2810893834104e-138	1,12336297764513e-135
