baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g006540.4.1	6231,71097015685	5,71024407017897	0,129716334335081	44,0210101484088	0	0
mRNA:Solyc01g080410.3.1	3352,07374495371	5,88520446673458	0,155547464919408	37,8354251532405	0	0
mRNA:Solyc01g088400.4.1	5989,90242946076	5,34077700664339	0,113510028996753	47,0511465272919	0	0
mRNA:Solyc01g095530.2.1	3727,35166784075	-6,83547935333497	0,170286469109581	-40,1410598803141	0	0
mRNA:Solyc01g098110.4.1	2963,02503875767	5,73208625125274	0,137885374675667	41,5713868474864	0	0
mRNA:Solyc02g036350.3.1	4743,06179515256	-4,57913856790425	0,115888507512229	-39,5133103894798	0	0
mRNA:Solyc02g077710.1.1	21420,9738363118	5,45677207702003	0,137204852160801	39,7709847070482	0	0
mRNA:Solyc03g044330.1.1	2988,54793559496	-6,15021610541308	0,163746196984087	-37,5594439363422	0	0
mRNA:Solyc03g111690.4.1	27423,504696831	6,25329654051663	0,114298015443601	54,7104559623979	0	0
mRNA:Solyc04g006970.4.1	7688,89606392973	-6,82388958761786	0,141454322344914	-48,2409407821337	0	0
mRNA:Solyc04g007770.3.1	11164,0087610592	-5,76193490124608	0,153125630783722	-37,6288076121258	0	0
mRNA:Solyc05g005080.3.1	3701,61964647777	-7,37647681550842	0,178228169669836	-41,3878279127997	0	0
mRNA:Solyc05g005560.4.1	8485,68310481651	-7,62524738907978	0,148121472204669	-51,4796894439685	0	0
mRNA:Solyc05g012020.4.1	8021,65892382697	5,41365538412807	0,14220981482075	38,0680854619759	0	0
mRNA:Solyc05g051850.3.1	8040,57053100224	-6,64868563248872	0,130001022805914	-51,1433332521924	0	0
mRNA:Solyc07g062530.3.1	10754,4403124246	-4,33978097281712	0,106220161705062	-40,8564711553278	0	0
mRNA:Solyc08g005630.3.1	27395,4124140114	7,39289799118563	0,115953957934535	63,7571853766259	0	0
mRNA:Solyc08g014000.3.1	9622,37225079532	-4,46539154729592	0,107003599719644	-41,7312273511873	0	0
mRNA:Solyc08g066240.3.1	14677,3735844082	6,41881023456897	0,133896451238094	47,9386135720288	0	0
mRNA:Solyc08g066250.4.1	2553,32190410025	7,13924012376528	0,177747273557543	40,1651174776195	0	0
mRNA:Solyc09g010210.3.1	7775,13928435389	6,75337216225397	0,152958017391438	44,1518024189035	0	0
mRNA:Solyc10g007600.3.1	14489,2339622069	-8,02573753426887	0,149485310900142	-53,6891383236321	0	0
mRNA:Solyc10g080210.2.1	129753,327230527	7,78359054769247	0,126046343205761	61,7518156396361	0	0
mRNA:Solyc12g088220.2.1	6292,19468915455	6,83184986996224	0,165126711290282	41,3733781565618	0	0
mRNA:Solyc12g098710.2.1	15533,3105327319	5,27107235850534	0,121652083720342	43,3290758144568	0	0
mRNA:Solyc02g038740.4.1	2138,70641229216	4,76873686857821	0,128690382454474	37,0558916495973	1,44344017818762e-300	1,07625120362866e-297
mRNA:Solyc10g080900.3.1	5353,3569756465	4,25318528167129	0,114992867411255	36,9865138370749	1,88657973439531e-299	1,35456424929583e-296
mRNA:Solyc03g113620.3.1	1968,57217161129	-5,81149463471677	0,159081177463035	-36,5316294950555	3,49087583600645e-292	2,41693281988647e-289
mRNA:Solyc06g059740.4.1	44597,6932895309	4,42254151927771	0,121170199988951	36,4985905749185	1,16753048448203e-291	7,80473999040296e-289
mRNA:Solyc06g051800.3.1	6924,03938676872	5,41352453092787	0,148460105713486	36,4645067771638	4,0521735828897e-291	2,61851456926333e-288
mRNA:Solyc01g107825.1.1	3082,75684743068	4,25103840030226	0,117650509927392	36,1327664701648	6,93911506397925e-286	4,33940918162264e-283
mRNA:Solyc07g056420.4.1	10133,6230038514	4,46045047555938	0,123743669285994	36,0458882567195	1,59964860434153e-284	9,69087120117651e-282
mRNA:Solyc08g014130.3.1	8350,91088154638	3,61202585776479	0,100516336534194	35,9347145181325	8,77107600799453e-283	5,1526084694237e-280
mRNA:Solyc05g050010.3.1	1687,32208727353	5,97449740337737	0,166505284617606	35,8817284214031	5,88839940077396e-282	3,35742678774718e-279
mRNA:Solyc09g066150.2.1	9583,99033980457	4,32139687901309	0,12081076180657	35,7699663042607	3,23782345394226e-280	1,79338415651785e-277
mRNA:Solyc01g108880.4.1	2230,644890714	7,00570025310686	0,197827681165753	35,4131444690848	1,07169838160455e-274	5,77109578494048e-272
mRNA:Solyc03g113930.3.1	1791,33076671416	5,59032311444317	0,158349946786932	35,3035995772405	5,17108125223486e-273	2,70936705826554e-270
