term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006468,"protein phosphorylation",4.137%,-1.787,-6.415,5.725,-6.4943,0.746,0.000,6468,0
GO:0006913,"nucleocytoplasmic transport",0.237%, 0.287, 1.531,4.483,-4.8057,0.967,0.000,6913,0
GO:0048229,"gametophyte development",0.024%, 1.099, 2.944,3.494,-2.3019,0.914,0.000,48229,0
GO:0071289,"cellular response to nickel ion",0.000%, 6.480, 2.017,0.602,-2.3025,0.869,0.018,71289,0
GO:0019877,"diaminopimelate biosynthetic process",0.136%,-6.142, 0.493,4.242,-3.0702,0.761,0.061,19877,0
GO:0009089,"lysine biosynthetic process via diaminopimelate",0.288%,null,null,4.567,-1.5678,0.748,0.937,19877,1
GO:0005975,"carbohydrate metabolic process",5.260%, 0.675,-0.479,5.829,-1.7036,0.920,0.094,5975,0
GO:0015977,"carbon fixation",0.036%,-0.561,-0.238,3.664,-2.2820,0.905,0.108,15977,0
GO:0009773,"photosynthetic electron transport in photosystem I",0.003%,-2.449, 2.091,2.597,-1.4774,0.886,0.110,9773,0
GO:0006556,"S-adenosylmethionine biosynthetic process",0.050%,-3.477,-1.986,3.810,-2.4350,0.879,0.119,6556,0
GO:0001678,"cellular glucose homeostasis",0.049%,-0.860, 1.936,3.795,-2.0213,0.867,0.131,1678,0
GO:0010119,"regulation of stomatal movement",0.004%, 3.280, 1.892,2.697,-1.3762,0.880,0.142,10119,0
GO:0001878,"response to yeast",0.003%, 6.035, 1.302,2.511,-1.5349,0.904,0.143,1878,0
GO:0006270,"DNA replication initiation",0.141%, 2.361,-7.082,4.259,-5.4453,0.725,0.144,6270,0
GO:0032508,"DNA duplex unwinding",0.590%,null,null,4.879,-2.7753,0.816,0.809,6270,1
GO:0006268,"DNA unwinding involved in DNA replication",0.058%,null,null,3.873,-3.4041,0.659,0.732,6270,1
GO:0007059,"chromosome segregation",0.476%,-3.808, 3.082,4.786,-2.8935,0.875,0.156,7059,0
GO:0007017,"microtubule-based process",0.658%,-3.952, 3.145,4.927,-2.6885,0.873,0.180,7017,0
GO:0051301,"cell division",1.230%,-4.227, 3.362,5.198,-1.6016,0.867,0.198,51301,0
GO:0019722,"calcium-mediated signaling",0.040%, 6.482, 1.363,3.707,-1.4987,0.818,0.200,19722,0
GO:0006364,"rRNA processing",0.952%, 0.760,-6.628,5.087,-3.2709,0.639,0.216,6364,0
GO:0042273,"ribosomal large subunit biogenesis",0.151%,null,null,4.287,-2.6086,0.842,0.752,6364,1
GO:0070476,"rRNA (guanine-N7)-methylation",0.035%,null,null,3.649,-1.5349,0.655,0.728,6364,1
GO:0042254,"ribosome biogenesis",1.422%,null,null,5.261,-2.8060,0.819,0.912,6364,1
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.016%,null,null,3.317,-1.5349,0.707,0.855,6364,1
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.017%,null,null,3.340,-1.5349,0.706,0.935,6364,1
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.066%,null,null,3.928,-2.0930,0.685,0.768,6364,1
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.037%,null,null,3.676,-2.3929,0.705,0.732,6364,1
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.061%,null,null,3.892,-2.0226,0.697,0.762,6364,1
GO:0009718,"anthocyanin-containing compound biosynthetic process",0.001%,-5.675, 2.716,2.188,-2.0020,0.872,0.221,9718,0
GO:0006839,"mitochondrial transport",0.182%, 0.839, 1.883,4.369,-1.7585,0.967,0.232,6839,0
GO:0019318,"hexose metabolic process",0.641%,-4.892, 1.501,4.915,-2.2983,0.823,0.275,19318,0
GO:0006004,"fucose metabolic process",0.026%,null,null,3.518,-1.7373,0.853,0.716,19318,1
GO:0031145,"anaphase-promoting complex-dependent catabolic process",0.021%,-1.469,-3.500,3.421,-1.5678,0.853,0.286,31145,0
GO:0030388,"fructose 1,6-bisphosphate metabolic process",0.014%,-4.256,-1.813,3.249,-1.3981,0.888,0.292,30388,0
GO:0034220,"ion transmembrane transport",3.528%, 0.369, 2.210,5.656,-3.2531,0.952,0.305,34220,0
GO:1901962,"S-adenosyl-L-methionine transmembrane transport",0.002%, 0.725, 2.070,2.326,-2.3025,0.934,0.307,1901962,0
GO:0080156,"mitochondrial mRNA modification",0.003%, 0.867,-7.468,2.593,-3.6190,0.795,0.309,80156,0
