term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006515,"misfolded or incompletely synthesized protein catabolic process",0.056%,-3.576,-4.808,3.860,-5.0290,0.785,0.000,6515,0
GO:0009835,"fruit ripening",0.000%, 1.710,-1.577,1.505,-3.7100,0.930,0.000,9835,0
GO:0045175,"basal protein localization",0.000%, 4.115, 2.093,1.681,-2.5726,0.941,0.000,45175,0
GO:0048511,"rhythmic process",0.077%, 1.532,-4.206,3.994,-1.5828,0.984,0.000,48511,0
GO:0050896,"response to stimulus",12.210%, 0.968,-0.658,6.195,-1.7839,0.986,0.000,50896,0
GO:2000582,"positive regulation of ATP-dependent microtubule motor activity, plus-end-directed",0.000%, 4.906,-4.270,1.716,-1.5826,0.946,0.000,2000582,0
GO:0006807,"nitrogen compound metabolic process",38.744%, 0.108,-2.518,6.696,-3.6045,0.971,0.017,6807,0
GO:0034605,"cellular response to heat",0.041%, 0.641,-6.767,3.726,-4.0668,0.851,0.021,34605,0
GO:0009408,"response to heat",0.166%,null,null,4.328,-2.0244,0.875,0.865,34605,1
GO:0006914,"autophagy",0.230%, 0.596, 0.121,4.470,-3.2176,0.948,0.024,6914,0
GO:0042026,"protein refolding",0.069%, 0.335,-3.577,3.949,-1.5778,0.951,0.024,42026,0
GO:0006457,"protein folding",0.903%, 0.119, 0.671,5.064,-1.8993,0.944,0.030,6457,0
GO:0009693,"ethylene biosynthetic process",0.001%,-0.669, 0.997,2.286,-4.5612,0.924,0.032,9693,0
GO:0009058,"biosynthetic process",31.611%,-0.089,-1.302,6.608,-1.6584,0.970,0.066,9058,0
GO:0006370,"7-methylguanosine mRNA capping",0.022%,-1.483, 2.106,3.451,-2.0388,0.877,0.089,6370,0
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-1.5417,0.859,0.727,6370,1
GO:0016226,"iron-sulfur cluster assembly",0.219%,-0.510, 6.594,4.450,-4.3527,0.735,0.098,16226,0
GO:0035352,"NAD transmembrane transport",0.000%, 5.489, 1.712,1.732,-1.7150,0.901,0.110,35352,0
GO:0008299,"isoprenoid biosynthetic process",0.442%,-5.770, 4.262,4.754,-3.4606,0.756,0.146,8299,0
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",0.014%,null,null,3.258,-1.4136,0.737,0.749,8299,1
GO:0044255,"cellular lipid metabolic process",2.704%,null,null,5.540,-2.1439,0.764,0.715,8299,1
