Annotated	Significant	Expected	DEG	Term	pval
GO:1990316	3	3	0,42	3	Atg1/ULK1 kinase complex	0,00279228668089009
GO:0044233	2	2	0,28	2	mitochondria-associated endoplasmic reticulum membrane	0,019835916312334
GO:0005737	7170	1142	1009,99	1142	cytoplasm	0,00582456207319658
GO:0000813	8	5	1,13	5	ESCRT I complex	0,00213295672374339
GO:0000407	15	8	2,11	8	phagophore assembly site	0,000168043729780436
GO:0031314	6	3	0,85	3	extrinsic component of mitochondrial inner membrane	0,0400758143377662
GO:0019773	16	6	2,25	6	proteasome core complex, alpha-subunit complex	0,0175604773698405
GO:0016020	8148	1155	1147,76	1155	membrane	0,0102752772357117
GO:0031977	21	4	2,96	4	thylakoid lumen	0,0100060193373082
GO:0034098	5	3	0,7	3	VCP-NPL4-UFD1 AAA ATPase complex	0,0223604809132087
GO:0005681	128	25	18,03	25	spliceosomal complex	0,0475102770401443
GO:0009368	13	9	1,83	9	endopeptidase Clp complex	8,99605112811157e-06
GO:0005829	1242	184	174,95	184	cytosol	0,00622760784821787
GO:0000775	39	9	5,49	9	chromosome, centromeric region	0,0406820333569275
GO:0005628	2	2	0,28	2	prospore membrane	0,019835916312334
GO:0010287	24	7	3,38	7	plastoglobule	0,0425966582636119
GO:0070847	6	3	0,85	3	core mediator complex	0,0400758143377662
GO:0031901	3	3	0,42	3	early endosome membrane	0,00279228668089009
GO:0031902	11	5	1,55	5	late endosome membrane	0,0121824946154454
GO:0030134	34	7	4,79	7	COPII-coated ER to Golgi transport vesicle	0,0266725170880686
GO:0010008	89	29	12,54	29	endosome membrane	0,0330551155392079
GO:0080008	34	12	4,79	12	Cul4-RING E3 ubiquitin ligase complex	0,00773537760625501
GO:0045239	11	6	1,55	6	tricarboxylic acid cycle enzyme complex	0,00996771867416622
GO:0019005	56	16	7,89	16	SCF ubiquitin ligase complex	0,00360667670800781
GO:0008180	10	4	1,41	4	COP9 signalosome	0,0407296031403109
GO:0005768	213	55	30	55	endosome	0,0454254760589397
GO:0009941	225	41	31,69	41	chloroplast envelope	0,00170305391629117
GO:0005782	2	2	0,28	2	peroxisomal matrix	0,019835916312334
GO:0005783	472	111	66,49	111	endoplasmic reticulum	1,25837860599886e-07
GO:0009507	1541	248	217,07	248	chloroplast	1,43858481254818e-06
GO:0005789	316	63	44,51	63	endoplasmic reticulum membrane	0,0306057468041629
GO:0005777	112	37	15,78	37	peroxisome	0,0013959438573313
GO:0005778	25	11	3,52	11	peroxisomal membrane	0,00149823708707697
GO:0030286	9	4	1,27	4	dynein complex	0,0274407341975179
GO:0030289	4	3	0,56	3	protein phosphatase 4 complex	0,00999033807642159
