term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0016226,"iron-sulfur cluster assembly",0.219%, 1.433,-7.018,4.450,-8.6543,0.676,0.000,16226,0
GO:0044571,"[2Fe-2S] cluster assembly",0.019%,null,null,3.385,-2.4969,0.716,0.831,16226,1
GO:0045175,"basal protein localization",0.000%,-2.236,-3.177,1.681,-2.4969,0.943,0.000,45175,0
GO:0048511,"rhythmic process",0.077%,-0.997,-0.247,3.994,-1.4994,0.987,0.000,48511,0
GO:0050896,"response to stimulus",12.210%,-0.610,-1.115,6.195,-1.6889,0.988,0.000,50896,0
GO:0006807,"nitrogen compound metabolic process",38.744%,-0.385,-0.546,6.696,-3.5845,0.972,0.020,6807,0
GO:0042026,"protein refolding",0.069%,-0.484,-0.847,3.949,-2.8912,0.955,0.024,42026,0
GO:0045454,"cell redox homeostasis",0.861%, 3.172,-0.979,5.043,-4.7472,0.802,0.030,45454,0
GO:0034599,"cellular response to oxidative stress",0.224%,-2.987, 5.701,4.458,-3.4649,0.853,0.030,34599,0
GO:0042542,"response to hydrogen peroxide",0.029%,null,null,3.571,-1.6670,0.893,0.848,34599,1
GO:0019430,"removal of superoxide radicals",0.121%,null,null,4.192,-2.1299,0.832,0.800,34599,1
GO:0006914,"autophagy",0.230%,-0.341, 0.136,4.470,-1.6748,0.952,0.030,6914,0
GO:0006457,"protein folding",0.903%, 0.356, 0.482,5.064,-3.1389,0.948,0.034,6457,0
GO:0006515,"misfolded or incompletely synthesized protein catabolic process",0.056%, 2.386, 4.371,3.860,-4.7970,0.791,0.044,6515,0
GO:0009835,"fruit ripening",0.000%,-2.734, 2.952,1.505,-2.6206,0.893,0.046,9835,0
GO:0009793,"embryo development ending in seed dormancy",0.024%,null,null,3.484,-2.3722,0.871,0.746,9835,1
GO:0015976,"carbon utilization",0.040%, 0.089, 0.202,3.715,-1.3468,0.940,0.065,15976,0
GO:0009058,"biosynthetic process",31.611%,-0.307, 0.995,6.608,-1.5414,0.972,0.066,9058,0
GO:0000373,"Group II intron splicing",0.003%,-1.692,-2.550,2.525,-2.8172,0.866,0.078,373,0
GO:0009693,"ethylene biosynthetic process",0.001%, 0.839, 0.178,2.286,-2.3771,0.920,0.098,9693,0
GO:0042793,"transcription from plastid promoter",0.001%, 1.937,-2.136,2.225,-2.2872,0.870,0.142,42793,0
GO:0015969,"guanosine tetraphosphate metabolic process",0.065%, 5.957,-1.091,3.920,-2.2617,0.789,0.155,15969,0
GO:0008299,"isoprenoid biosynthetic process",0.442%, 6.526,-4.215,4.754,-4.1747,0.767,0.184,8299,0
GO:0044255,"cellular lipid metabolic process",2.704%,null,null,5.540,-2.0109,0.794,0.715,8299,1
GO:0016114,"terpenoid biosynthetic process",0.245%,null,null,4.498,-1.5018,0.776,0.936,8299,1
GO:0008610,"lipid biosynthetic process",2.123%,null,null,5.435,-1.3982,0.774,0.865,8299,1
GO:0097428,"protein maturation by iron-sulfur cluster transfer",0.067%,-2.505, 1.615,3.937,-3.6664,0.882,0.186,97428,0
GO:0071586,"CAAX-box protein processing",0.014%,null,null,3.263,-2.6206,0.856,0.720,97428,1
GO:0046951,"ketone body biosynthetic process",0.002%, 7.326,-1.378,2.348,-2.4969,0.817,0.241,46951,0
GO:0006352,"DNA-templated transcription, initiation",0.766%, 3.271,-2.551,4.992,-2.0473,0.814,0.248,6352,0
GO:0006006,"glucose metabolic process",0.430%, 8.012,-0.281,4.741,-1.4458,0.822,0.250,6006,0
GO:0043085,"positive regulation of catalytic activity",0.818%,-3.643, 0.205,5.021,-2.1369,0.916,0.264,43085,0
GO:0050790,"regulation of catalytic activity",1.575%,null,null,5.306,-1.5745,0.915,0.891,43085,1
GO:0035335,"peptidyl-tyrosine dephosphorylation",0.255%, 0.459, 3.278,4.514,-1.7666,0.841,0.265,35335,0
GO:0070525,"tRNA threonylcarbamoyladenosine metabolic process",0.127%, 1.350,-1.908,4.211,-1.6649,0.866,0.267,70525,0
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",0.146%, 1.624,-2.296,4.274,-1.3523,0.865,0.271,90503,0
GO:0046940,"nucleoside monophosphate phosphorylation",0.000%, 6.341,-0.495,1.380,-1.5343,0.827,0.296,46940,0
GO:0030587,"sorocarp development",0.008%,-1.016, 2.999,3.003,-1.3468,0.934,0.320,30587,0
GO:0034355,"NAD salvage",0.000%, 6.510,-2.144,0.699,-1.6645,0.805,0.331,34355,0
GO:0009658,"chloroplast organization",0.019%,-2.692,-7.057,3.392,-4.5180,0.832,0.332,9658,0
GO:0010027,"thylakoid membrane organization",0.004%,null,null,2.713,-2.6206,0.787,0.891,9658,1
GO:0010020,"chloroplast fission",0.003%,null,null,2.516,-2.3771,0.844,0.870,9658,1
GO:0010121,"arginine catabolic process to proline via ornithine",0.001%, 7.040, 1.514,1.826,-1.6645,0.758,0.337,10121,0
GO:0019544,"arginine catabolic process to glutamate",0.009%,null,null,3.057,-1.6645,0.722,0.704,10121,1
GO:0030308,"negative regulation of cell growth",0.030%,-1.517,-6.191,3.591,-1.6650,0.741,0.343,30308,0
GO:0030517,"negative regulation of axon extension",0.006%,null,null,2.854,-1.6645,0.707,0.845,30308,1
GO:0048671,"negative regulation of collateral sprouting",0.002%,null,null,2.314,-1.6645,0.723,0.896,30308,1
GO:0010136,"ureide catabolic process",0.001%, 4.351, 3.398,2.000,-1.6645,0.845,0.344,10136,0
GO:0000338,"protein deneddylation",0.017%,-2.520, 3.003,3.335,-2.2617,0.852,0.346,338,0
