Annotated	Significant	Expected	DEG	Term	pval
GO:0005886	1469	355	283,68	355	plasma membrane	1,2680353847982e-05
GO:0005635	79	21	15,26	21	nuclear envelope	0,0148739343804236
GO:0005871	10	5	1,93	5	kinesin complex	0,028417713184714
GO:0005874	178	86	34,37	86	microtubule	1,4541832659285e-16
GO:0005876	8	5	1,54	5	spindle microtubule	0,00889773819052286
GO:0005829	1242	315	239,84	315	cytosol	0,0304014217308626
GO:0005819	50	20	9,66	20	spindle	0,00553030168634816
GO:0005840	644	196	124,36	196	ribosome	0,00148172895879001
GO:0005951	2	2	0,39	2	carbamoyl-phosphate synthase complex	0,0372831610458899
GO:0022625	120	56	23,17	56	cytosolic large ribosomal subunit	9,19103173708237e-12
GO:0022627	61	32	11,78	32	cytosolic small ribosomal subunit	7,11761398556328e-09
GO:0005971	2	2	0,39	2	ribonucleoside-diphosphate reductase complex	0,0372831610458899
GO:0031380	5	4	0,97	4	nuclear RNA-directed RNA polymerase complex	0,00587203801288194
GO:0000139	296	84	57,16	84	Golgi membrane	9,17645302963111e-05
GO:0005802	93	30	17,96	30	trans-Golgi network	0,00199336430804983
GO:0031298	7	4	1,35	4	replication fork protection complex	0,0295181824043631
GO:0009986	6	4	1,16	4	cell surface	0,0246074313899594
GO:0005794	683	189	131,89	189	Golgi apparatus	0,0159972783226286
GO:0046658	113	33	21,82	33	anchored component of plasma membrane	0,00722495761281297
GO:0010005	3	3	0,58	3	cortical microtubule, transverse to long axis	0,00719646949198962
GO:0043240	4	3	0,77	3	Fanconi anaemia nuclear complex	0,0246196049547379
GO:0000940	2	2	0,39	2	condensed chromosome outer kinetochore	0,0372831610458899
GO:0012511	12	7	2,32	7	monolayer-surrounded lipid storage body	0,00315466762665106
GO:0005730	239	79	46,15	79	nucleolus	1,93309400351705e-05
GO:0031428	3	3	0,58	3	box C/D snoRNP complex	0,00719646949198962
GO:0009522	92	33	17,77	33	photosystem I	0,00413524896971721
GO:0030126	19	9	3,67	9	COPI vesicle coat	0,0052023693166276
GO:0005694	425	126	82,07	126	chromosome	0,00350549153507916
GO:0009538	11	7	2,12	7	photosystem I reaction center	0,00157691638784342
GO:0042555	11	7	2,12	7	MCM complex	0,00157691638784342
GO:0005663	6	4	1,16	4	DNA replication factor C complex	0,0149176849738917
GO:0005664	5	5	0,97	5	nuclear origin of replication recognition complex	0,000267937585621455
GO:0005655	2	2	0,39	2	nucleolar ribonuclease P complex	0,0372831610458899
GO:0005658	4	4	0,77	4	alpha DNA polymerase:primase complex	0,00138875767107355
GO:0030687	23	9	4,44	9	preribosome, large subunit precursor	0,0219939634647856
GO:0071541	7	4	1,35	4	eukaryotic translation initiation factor 3 complex, eIF3m	0,0295181824043631
GO:0005680	14	6	2,7	6	anaphase-promoting complex	0,0374701999137348
GO:0009506	212	56	40,94	56	plasmodesma	0,00681608563927018
GO:0000786	109	30	21,05	30	nucleosome	0,0232229452172411
GO:0032040	35	15	6,76	15	small-subunit processome	0,00119463217846308
GO:0033180	8	5	1,54	5	proton-transporting V-type ATPase, V1 domain	0,00586935303899239
GO:0005618	341	91	65,85	91	cell wall	0,00422456125513623
GO:0010287	24	10	4,63	10	plastoglobule	0,00980913333535895
GO:0000777	14	10	2,7	10	condensed chromosome kinetochore	0,00885467094697
GO:0033186	2	2	0,39	2	CAF-1 complex	0,0372831610458899
GO:0005853	3	3	0,58	3	eukaryotic translation elongation factor 1 complex	0,00719646949198962
GO:0016020	8148	1641	1573,47	1641	membrane	0,00633640222724816
GO:0008275	2	2	0,39	2	gamma-tubulin small complex	0,0372831610458899
