term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0016226,"iron-sulfur cluster assembly",0.219%, 2.444,-6.630,4.450,-7.5372,0.711,0.000,16226,0
GO:0044571,"[2Fe-2S] cluster assembly",0.019%,null,null,3.385,-2.5557,0.747,0.831,16226,1
GO:0045324,"late endosome to vacuole transport",0.025%,-2.250,-5.203,3.498,-2.6754,0.935,0.000,45324,0
GO:0006623,"protein targeting to vacuole",0.039%,null,null,3.702,-1.4686,0.885,0.918,45324,1
GO:0043328,"protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0.010%,null,null,3.115,-1.6521,0.765,0.758,45324,1
GO:0048511,"rhythmic process",0.077%, 1.218,-0.409,3.994,-1.5642,0.985,0.000,48511,0
GO:0050896,"response to stimulus",12.210%, 0.579,-0.693,6.195,-1.7611,0.986,0.000,50896,0
GO:0006807,"nitrogen compound metabolic process",38.744%,-0.178,-0.392,6.696,-3.7054,0.973,0.020,6807,0
GO:0042026,"protein refolding",0.069%,-1.789, 1.683,3.949,-2.5057,0.946,0.024,42026,0
GO:0045454,"cell redox homeostasis",0.861%, 3.340,-1.531,5.043,-5.7285,0.804,0.030,45454,0
GO:0034599,"cellular response to oxidative stress",0.224%,-4.363, 5.700,4.458,-3.6311,0.819,0.030,34599,0
GO:0042542,"response to hydrogen peroxide",0.029%,null,null,3.571,-2.4140,0.855,0.720,34599,1
GO:0019430,"removal of superoxide radicals",0.121%,null,null,4.192,-2.2407,0.794,0.848,34599,1
GO:0006914,"autophagy",0.230%,-0.417, 0.355,4.470,-1.7644,0.951,0.030,6914,0
GO:0006457,"protein folding",0.903%, 0.095, 0.617,5.064,-2.5895,0.948,0.034,6457,0
GO:0006515,"misfolded or incompletely synthesized protein catabolic process",0.056%, 2.467, 4.603,3.860,-4.9760,0.832,0.044,6515,0
GO:0009835,"fruit ripening",0.000%,-3.487, 3.974,1.505,-2.7248,0.897,0.046,9835,0
GO:0015976,"carbon utilization",0.040%,-0.309,-0.059,3.715,-1.3986,0.940,0.065,15976,0
GO:0009058,"biosynthetic process",31.611%, 0.492, 1.403,6.608,-1.4087,0.972,0.066,9058,0
GO:0042793,"transcription from plastid promoter",0.001%, 2.287,-3.199,2.225,-2.3748,0.878,0.097,42793,0
GO:0009693,"ethylene biosynthetic process",0.001%, 1.126, 0.437,2.286,-2.4786,0.924,0.098,9693,0
GO:0006312,"mitotic recombination",0.026%,-0.350,-3.397,3.522,-1.5635,0.884,0.124,6312,0
GO:0015969,"guanosine tetraphosphate metabolic process",0.065%, 5.786, 0.832,3.920,-2.3351,0.795,0.155,15969,0
GO:0010940,"positive regulation of necrotic cell death",0.001%,-4.010,-0.822,2.258,-1.7037,0.864,0.170,10940,0
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",0.146%, 1.456,-3.605,4.274,-1.4625,0.873,0.174,90503,0
GO:0008299,"isoprenoid biosynthetic process",0.442%, 7.145,-2.781,4.754,-3.4195,0.792,0.184,8299,0
GO:0015914,"phospholipid transport",0.076%,-1.861,-4.984,3.987,-1.3143,0.879,0.185,15914,0
GO:0097428,"protein maturation by iron-sulfur cluster transfer",0.067%,-3.445,-1.486,3.937,-3.7788,0.885,0.186,97428,0
GO:0071586,"CAAX-box protein processing",0.014%,null,null,3.263,-1.9166,0.866,0.720,97428,1
GO:0045116,"protein neddylation",0.019%,-4.618, 1.019,3.377,-2.6736,0.871,0.207,45116,0
GO:0006012,"galactose metabolic process",0.109%, 7.515, 2.605,4.145,-2.0757,0.850,0.226,6012,0
GO:0006662,"glycerol ether metabolic process",0.122%, 7.148, 2.242,4.193,-1.5768,0.856,0.237,6662,0
GO:0043085,"positive regulation of catalytic activity",0.818%,-5.376,-0.856,5.021,-1.6314,0.900,0.264,43085,0
GO:0032781,"positive regulation of ATPase activity",0.033%,null,null,3.627,-1.3931,0.914,0.730,43085,1
GO:0051443,"positive regulation of ubiquitin-protein transferase activity",0.028%,null,null,3.550,-1.6521,0.796,0.720,43085,1
GO:0002943,"tRNA dihydrouridine synthesis",0.080%,-2.858,-2.829,4.012,-2.3351,0.833,0.267,2943,0
GO:0006352,"DNA-templated transcription, initiation",0.766%, 3.758,-3.174,4.992,-1.3953,0.828,0.271,6352,0
GO:0051726,"regulation of cell cycle",0.547%, 3.650,-3.512,4.846,-1.8018,0.814,0.272,51726,0
GO:0010027,"thylakoid membrane organization",0.004%,-0.272,-7.661,2.713,-2.7248,0.795,0.300,10027,0
GO:0009658,"chloroplast organization",0.019%,null,null,3.392,-2.3726,0.842,0.891,10027,1
GO:0010020,"chloroplast fission",0.003%,null,null,2.516,-2.4786,0.852,0.804,10027,1
GO:0035067,"negative regulation of histone acetylation",0.007%,-3.553,-4.994,2.954,-2.7607,0.743,0.311,35067,0
GO:0043967,"histone H4 acetylation",0.025%,null,null,3.506,-1.3987,0.789,0.735,35067,1
GO:0034355,"NAD salvage",0.000%, 6.636,-0.368,0.699,-1.7037,0.820,0.331,34355,0
GO:0006479,"protein methylation",0.343%,-3.452, 0.845,4.643,-1.7668,0.860,0.331,6479,0
GO:0010121,"arginine catabolic process to proline via ornithine",0.001%, 6.705, 3.208,1.826,-1.7037,0.785,0.337,10121,0
GO:0019544,"arginine catabolic process to glutamate",0.009%,null,null,3.057,-1.7037,0.759,0.704,10121,1
GO:0010136,"ureide catabolic process",0.001%, 4.282, 4.781,2.000,-1.7037,0.883,0.344,10136,0
GO:0009816,"defense response to bacterium, incompatible interaction",0.003%,-4.203, 5.710,2.535,-1.3988,0.895,0.354,9816,0
GO:0009561,"megagametogenesis",0.004%,-2.171, 5.138,2.728,-2.0184,0.896,0.356,9561,0
GO:0060776,"simple leaf morphogenesis",0.000%,-2.031, 5.297,1.732,-1.7037,0.904,0.364,60776,0
GO:0009073,"aromatic amino acid family biosynthetic process",0.540%, 6.565,-1.262,4.841,-2.9553,0.716,0.372,9073,0
GO:0000162,"tryptophan biosynthetic process",0.191%,null,null,4.389,-2.0807,0.730,0.853,9073,1
GO:0009249,"protein lipoylation",0.091%,-4.648, 1.133,4.066,-1.3986,0.871,0.373,9249,0
GO:0033528,"S-methylmethionine cycle",0.000%, 5.581,-2.092,0.845,-1.7037,0.881,0.380,33528,0
GO:0042218,"1-aminocyclopropane-1-carboxylate biosynthetic process",0.001%, 7.358, 1.339,1.978,-2.0183,0.799,0.402,42218,0
GO:0010236,"plastoquinone biosynthetic process",0.001%, 7.444, 0.188,2.267,-1.7037,0.795,0.404,10236,0
GO:0000055,"ribosomal large subunit export from nucleus",0.017%,-2.195,-7.471,3.335,-2.4786,0.845,0.405,55,0
GO:0000056,"ribosomal small subunit export from nucleus",0.007%,null,null,2.922,-2.3748,0.852,0.863,55,1
