Annotated	Significant	Expected	DEG	Term	pval
GO:0070212	5	3	0,55	3	protein poly-ADP-ribosylation	0,0114771877685503
GO:0098656	127	26	14,09	26	anion transmembrane transport	0,00303055711270892
GO:0016192	439	95	48,71	95	vesicle-mediated transport	0,00165710312893916
GO:0014706	3	3	0,33	3	striated muscle tissue development	0,0122972201514296
GO:0007143	8	3	0,89	3	female meiotic nuclear division	0,0497890127217953
GO:0042351	3	3	0,33	3	'de novo' GDP-L-fucose biosynthetic process	0,00136449964710382
GO:0045454	36	8	3,99	8	cell redox homeostasis	0,0404128220236062
GO:0045489	29	10	3,22	10	pectin biosynthetic process	0,00181674802430814
GO:0010375	3	2	0,33	2	stomatal complex patterning	0,0341924641237457
GO:0010344	4	3	0,44	3	seed oilbody biogenesis	0,00500433390296442
GO:0016126	32	8	3,55	8	sterol biosynthetic process	0,0208642169286825
GO:0034620	21	6	2,33	6	cellular response to unfolded protein	0,0120152542599489
GO:1902975	4	3	0,44	3	mitotic DNA replication initiation	0,00500433390296442
GO:0010499	22	6	2,44	6	proteasomal ubiquitin-independent protein catabolic process	0,0289268272361752
GO:0099402	186	25	20,64	25	plant organ development	0,0496574947921376
GO:0008610	460	66	51,04	66	lipid biosynthetic process	0,0347578927702868
GO:0007205	8	3	0,89	3	protein kinase C-activating G protein-coupled receptor signaling pathway	0,0497890127217953
GO:0010411	43	18	4,77	18	xyloglucan metabolic process	1,00627606865862e-06
GO:0019722	19	12	2,11	12	calcium-mediated signaling	8,06454576930084e-08
GO:0030245	30	7	3,33	7	cellulose catabolic process	0,0423022582703455
GO:0070863	3	2	0,33	2	positive regulation of protein exit from endoplasmic reticulum	0,0341924641237457
GO:0009414	76	18	8,43	18	response to water deprivation	0,0323428758245927
GO:0009408	74	15	8,21	15	response to heat	0,0181255569291638
GO:0018401	7	3	0,78	3	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	0,0338632559789731
GO:0051085	34	8	3,77	8	chaperone cofactor-dependent protein refolding	0,0295381125668767
GO:0010143	3	2	0,33	2	cutin biosynthetic process	0,0341924641237457
