Annotated	Significant	Expected	DEG	Term	pval
GO:0000275	12	4	1,38	4	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	0,0401253772395596
GO:0000220	4	3	0,46	3	vacuolar proton-transporting V-type ATPase, V0 domain	0,00551217882106605
GO:0005741	41	14	4,7	14	mitochondrial outer membrane	0,000442300685609574
GO:0005742	7	4	0,8	4	mitochondrial outer membrane translocase complex	0,00453699915566743
GO:0005737	7170	920	822,49	920	cytoplasm	0,00021728990485849
GO:0017119	9	6	1,03	6	Golgi transport complex	0,000139640229154314
GO:0016020	8148	1071	934,68	1071	membrane	1,11437303656293e-06
GO:0016021	6645	820	762,27	820	integral component of membrane	0,00340516785070892
GO:0071439	3	2	0,34	2	clathrin complex	0,03644508268528
GO:0012511	12	5	1,38	5	monolayer-surrounded lipid storage body	0,00781839619116357
GO:0005905	33	11	3,79	11	clathrin-coated pit	0,02664571948054
GO:0005886	1469	215	168,51	215	plasma membrane	0,0030398185906535
GO:0030173	17	5	1,95	5	integral component of Golgi membrane	0,0375750117881868
GO:0005874	178	30	20,42	30	microtubule	0,0239584244637918
GO:0030126	19	9	2,18	9	COPI vesicle coat	0,00010634089347909
GO:0005829	1242	175	142,47	175	cytosol	0,0257195974186786
GO:0048471	10	4	1,15	4	perinuclear region of cytoplasm	0,0205110474653364
GO:0048046	192	33	22,02	33	apoplast	0,0114448369674656
GO:0005618	341	65	39,12	65	cell wall	5,2521066621288e-05
GO:0000145	38	10	4,36	10	exocyst	0,00890201845193833
GO:0030130	10	4	1,15	4	clathrin coat of trans-Golgi network vesicle	0,0205110474653364
GO:0030131	17	6	1,95	6	clathrin adaptor complex	0,0115072725714415
GO:0030132	12	5	1,38	5	clathrin coat of coated pit	0,00824556604700952
GO:0005834	3	2	0,34	2	heterotrimeric G-protein complex	0,03644508268528
GO:0000139	296	86	33,95	86	Golgi membrane	7,54409024811471e-16
GO:0034663	4	3	0,46	3	endoplasmic reticulum chaperone complex	0,00551217882106605
GO:0005801	11	4	1,26	4	cis-Golgi network	0,029356383556761
GO:0005802	93	27	10,67	27	trans-Golgi network	5,94518340141827e-06
GO:0042555	11	5	1,26	5	MCM complex	0,00503170930534343
GO:0005794	683	178	78,35	178	Golgi apparatus	2,51405150473188e-07
GO:0033179	17	8	1,95	8	proton-transporting V-type ATPase, V0 domain	0,0114612409312457
GO:0005768	213	47	24,43	47	endosome	2,54374694100552e-05
GO:0005783	472	78	54,14	78	endoplasmic reticulum	0,017511902775875
GO:0009506	212	43	24,32	43	plasmodesma	0,000135324233002638
GO:0030864	3	2	0,34	2	cortical actin cytoskeleton	0,03644508268528
GO:0000015	6	3	0,69	3	phosphopyruvate hydratase complex	0,0230687436521014
GO:0046658	113	22	12,96	22	anchored component of plasma membrane	0,00882897283181072
