term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0009416,"response to light stimulus",0.157%, 1.394, 6.449,4.304,-3.0438,0.849,0.000,9416,0
GO:0010224,"response to UV-B",0.009%,null,null,3.046,-1.5770,0.867,0.789,9416,1
GO:0009644,"response to high light intensity",0.005%,null,null,2.815,-2.5637,0.870,0.763,9416,1
GO:0009651,"response to salt stress",0.043%,null,null,3.741,-1.5886,0.858,0.723,9416,1
GO:0034605,"cellular response to heat",0.041%,null,null,3.726,-2.2871,0.825,0.865,9416,1
GO:0009408,"response to heat",0.166%,null,null,4.328,-2.3451,0.842,0.799,9416,1
GO:0009768,"photosynthesis, light harvesting in photosystem I",0.003%,-1.834, 4.295,2.559,-6.4228,0.878,0.000,9768,0
GO:0009835,"fruit ripening",0.000%, 1.987, 3.573,1.505,-2.9497,0.937,0.000,9835,0
GO:0048511,"rhythmic process",0.077%, 2.345, 2.996,3.994,-1.7096,0.981,0.000,48511,0
GO:0006914,"autophagy",0.230%, 1.190, 1.181,4.470,-2.0344,0.949,0.020,6914,0
GO:0015979,"photosynthesis",0.183%, 0.801, 0.846,4.370,-5.1404,0.930,0.035,15979,0
GO:0031146,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.022%,-1.859,-1.415,3.447,-2.9932,0.847,0.040,31146,0
GO:0015969,"guanosine tetraphosphate metabolic process",0.065%,-5.545,-1.748,3.920,-3.7406,0.783,0.044,15969,0
GO:0016226,"iron-sulfur cluster assembly",0.219%,-0.375,-7.380,4.450,-4.5074,0.711,0.048,16226,0
GO:0044571,"[2Fe-2S] cluster assembly",0.019%,null,null,3.385,-1.3491,0.745,0.831,16226,1
GO:0009693,"ethylene biosynthetic process",0.001%, 0.783, 1.922,2.286,-3.5911,0.916,0.098,9693,0
GO:0015977,"carbon fixation",0.036%,-0.566, 0.998,3.664,-2.9502,0.900,0.103,15977,0
GO:0045053,"protein retention in Golgi apparatus",0.007%, 5.031,-1.127,2.949,-3.2452,0.781,0.110,45053,0
GO:0055114,"oxidation-reduction process",15.060%,-5.409, 1.189,6.286,-1.4397,0.869,0.170,55114,0
