Annotated	Significant	Expected	DEG	Term	pval
GO:1990124	3	2	0,38	2	messenger ribonucleoprotein complex	0,0448022475453155
GO:0005737	7170	992	916,24	992	cytoplasm	0,0173168622751619
GO:0010319	2	2	0,26	2	stromule	0,0163236888477887
GO:0070531	7	3	0,89	3	BRCA1-A complex	0,049000413121293
GO:0009654	24	10	3,07	10	photosystem II oxygen evolving complex	0,000405571810624147
GO:0031969	133	22	17	22	chloroplast membrane	0,000314162072363983
GO:0031977	21	6	2,68	6	thylakoid lumen	0,00753166995549759
GO:0042644	23	7	2,94	7	chloroplast nucleoid	0,0210811926300242
GO:0009368	13	6	1,66	6	endopeptidase Clp complex	0,00332734297259385
GO:0000786	109	22	13,93	22	nucleosome	0,019028505987876
GO:0010287	24	16	3,07	16	plastoglobule	1,28582007343975e-09
GO:0019898	47	15	6,01	15	extrinsic component of membrane	0,00187833077375846
GO:0031901	3	2	0,38	2	early endosome membrane	0,0448022475453155
GO:0009570	281	64	35,91	64	chloroplast stroma	0,0194166875505292
GO:0034274	3	2	0,38	2	Atg12-Atg5-Atg16 complex	0,0448022475453155
GO:0009522	92	30	11,76	30	photosystem I	0,000976868195151634
GO:0009523	125	31	15,97	31	photosystem II	0,0152602525431964
GO:0031436	4	3	0,51	3	BRCA1-BARD1 complex	0,00753944854620255
GO:0019005	56	15	7,16	15	SCF ubiquitin ligase complex	0,00364160680532666
GO:0009534	420	89	53,67	89	chloroplast thylakoid	0,00309931037016636
GO:0009535	392	81	50,09	81	chloroplast thylakoid membrane	9,04470838901077e-06
GO:0061908	2	2	0,26	2	phagophore	0,0163236888477887
GO:0009538	11	9	1,41	9	photosystem I reaction center	3,86577415239252e-07
GO:0009941	225	51	28,75	51	chloroplast envelope	2,01227598386195e-06
GO:0009501	19	6	2,43	6	amyloplast	0,0267857634139709
GO:0009507	1541	338	196,92	338	chloroplast	2,66210624839955e-21
GO:0005776	7	3	0,89	3	autophagosome	0,0447842831867895
GO:0005777	112	32	14,31	32	peroxisome	0,00240080549039957
GO:0005778	25	9	3,19	9	peroxisomal membrane	0,024986587457816
GO:0005779	11	4	1,41	4	integral component of peroxisomal membrane	0,0418047021045724
GO:0030289	4	3	0,51	3	protein phosphatase 4 complex	0,00753944854620255
