term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006457,"protein folding",0.903%, 1.578,-0.030,5.064,-7.1934,0.948,0.000,6457,0
GO:0006807,"nitrogen compound metabolic process",38.744%, 3.614, 1.552,6.696,-2.9894,0.974,0.000,6807,0
GO:0009835,"fruit ripening",0.000%, 1.692, 3.959,1.505,-2.9974,0.890,0.000,9835,0
GO:0010214,"seed coat development",0.002%,null,null,2.389,-1.8052,0.881,0.831,9835,1
GO:0009793,"embryo development ending in seed dormancy",0.024%,null,null,3.484,-2.1037,0.869,0.746,9835,1
GO:0009960,"endosperm development",0.001%,null,null,2.243,-1.5344,0.878,0.817,9835,1
GO:0010499,"proteasomal ubiquitin-independent protein catabolic process",0.020%,-0.989,-0.202,3.406,-6.5272,0.846,0.025,10499,0
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",0.226%,null,null,4.462,-4.2891,0.824,0.809,10499,1
GO:0030433,"ER-associated ubiquitin-dependent protein catabolic process",0.049%,null,null,3.794,-1.8327,0.689,0.861,10499,1
GO:0019941,"modification-dependent protein catabolic process",0.612%,null,null,4.895,-1.4244,0.820,0.901,10499,1
GO:0034605,"cellular response to heat",0.041%, 1.949, 6.936,3.726,-4.4315,0.830,0.026,34605,0
GO:0009409,"response to cold",0.039%,null,null,3.699,-1.3318,0.861,0.785,34605,1
GO:0009408,"response to heat",0.166%,null,null,4.328,-3.9278,0.851,0.865,34605,1
GO:0042026,"protein refolding",0.069%, 4.338, 2.141,3.949,-5.9369,0.937,0.027,42026,0
GO:0006792,"regulation of sulfur utilization",0.000%, 5.310, 2.827,0.778,-1.3659,0.928,0.029,6792,0
GO:0006914,"autophagy",0.230%, 0.880,-0.040,4.470,-1.3929,0.951,0.030,6914,0
GO:0035352,"NAD transmembrane transport",0.000%, 4.535,-2.212,1.732,-1.8052,0.929,0.032,35352,0
GO:0016226,"iron-sulfur cluster assembly",0.219%, 1.412,-6.752,4.450,-4.8155,0.717,0.041,16226,0
GO:0044571,"[2Fe-2S] cluster assembly",0.019%,null,null,3.385,-1.3659,0.752,0.831,16226,1
GO:0006099,"tricarboxylic acid cycle",0.469%,-6.610,-3.373,4.780,-2.8751,0.813,0.052,6099,0
GO:0015976,"carbon utilization",0.040%, 0.399, 0.319,3.715,-1.5344,0.941,0.062,15976,0
GO:0009058,"biosynthetic process",31.611%, 2.880, 0.845,6.608,-1.4782,0.973,0.066,9058,0
GO:0000373,"Group II intron splicing",0.003%, 1.380,-3.071,2.525,-2.5296,0.875,0.074,373,0
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-2.4976,0.843,0.703,373,1
GO:0000395,"mRNA 5'-splice site recognition",0.007%,null,null,2.942,-1.8052,0.762,0.747,373,1
GO:0009693,"ethylene biosynthetic process",0.001%, 0.719, 0.991,2.286,-1.9461,0.922,0.098,9693,0
GO:1901141,"regulation of lignin biosynthetic process",0.000%,-4.770, 2.598,1.623,-1.8052,0.838,0.104,1901141,0
GO:0006597,"spermine biosynthetic process",0.010%,-3.884,-2.032,3.124,-2.9087,0.861,0.110,6597,0
GO:0008295,"spermidine biosynthetic process",0.055%,null,null,3.846,-1.7817,0.849,0.808,6597,1
GO:0006557,"S-adenosylmethioninamine biosynthetic process",0.016%,null,null,3.303,-2.2035,0.734,0.705,6597,1
GO:0042023,"DNA endoreduplication",0.007%,-1.954,-3.430,2.944,-1.8051,0.858,0.125,42023,0
GO:0042793,"transcription from plastid promoter",0.001%,-1.031,-2.904,2.225,-1.7371,0.877,0.142,42793,0
GO:0016554,"cytidine to uridine editing",0.003%, 1.150,-4.689,2.534,-1.6124,0.890,0.146,16554,0
GO:1904143,"positive regulation of carotenoid biosynthetic process",0.000%,-6.397, 2.879,1.699,-1.3659,0.807,0.158,1904143,0
GO:0097428,"protein maturation by iron-sulfur cluster transfer",0.067%, 2.594,-1.915,3.937,-1.9478,0.913,0.174,97428,0
GO:0045454,"cell redox homeostasis",0.861%,-3.708, 3.134,5.043,-2.4586,0.818,0.185,45454,0
GO:0032781,"positive regulation of ATPase activity",0.033%, 5.282, 3.802,3.627,-1.5602,0.930,0.197,32781,0
GO:0032780,"negative regulation of ATPase activity",0.020%,null,null,3.403,-1.3659,0.931,0.897,32781,1
GO:0006383,"transcription from RNA polymerase III promoter",0.079%,-1.968,-4.756,4.005,-1.4087,0.850,0.217,6383,0
GO:0010928,"regulation of auxin mediated signaling pathway",0.004%, 2.856, 6.331,2.697,-1.9475,0.818,0.237,10928,0
GO:0042218,"1-aminocyclopropane-1-carboxylate biosynthetic process",0.001%,-7.355,-0.752,1.978,-1.3331,0.822,0.257,42218,0
GO:0006012,"galactose metabolic process",0.109%,-7.239,-1.706,4.145,-1.6368,0.861,0.263,6012,0
GO:0046037,"GMP metabolic process",0.123%,-6.022,-1.725,4.198,-2.7084,0.758,0.266,46037,0
GO:0046710,"GDP metabolic process",0.043%,null,null,3.741,-2.7080,0.773,0.804,46037,1
GO:0018401,"peptidyl-proline hydroxylation to 4-hydroxy-L-proline",0.001%,-4.792,-2.681,2.196,-1.3331,0.815,0.276,18401,0
GO:0070676,"intralumenal vesicle formation",0.005%, 5.172,-5.300,2.769,-2.7080,0.825,0.302,70676,0
GO:0036258,"multivesicular body assembly",0.003%,null,null,2.609,-1.8052,0.823,0.839,70676,1
GO:0036257,"multivesicular body organization",0.004%,null,null,2.692,-1.8058,0.841,0.847,70676,1
GO:0010390,"histone monoubiquitination",0.006%, 4.192,-5.198,2.904,-1.7932,0.811,0.308,10390,0
GO:0019375,"galactolipid biosynthetic process",0.001%,-7.091,-0.060,2.097,-1.3331,0.818,0.314,19375,0
GO:1905691,"lipid particle disassembly",0.004%, 3.222,-6.665,2.727,-1.8052,0.810,0.319,1905691,0
GO:0010121,"arginine catabolic process to proline via ornithine",0.001%,-6.016, 0.134,1.826,-1.8052,0.804,0.320,10121,0
GO:0019544,"arginine catabolic process to glutamate",0.009%,null,null,3.057,-1.8052,0.774,0.704,10121,1
GO:0010136,"ureide catabolic process",0.001%,-1.936, 1.737,2.000,-1.8052,0.877,0.326,10136,0
GO:1901259,"chloroplast rRNA processing",0.001%, 3.859,-5.729,2.143,-1.5344,0.807,0.341,1901259,0
GO:0030308,"negative regulation of cell growth",0.030%, 3.864,-4.218,3.591,-1.8058,0.748,0.343,30308,0
GO:0030517,"negative regulation of axon extension",0.006%,null,null,2.854,-1.8052,0.715,0.845,30308,1
GO:0048671,"negative regulation of collateral sprouting",0.002%,null,null,2.314,-1.8052,0.730,0.896,30308,1
GO:0009658,"chloroplast organization",0.019%, 4.773,-5.534,3.392,-2.2956,0.842,0.346,9658,0
GO:0010020,"chloroplast fission",0.003%,null,null,2.516,-1.9461,0.855,0.870,9658,1
GO:0052865,"1-deoxy-D-xylulose 5-phosphate biosynthetic process",0.027%,-4.482, 0.024,3.541,-1.3659,0.858,0.351,52865,0
GO:0042692,"muscle cell differentiation",0.089%,-2.726, 1.764,4.058,-1.8052,0.827,0.359,42692,0
