Annotated	Significant	Expected	DEG	Term	pval
GO:0044233	2	2	0,26	2	mitochondria-associated endoplasmic reticulum membrane	0,0163658326071972
GO:1990124	3	2	0,38	2	messenger ribonucleoprotein complex	0,0449125206263224
GO:0005742	7	3	0,9	3	mitochondrial outer membrane translocase complex	0,0491640817060927
GO:0048188	8	4	1,02	4	Set1C/COMPASS complex	0,0122022380899635
GO:1990112	2	2	0,26	2	RQC complex	0,0163658326071972
GO:0005746	45	13	5,76	13	mitochondrial respirasome	0,0488833102512079
GO:0005749	6	3	0,77	3	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	0,0310014264502353
GO:0005737	7170	1100	917,42	1100	cytoplasm	2,13625011378897e-06
GO:0005739	1111	190	142,16	190	mitochondrion	0,00175686900502118
GO:0000813	8	5	1,02	5	ESCRT I complex	0,00136686746155378
GO:0000814	3	2	0,38	2	ESCRT II complex	0,0449125206263224
GO:0000815	7	4	0,9	4	ESCRT III complex	0,00678455277575863
GO:0031314	6	3	0,77	3	extrinsic component of mitochondrial inner membrane	0,0310014264502353
GO:0019773	16	8	2,05	8	proteasome core complex, alpha-subunit complex	0,000351379589373772
GO:0031969	133	23	17,02	23	chloroplast membrane	0,0125711193073519
GO:0031977	21	4	2,69	4	thylakoid lumen	0,00757870010115464
GO:0005851	3	2	0,38	2	eukaryotic translation initiation factor 2B complex	0,0449125206263224
GO:0000151	173	35	22,14	35	ubiquitin ligase complex	0,0407234422161453
GO:0005666	19	7	2,43	7	RNA polymerase III complex	0,00689803269564979
GO:0042644	23	9	2,94	9	chloroplast nucleoid	0,00136679015452693
GO:0005681	128	27	16,38	27	spliceosomal complex	0,00383721411117232
GO:0000323	38	7	4,86	7	lytic vacuole	0,0448932740882106
GO:0005688	7	3	0,9	3	U6 snRNP	0,0491640817060927
GO:0089701	6	3	0,77	3	U2AF	0,0310014264502353
GO:0005829	1242	196	158,92	196	cytosol	2,19611711156287e-06
GO:1990429	4	3	0,51	3	peroxisomal importomer complex	0,00756763638216974
GO:0000126	3	2	0,38	2	transcription factor TFIIIB complex	0,0449125206263224
GO:0000110	2	2	0,26	2	nucleotide-excision repair factor 1 complex	0,0163658326071972
GO:0032587	3	2	0,38	2	ruffle membrane	0,0449125206263224
GO:0031901	3	3	0,38	3	early endosome membrane	0,00209248859763449
GO:0031902	11	4	1,41	4	late endosome membrane	0,0419791865029814
GO:0046540	29	9	3,71	9	U4/U6 x U5 tri-snRNP complex	0,00821487043915166
GO:0005839	30	14	3,84	14	proteasome core complex	0,005165183335628
GO:0031011	16	5	2,05	5	Ino80 complex	0,0443166172513817
GO:0009570	281	52	35,95	52	chloroplast stroma	0,0477951587477653
GO:0016593	8	4	1,02	4	Cdc73/Paf1 complex	0,0122022380899635
GO:0080008	34	11	4,35	11	Cul4-RING E3 ubiquitin ligase complex	0,0164552442954888
GO:0009534	420	30	53,74	30	chloroplast thylakoid	0,00356763767933886
GO:0008180	10	4	1,28	4	COP9 signalosome	0,0296543662659872
GO:0030904	7	6	0,9	6	retromer complex	0,0447842831867895
GO:0009941	225	53	28,79	53	chloroplast envelope	6,11640508906622e-07
GO:0030906	4	4	0,51	4	retromer, cargo-selective complex	0,000267439336122745
GO:0005750	7	3	0,9	3	mitochondrial respiratory chain complex III	0,0491640817060927
GO:0005783	472	86	60,39	86	endoplasmic reticulum	0,00312435978940576
GO:0001405	8	5	1,02	5	PAM complex, Tim23 associated import motor	0,00136686746155378
GO:0009507	1541	240	197,18	240	chloroplast	1,79370014676729e-05
GO:0009508	11	4	1,41	4	plastid chromosome	0,0419791865029814
GO:0005770	33	16	4,22	16	late endosome	0,00796417039715349
GO:0005771	10	7	1,28	7	multivesicular body	4,68993153399875e-05
GO:0005776	7	3	0,9	3	autophagosome	0,0448945607384145
GO:0005777	112	27	14,33	27	peroxisome	0,0200513097092735
GO:0005778	25	8	3,2	8	peroxisomal membrane	0,0251577735960007
