Annotated	Significant	Expected	DEG	Term	pval
GO:0042793	9	5	1,18	5	plastid transcription	0,00305685244714209
GO:0014706	3	2	0,39	2	striated muscle tissue development	0,0469440601767838
GO:0015969	6	3	0,79	3	guanosine tetraphosphate metabolic process	0,0329950267147951
GO:0009408	74	26	9,69	26	response to heat	0,000682604837682041
GO:0045454	36	14	4,71	14	cell redox homeostasis	9,44986178433934e-05
GO:0045489	29	8	3,8	8	pectin biosynthetic process	0,0451385275007725
GO:0030968	12	5	1,57	5	endoplasmic reticulum unfolded protein response	0,0136843528739436
GO:0015976	6	4	0,79	4	carbon utilization	0,00353163928858981
GO:0016554	19	7	2,49	7	cytidine to uridine editing	0,00784284379570854
GO:0019287	6	3	0,79	3	isopentenyl diphosphate biosynthetic process, mevalonate pathway	0,0329950267147951
GO:0019288	4	3	0,52	3	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	0,0469141753233741
GO:0015914	34	10	4,45	10	phospholipid transport	0,017081918440307
GO:0043328	5	4	0,65	4	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0,00131402923915046
GO:0006850	6	3	0,79	3	mitochondrial pyruvate transmembrane transport	0,0329950267147951
GO:1902584	3	2	0,39	2	positive regulation of response to water deprivation	0,0469440601767838
GO:0006886	464	96	60,76	96	intracellular protein transport	0,00230276553912745
GO:0006888	81	20	10,61	20	endoplasmic reticulum to Golgi vesicle-mediated transport	0,0193781104687907
GO:0019243	5	3	0,65	3	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	0,0182633330016925
GO:0046037	6	3	0,79	3	GMP metabolic process	0,046923177533693
GO:0006817	282	48	36,93	48	phosphate ion transport	0,0417754472680026
GO:0009113	7	3	0,92	3	purine nucleobase biosynthetic process	0,046927679608099
GO:0070973	14	6	1,83	6	protein localization to endoplasmic reticulum exit site	0,00588158756715169
GO:0010499	22	14	2,88	14	proteasomal ubiquitin-independent protein catabolic process	4,80484805247284e-08
GO:0006807	10254	1282	1342,82	1282	nitrogen compound metabolic process	0,000185021403193163
GO:0000395	2	2	0,26	2	mRNA 5'-splice site recognition	0,0171437358835451
GO:0009107	3	2	0,39	2	lipoate biosynthetic process	0,0469440601767838
GO:0006597	8	5	1,05	5	spermine biosynthetic process	0,00152274059278211
GO:0042823	7	4	0,92	4	pyridoxal phosphate biosynthetic process	0,00738675905611578
GO:0000373	17	7	2,23	7	Group II intron splicing	0,00383568627636475
GO:0006557	7	4	0,92	4	S-adenosylmethioninamine biosynthetic process	0,00738675905611578
GO:2001246	4	3	0,52	3	negative regulation of phosphatidylcholine biosynthetic process	0,00809375074416727
GO:0006572	4	3	0,52	3	tyrosine catabolic process	0,00809375074416727
GO:0006515	30	11	3,93	11	protein quality control for misfolded or incompletely synthesized proteins	0,000412154956566609
GO:0043403	2	2	0,26	2	skeletal muscle tissue regeneration	0,0171437358835451
GO:0010197	6	3	0,79	3	polar nucleus fusion	0,0329950267147951
GO:0009231	13	8	1,7	8	riboflavin biosynthetic process	5,96311510785808e-05
GO:0043161	211	48	27,63	48	proteasome-mediated ubiquitin-dependent protein catabolic process	3,1031300407615e-05
GO:1901352	4	3	0,52	3	negative regulation of phosphatidylglycerol biosynthetic process	0,00809375074416727
GO:0009793	79	16	10,35	16	embryo development ending in seed dormancy	0,0484879817500439
GO:0010121	2	2	0,26	2	arginine catabolic process to proline via ornithine	0,0171437358835451
GO:0042542	16	6	2,1	6	response to hydrogen peroxide	0,0124420430968522
GO:0010136	2	2	0,26	2	ureide catabolic process	0,0171437358835451
GO:0006654	3	2	0,39	2	phosphatidic acid biosynthetic process	0,0469440601767838
GO:0030308	4	4	0,52	4	negative regulation of cell growth	0,0171208152357063
GO:0006614	21	8	2,75	8	SRP-dependent cotranslational protein targeting to membrane	0,0124112975405373
GO:0007229	3	2	0,39	2	integrin-mediated signaling pathway	0,0469440601767838
GO:0042692	2	2	0,26	2	muscle cell differentiation	0,0171437358835451
GO:0006631	195	48	25,54	48	fatty acid metabolic process	0,0192838771075068
GO:0006633	141	34	18,46	34	fatty acid biosynthetic process	0,00423934036928439
GO:0006635	21	8	2,75	8	fatty acid beta-oxidation	0,0228528338722507
