Annotated	Significant	Expected	DEG	Term	pval
GO:0008728	6	3	0,77	3	GTP diphosphokinase activity	0,0310500829179096
GO:0030170	144	35	18,44	35	pyridoxal phosphate binding	0,000115438882930838
GO:0036381	2	2	0,26	2	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity	0,0163844296087993
GO:0061631	32	9	4,1	9	ubiquitin conjugating enzyme activity	0,016229333746878
GO:0004640	3	3	0,38	3	phosphoribosylanthranilate isomerase activity	0,00209623420265677
GO:0004106	2	2	0,26	2	chorismate mutase activity	0,0163844296087993
GO:0004107	2	2	0,26	2	chorismate synthase activity	0,0163844296087993
GO:0004109	2	2	0,26	2	coproporphyrinogen oxidase activity	0,0163844296087993
GO:0042393	69	15	8,83	15	histone binding	0,0257172568412627
GO:0030627	2	2	0,26	2	pre-mRNA 5'-splice site binding	0,0163844296087993
GO:0016161	8	4	1,02	4	beta-amylase activity	0,0122286102572194
GO:0016151	4	3	0,51	3	nickel cation binding	0,00758061224610119
GO:0004298	28	14	3,58	14	threonine-type endopeptidase activity	2,11777996876623e-06
GO:0031386	15	5	1,92	5	protein tag	0,0340257511203257
GO:0008898	2	2	0,26	2	S-adenosylmethionine-homocysteine S-methyltransferase activity	0,0163844296087993
GO:0038199	21	6	2,69	6	ethylene receptor activity	0,0432593773322285
GO:0004602	9	4	1,15	4	glutathione peroxidase activity	0,0198039370565421
GO:0008379	6	3	0,77	3	thioredoxin peroxidase activity	0,0310500829179096
GO:0016656	6	4	0,77	4	monodehydroascorbate reductase (NADH) activity	0,00324271670408986
GO:0016149	8	4	1,02	4	translation release factor activity, codon specific	0,0122286102572194
GO:0051536	222	47	28,42	47	iron-sulfur cluster binding	0,000539773031467319
GO:0016671	25	13	3,2	13	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	0,00773186474373253
GO:0051537	55	14	7,04	14	2 iron, 2 sulfur cluster binding	0,0080679103117122
GO:0008962	2	2	0,26	2	phosphatidylglycerophosphatase activity	0,0163844296087993
GO:0031956	6	3	0,77	3	medium-chain fatty acid-CoA ligase activity	0,0310500829179096
GO:0004222	60	18	7,68	18	metalloendopeptidase activity	0,000357492436728501
GO:0003868	2	2	0,26	2	4-hydroxyphenylpyruvate dioxygenase activity	0,0163844296087993
GO:0051082	135	38	17,28	38	unfolded protein binding	1,54210526712847e-06
GO:0051087	42	16	5,38	16	chaperone binding	3,08211494578679e-05
GO:0003857	9	4	1,15	4	3-hydroxyacyl-CoA dehydrogenase activity	0,0198039370565421
GO:0036456	4	3	0,51	3	L-methionine-(S)-S-oxide reductase activity	0,00758061224610119
GO:1990381	2	2	0,26	2	ubiquitin-specific protease binding	0,0163844296087993
GO:0044183	21	9	2,69	9	protein folding chaperone	0,000627831164858529
GO:0003954	145	5	18,56	5	NADH dehydrogenase activity	0,0454395220069549
GO:0003955	13	6	1,66	6	NAD(P)H dehydrogenase (quinone) activity	0,00336082558340721
GO:0102229	8	4	1,02	4	amylopectin maltohydrolase activity	0,0122286102572194
GO:0042803	65	17	8,32	17	protein homodimerization activity	0,00274019955858739
GO:0051117	19	9	2,43	9	ATPase binding	0,000250912088038079
GO:0050897	16	7	2,05	7	cobalt ion binding	0,00222481788569067
GO:0015385	5	3	0,64	3	sodium:proton antiporter activity	0,0171463998109997
GO:0015386	3	2	0,38	2	potassium:proton antiporter activity	0,0449608204210842
GO:0003935	3	3	0,38	3	GTP cyclohydrolase II activity	0,00209623420265677
GO:0010309	3	2	0,38	2	acireductone dioxygenase [iron(II)-requiring] activity	0,0449608204210842
GO:0031418	193	34	24,71	34	L-ascorbic acid binding	0,0325604724525835
GO:0050313	2	2	0,26	2	sulfur dioxygenase activity	0,0163844296087993
GO:0103025	5	3	0,64	3	alpha-amylase activity (releasing maltohexaose)	0,0171463998109997
GO:0004781	3	2	0,38	2	sulfate adenylyltransferase (ATP) activity	0,0449608204210842
GO:0004784	12	5	1,54	5	superoxide dismutase activity	0,012450305680984
GO:0004775	3	2	0,38	2	succinate-CoA ligase (ADP-forming) activity	0,0449608204210842
GO:0004776	3	2	0,38	2	succinate-CoA ligase (GDP-forming) activity	0,0449608204210842
GO:0004721	242	36	30,98	36	phosphoprotein phosphatase activity	0,0269509151776612
GO:0008525	4	3	0,51	3	phosphatidylcholine transporter activity	0,00758061224610119
