Annotated	Significant	Expected	DEG	Term	pval
GO:0004128	3	3	0,35	3	cytochrome-b5 reductase activity, acting on NAD(P)H	0,00158875695843843
GO:0003756	19	9	2,22	9	protein disulfide isomerase activity	0,000122155274149568
GO:0004148	3	2	0,35	2	dihydrolipoyl dehydrogenase activity	0,0376838655280031
GO:0030170	144	27	16,81	27	pyridoxal phosphate binding	0,00855006041464291
GO:0004615	6	3	0,7	3	phosphomannomutase activity	0,0241908842656838
GO:0061631	32	10	3,74	10	ubiquitin conjugating enzyme activity	0,00262559010758307
GO:0004640	3	3	0,35	3	phosphoribosylanthranilate isomerase activity	0,00158875695843843
GO:0004106	2	2	0,23	2	chorismate mutase activity	0,01362045981496
GO:0004109	2	2	0,23	2	coproporphyrinogen oxidase activity	0,01362045981496
GO:0004298	28	13	3,27	13	threonine-type endopeptidase activity	4,94632879096234e-06
GO:0008898	2	2	0,23	2	S-adenosylmethionine-homocysteine S-methyltransferase activity	0,01362045981496
GO:0004602	9	4	1,05	4	glutathione peroxidase activity	0,0143719200045571
GO:0003700	959	127	111,94	127	DNA-binding transcription factor activity	0,000601680238830044
GO:0016174	3	2	0,35	2	NAD(P)H oxidase (H(2)O(2)-forming activity	0,0376838655280031
GO:0016656	6	3	0,7	3	monodehydroascorbate reductase (NADH) activity	0,0241908842656838
GO:0016149	8	4	0,93	4	translation release factor activity, codon specific	0,00878965754186408
GO:0051536	222	37	25,91	37	iron-sulfur cluster binding	0,015130659650244
GO:0016671	25	12	2,92	12	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	0,00488559230062617
GO:0051537	55	12	6,42	12	2 iron, 2 sulfur cluster binding	0,0228296841820215
GO:0070628	6	3	0,7	3	proteasome binding	0,0241908842656838
GO:0016621	2	2	0,23	2	cinnamoyl-CoA reductase activity	0,01362045981496
GO:0008962	2	2	0,23	2	phosphatidylglycerophosphatase activity	0,01362045981496
GO:0051082	135	33	15,76	33	unfolded protein binding	2,57358018718296e-05
GO:0003994	2	2	0,23	2	aconitate hydratase activity	0,01362045981496
GO:0051087	42	11	4,9	11	chaperone binding	0,00736396406236643
GO:0003824	12151	1568	1418,35	1568	catalytic activity	0,00142827724794396
GO:0044183	21	6	2,45	6	protein folding chaperone	0,0290128459186402
GO:0003955	13	6	1,52	6	NAD(P)H dehydrogenase (quinone) activity	0,00207904691656189
GO:0030234	509	66	59,41	66	enzyme regulator activity	0,00100194130833775
GO:0003978	7	3	0,82	3	UDP-glucose 4-epimerase activity	0,0387038132228988
GO:0051117	19	7	2,22	7	ATPase binding	0,00412488079332628
GO:0003935	3	2	0,35	2	GTP cyclohydrolase II activity	0,0376838655280031
GO:0031418	193	34	22,53	34	L-ascorbic acid binding	0,00930539837178819
GO:0008418	2	2	0,23	2	protein-N-terminal asparagine amidohydrolase activity	0,01362045981496
GO:0004781	3	2	0,35	2	sulfate adenylyltransferase (ATP) activity	0,0376838655280031
GO:0004784	12	5	1,4	5	superoxide dismutase activity	0,00842574161316425
GO:0004775	3	2	0,35	2	succinate-CoA ligase (ADP-forming) activity	0,0376838655280031
GO:0004776	3	2	0,35	2	succinate-CoA ligase (GDP-forming) activity	0,0376838655280031
GO:0008525	4	3	0,47	3	phosphatidylcholine transporter activity	0,00579926325145724
GO:0008526	11	4	1,28	4	phosphatidylinositol transfer activity	0,0311043092665221
GO:0031405	2	2	0,23	2	lipoic acid binding	0,01362045981496
GO:0005509	277	59	32,33	59	calcium ion binding	3,07630370388188e-06
GO:0030785	3	2	0,35	2	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity	0,0376838655280031
GO:0004742	3	3	0,35	3	dihydrolipoyllysine-residue acetyltransferase activity	0,00158875695843843
GO:0004743	11	4	1,28	4	pyruvate kinase activity	0,0311043092665221
