Annotated	Significant	Expected	DEG	Term	pval
GO:0006734	9	6	1,43	6	NADH metabolic process	0,000102132546661736
GO:0015995	28	16	4,46	16	chlorophyll biosynthetic process	7,30670283626464e-07
GO:0015977	22	8	3,5	8	carbon fixation	0,00362686803584328
GO:0015979	343	97	54,63	97	photosynthesis	9,32977516354556e-07
GO:1901962	3	3	0,48	3	S-adenosyl-L-methionine transmembrane transport	0,0040364076202695
GO:0006865	87	21	13,86	21	amino acid transport	0,00410063249514717
GO:0034220	621	96	98,9	96	ion transmembrane transport	0,00736629547044224
GO:0006817	282	74	44,91	74	phosphate ion transport	4,54156011644042e-06
GO:0070979	7	4	1,11	4	protein K11-linked ubiquitination	0,0149837548593991
GO:0005980	4	3	0,64	3	glycogen catabolic process	0,0142186225209101
GO:0005986	13	7	2,07	7	sucrose biosynthetic process	0,00181705636198747
GO:0005975	1113	263	177,26	263	carbohydrate metabolic process	4,19409629107476e-05
GO:0051513	4	3	0,64	3	regulation of monopolar cell growth	0,0142186225209101
GO:0005978	11	6	1,75	6	glycogen biosynthetic process	0,00362836235938701
GO:0010196	3	3	0,48	3	nonphotochemical quenching	0,0040364076202695
GO:0006538	9	4	1,43	4	glutamate catabolic process	0,0413479041036192
GO:0009234	4	4	0,64	4	menaquinone biosynthetic process	0,000642335986722652
GO:0120142	2	2	0,32	2	positive regulation of ecdysone receptor-mediated signaling pathway	0,0253578367334146
GO:0042550	2	2	0,32	2	photosystem I stabilization	0,0253578367334146
GO:0010158	2	2	0,32	2	abaxial cell fate specification	0,0253578367334146
GO:0030388	12	7	1,91	7	fructose 1,6-bisphosphate metabolic process	0,00097204797650441
GO:0019853	11	5	1,75	5	L-ascorbic acid biosynthetic process	0,0413185598722471
GO:0010114	12	6	1,91	6	response to red light	0,00628467674226961
GO:0009765	36	26	5,73	26	photosynthesis, light harvesting	0,00185449279237447
GO:0010133	2	2	0,32	2	proline catabolic process to glutamate	0,0253578367334146
GO:0009768	22	16	3,5	16	photosynthesis, light harvesting in photosystem I	4,70115848616891e-09
GO:0000413	72	19	11,47	19	protein peptidyl-prolyl isomerization	0,0156433836764292
GO:0009785	7	4	1,11	4	blue light signaling pathway	0,0149837548593991
GO:0009773	8	7	1,27	7	photosynthetic electron transport in photosystem I	1,77997996067997e-05
GO:0009723	106	22	16,88	22	response to ethylene	0,0114480532179469
GO:0009718	9	6	1,43	6	anthocyanin-containing compound biosynthetic process	0,00088105222029207
GO:0009749	22	7	3,5	7	response to glucose	0,0413763114114229
GO:0009734	123	36	19,59	36	auxin-activated signaling pathway	2,72767846157267e-05
GO:0009735	40	10	6,37	10	response to cytokinin	0,00403215337735655
GO:0010258	2	2	0,32	2	NADH dehydrogenase complex (plastoquinone) assembly	0,0253578367334146
GO:0010275	4	4	0,64	4	NAD(P)H dehydrogenase complex assembly	0,0253308668825141
