Annotated	Significant	Expected	DEG	Term	pval
GO:0000275	12	5	1,93	5	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	0,0314458522699207
GO:0005971	2	2	0,32	2	ribonucleoside-diphosphate reductase complex	0,0258159956376229
GO:0009654	24	15	3,86	15	photosystem II oxygen evolving complex	3,63110164055084e-07
GO:0016021	6645	1155	1067,83	1155	integral component of membrane	0,000115538799224752
GO:0012511	12	6	1,93	6	monolayer-surrounded lipid storage body	0,00657536842322913
GO:0031969	133	20	21,37	20	chloroplast membrane	0,0224698403776689
GO:0005886	1469	284	236,06	284	plasma membrane	0,000563078118831293
GO:0005874	178	54	28,6	54	microtubule	1,8757138106535e-05
GO:0005811	32	13	5,14	13	lipid droplet	0,0307423008452019
GO:0005819	50	9	8,03	9	spindle	0,0322044869220012
GO:0010287	24	12	3,86	12	plastoglobule	0,00011681252420717
GO:0019898	47	16	7,55	16	extrinsic component of membrane	0,00501688510202371
GO:0000148	12	5	1,93	5	1,3-beta-D-glucan synthase complex	0,0314458522699207
GO:0043240	4	3	0,64	3	Fanconi anaemia nuclear complex	0,0145875475001309
GO:0010005	3	3	0,48	3	cortical microtubule, transverse to long axis	0,00414616237630613
GO:0005802	93	22	14,94	22	trans-Golgi network	0,0260088464865425
GO:0009522	92	36	14,78	36	photosystem I	0,000249742193071139
GO:0009523	125	44	20,09	44	photosystem II	0,000893115361567819
GO:0009514	4	3	0,64	3	glyoxysome	0,0145875475001309
GO:0009543	17	6	2,73	6	chloroplast thylakoid lumen	0,0430201296390182
GO:0019005	56	16	9	16	SCF ubiquitin ligase complex	0,0128925835688805
GO:0009535	392	91	62,99	91	chloroplast thylakoid membrane	0,000252936052800624
GO:0009538	11	10	1,77	10	photosystem I reaction center	1,06529998623995e-07
GO:0009941	225	54	36,16	54	chloroplast envelope	9,53464203242123e-07
GO:0009506	212	46	34,07	46	plasmodesma	0,0184822522328128
GO:0009507	1541	295	247,63	295	chloroplast	0,0352288805489453
GO:0005773	377	79	60,58	79	vacuole	0,0040486912945237
GO:0010598	4	4	0,64	4	NAD(P)H dehydrogenase complex (plastoquinone)	0,000665700668364555
GO:0005960	4	3	0,64	3	glycine cleavage complex	0,0145875475001309
