Annotated	Significant	Expected	DEG	Term	pval
GO:0009897	2	2	0,32	2	external side of plasma membrane	0,0254115278340695
GO:0005951	2	2	0,32	2	carbamoyl-phosphate synthase complex	0,0254115278340695
GO:0005971	2	2	0,32	2	ribonucleoside-diphosphate reductase complex	0,0254115278340695
GO:1990712	2	2	0,32	2	HFE-transferrin receptor complex	0,0254115278340695
GO:0071013	39	12	6,22	12	catalytic step 2 spliceosome	0,0286027299704448
GO:0009654	24	9	3,83	9	photosystem II oxygen evolving complex	0,00876761806134132
GO:0016021	6645	1157	1059,43	1157	integral component of membrane	4,06085172617897e-05
GO:0012511	12	6	1,91	6	monolayer-surrounded lipid storage body	0,0063173822952727
GO:0005886	1469	297	234,21	297	plasma membrane	0,000118659939745468
GO:0005887	39	14	6,22	14	integral component of plasma membrane	0,00190973083772687
GO:0005874	178	53	28,38	53	microtubule	1,54286377620351e-05
GO:0010287	24	12	3,83	12	plastoglobule	0,000107969281579904
GO:0000148	12	6	1,91	6	1,3-beta-D-glucan synthase complex	0,0063173822952727
GO:0031261	5	3	0,8	3	DNA replication preinitiation complex	0,0254023877537936
GO:0042995	33	4	5,26	4	cell projection	0,0254631692978952
GO:0010005	3	3	0,48	3	cortical microtubule, transverse to long axis	0,00404908959993416
GO:0005802	93	22	14,83	22	trans-Golgi network	0,0240261710744721
GO:0009522	92	35	14,67	35	photosystem I	8,25590292788836e-05
GO:0009523	125	37	19,93	37	photosystem II	0,00177549019618381
GO:0009514	4	3	0,64	3	glyoxysome	0,014261365694059
GO:0019005	56	17	8,93	17	SCF ubiquitin ligase complex	0,0050627133395192
GO:0009538	11	8	1,75	8	photosystem I reaction center	4,32920104178481e-05
GO:0009941	225	38	35,87	38	chloroplast envelope	0,0167845426549584
GO:0097526	37	8	5,9	8	spliceosomal tri-snRNP complex	0,0263378637054665
GO:0009506	212	50	33,8	50	plasmodesma	0,00233329731872705
GO:0005773	377	74	60,11	74	vacuole	0,0337498015715409
GO:0010598	4	3	0,64	3	NAD(P)H dehydrogenase complex (plastoquinone)	0,014261365694059
