term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006807,"nitrogen compound metabolic process",38.744%, 0.827,-1.414,6.696,-2.1439,0.973,0.000,6807,0
GO:0010020,"chloroplast fission",0.003%, 2.823, 6.703,2.516,-5.9817,0.860,0.000,10020,0
GO:0009658,"chloroplast organization",0.019%,null,null,3.392,-4.5136,0.847,0.870,10020,1
GO:0010027,"thylakoid membrane organization",0.004%,null,null,2.713,-2.1539,0.786,0.891,10020,1
GO:0032509,"endosome transport via multivesicular body sorting pathway",0.022%, 4.022, 0.411,3.443,-2.9339,0.942,0.000,32509,0
GO:0032511,"late endosome to vacuole transport via multivesicular body sorting pathway",0.019%,null,null,3.395,-1.8072,0.942,0.781,32509,1
GO:0045324,"late endosome to vacuole transport",0.025%,null,null,3.498,-1.9669,0.942,0.792,32509,1
GO:0051776,"detection of redox state",0.000%, 2.515,-5.871,1.531,-1.8147,0.937,0.000,51776,0
GO:0042026,"protein refolding",0.069%, 1.586,-1.538,3.949,-4.9922,0.947,0.018,42026,0
GO:0010499,"proteasomal ubiquitin-independent protein catabolic process",0.020%,-0.528, 2.051,3.406,-3.8850,0.868,0.021,10499,0
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",0.226%,null,null,4.462,-2.2123,0.850,0.809,10499,1
GO:0006457,"protein folding",0.903%, 0.417,-0.612,5.064,-4.3047,0.948,0.027,6457,0
GO:0009693,"ethylene biosynthetic process",0.001%,-0.001,-0.828,2.286,-2.7700,0.914,0.030,9693,0
GO:0045454,"cell redox homeostasis",0.861%,-3.145,-1.916,5.043,-4.2957,0.796,0.034,45454,0
GO:0009835,"fruit ripening",0.000%, 3.539,-2.992,1.505,-3.0231,0.885,0.046,9835,0
GO:0009793,"embryo development ending in seed dormancy",0.024%,null,null,3.484,-2.3388,0.859,0.746,9835,1
GO:0009960,"endosperm development",0.001%,null,null,2.243,-1.5471,0.869,0.817,9835,1
GO:0015976,"carbon utilization",0.040%, 0.234,-0.140,3.715,-1.5471,0.932,0.065,15976,0
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",0.146%,-1.148, 5.066,4.274,-2.8827,0.868,0.094,90503,0
GO:0006792,"regulation of sulfur utilization",0.000%, 2.588,-1.469,0.778,-1.3749,0.925,0.136,6792,0
GO:0010940,"positive regulation of necrotic cell death",0.001%, 0.513,-3.072,2.258,-1.8147,0.854,0.170,10940,0
GO:0042793,"transcription from plastid promoter",0.001%,-1.637, 4.289,2.225,-1.7536,0.869,0.174,42793,0
GO:0006349,"regulation of gene expression by genetic imprinting",0.004%, 1.265, 2.590,2.689,-1.3749,0.862,0.177,6349,0
GO:0000373,"Group II intron splicing",0.003%, 0.885, 4.967,2.525,-1.8807,0.881,0.181,373,0
GO:0016554,"cytidine to uridine editing",0.003%, 1.344, 4.329,2.534,-1.6338,0.887,0.181,16554,0
GO:0006825,"copper ion transport",0.081%, 3.253, 0.712,4.014,-1.8146,0.954,0.184,6825,0
GO:0009073,"aromatic amino acid family biosynthetic process",0.540%,-7.024, 1.393,4.841,-4.2018,0.673,0.187,9073,0
GO:0000162,"tryptophan biosynthetic process",0.191%,null,null,4.389,-2.3919,0.685,0.853,9073,1
GO:0019722,"calcium-mediated signaling",0.040%, 3.382,-4.987,3.707,-1.6338,0.843,0.215,19722,0
GO:0010581,"regulation of starch biosynthetic process",0.000%,-4.757,-0.833,1.415,-1.3455,0.811,0.215,10581,0
GO:0055114,"oxidation-reduction process",15.060%,-5.933,-2.256,6.286,-1.7233,0.846,0.221,55114,0
GO:0006383,"transcription from RNA polymerase III promoter",0.079%,-3.109, 5.600,4.005,-1.4242,0.838,0.238,6383,0
GO:0009249,"protein lipoylation",0.091%, 1.942, 2.559,4.066,-1.5471,0.899,0.239,9249,0
GO:0006749,"glutathione metabolic process",0.151%,-4.557, 2.701,4.288,-3.0177,0.796,0.241,6749,0
GO:0006267,"pre-replicative complex assembly involved in nuclear cell cycle DNA replication",0.009%, 0.368, 7.387,3.061,-4.6494,0.739,0.245,6267,0
GO:0006334,"nucleosome assembly",0.089%,null,null,4.057,-1.9850,0.825,0.759,6267,1
GO:1902975,"mitotic DNA replication initiation",0.007%,null,null,2.947,-3.6300,0.813,0.838,6267,1
GO:0048756,"sieve cell differentiation",0.000%, 2.583,-2.982,0.699,-2.1625,0.856,0.256,48756,0
GO:0030308,"negative regulation of cell growth",0.030%, 1.334, 5.374,3.591,-1.8153,0.746,0.280,30308,0
GO:0030517,"negative regulation of axon extension",0.006%,null,null,2.854,-1.8147,0.717,0.845,30308,1
GO:0048671,"negative regulation of collateral sprouting",0.002%,null,null,2.314,-1.8147,0.732,0.896,30308,1
GO:0050790,"regulation of catalytic activity",1.575%, 2.390,-1.247,5.306,-2.1627,0.924,0.283,50790,0
GO:0006353,"DNA-templated transcription, termination",0.185%,-3.408, 5.421,4.375,-1.4121,0.830,0.298,6353,0
GO:0000727,"double-strand break repair via break-induced replication",0.013%, 2.919,-4.301,3.225,-3.0231,0.821,0.298,727,0
GO:0032447,"protein urmylation",0.016%, 1.072, 1.760,3.305,-1.3749,0.908,0.300,32447,0
GO:0010239,"chloroplast mRNA processing",0.001%, 1.257, 4.786,2.161,-1.8065,0.881,0.303,10239,0
GO:0010438,"cellular response to sulfur starvation",0.000%, 3.505,-6.258,1.342,-1.3749,0.910,0.307,10438,0
GO:0006165,"nucleoside diphosphate phosphorylation",0.600%,-6.694, 1.467,4.886,-2.1822,0.715,0.310,6165,0
GO:0046710,"GDP metabolic process",0.043%,null,null,3.741,-1.3749,0.733,0.766,6165,1
GO:0006782,"protoporphyrinogen IX biosynthetic process",0.116%,-7.471, 2.189,4.172,-4.0866,0.731,0.330,6782,0
GO:0015994,"chlorophyll metabolic process",0.048%,null,null,3.793,-1.3772,0.835,0.745,6782,1
GO:0046940,"nucleoside monophosphate phosphorylation",0.000%,-6.877,-0.577,1.380,-1.3013,0.793,0.332,46940,0
GO:0010264,"myo-inositol hexakisphosphate biosynthetic process",0.002%,-7.255,-1.865,2.320,-1.8147,0.778,0.333,10264,0
GO:0030150,"protein import into mitochondrial matrix",0.036%, 3.397, 6.590,3.668,-4.2645,0.749,0.347,30150,0
GO:0035794,"positive regulation of mitochondrial membrane permeability",0.006%,null,null,2.878,-1.8147,0.731,0.713,30150,1
GO:0032543,"mitochondrial translation",0.068%,null,null,3.941,-1.4115,0.712,0.717,30150,1
