Annotated	Significant	Expected	DEG	Term	pval
GO:0000427	5	3	0,63	3	plastid-encoded plastid RNA polymerase complex	0,01632976764303
GO:0005741	41	9	5,16	9	mitochondrial outer membrane	0,0494705614439099
GO:0048188	8	6	1,01	6	Set1C/COMPASS complex	8,79477469596491e-05
GO:0005746	45	13	5,66	13	mitochondrial respirasome	0,00633399897499798
GO:0005736	10	4	1,26	4	RNA polymerase I complex	0,0280265603586442
GO:0005737	7170	1108	902,06	1108	cytoplasm	0,000765537527153064
GO:0005739	1111	236	139,78	236	mitochondrion	1,29416604150461e-11
GO:0000813	8	4	1,01	4	ESCRT I complex	0,0114906809371973
GO:0000815	7	4	0,88	4	ESCRT III complex	0,00637713578719308
GO:0019773	16	6	2,01	6	proteasome core complex, alpha-subunit complex	0,0102597205252969
GO:0031969	133	24	16,73	24	chloroplast membrane	0,0306608665896652
GO:0031977	21	5	2,64	5	thylakoid lumen	0,00720768723833179
GO:0005666	19	7	2,39	7	RNA polymerase III complex	0,00628082958453623
GO:0042644	23	13	2,89	13	chloroplast nucleoid	6,40924723858809e-07
GO:0009368	13	8	1,64	8	endopeptidase Clp complex	4,43423870970302e-05
GO:0000126	3	2	0,38	2	transcription factor TFIIIB complex	0,043488451405556
GO:0000110	2	2	0,25	2	nucleotide-excision repair factor 1 complex	0,0158222016548281
GO:0048471	10	5	1,26	5	perinuclear region of cytoplasm	0,00457106016630393
GO:0030956	7	3	0,88	3	glutamyl-tRNA(Gln) amidotransferase complex	0,0470596692390198
GO:0031901	3	2	0,38	2	early endosome membrane	0,043488451405556
GO:0005637	4	3	0,5	3	nuclear inner membrane	0,007206427685805
GO:0009570	281	72	35,35	72	chloroplast stroma	1,05974150918591e-05
GO:0042555	11	7	1,38	7	MCM complex	0,000102715487107478
GO:0009534	420	49	52,84	49	chloroplast thylakoid	3,60181725542543e-06
GO:0008180	10	4	1,26	4	COP9 signalosome	0,0280265603586442
GO:0070761	2	2	0,25	2	pre-snoRNP complex	0,0158222016548281
GO:0005763	7	3	0,88	3	mitochondrial small ribosomal subunit	0,0470596692390198
GO:0030904	7	4	0,88	4	retromer complex	0,0434341930327208
GO:0009941	225	65	28,31	65	chloroplast envelope	2,70187175025307e-14
GO:0005750	7	3	0,88	3	mitochondrial respiratory chain complex III	0,0470596692390198
GO:0005758	15	6	1,89	6	mitochondrial intermembrane space	0,0235527158202308
GO:0005759	83	24	10,44	24	mitochondrial matrix	0,0280920075550507
GO:0001405	8	5	1,01	5	PAM complex, Tim23 associated import motor	0,0012635906371888
GO:0009507	1541	315	193,87	315	chloroplast	1,39126916545254e-16
GO:0009508	11	6	1,38	6	plastid chromosome	0,00103416877846157
GO:0005771	10	5	1,26	5	multivesicular body	0,00457106016630393
GO:0022626	193	26	24,28	26	cytosolic ribosome	0,00186058378214787
GO:0005777	112	23	14,09	23	peroxisome	0,0174032858122671
