Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0012011.1	Protein IQ-DOMAIN 1"	0.874908135311582	0.851874178733147	0.875653840976809	0.758886720168952	0.782552900560153	0.811243674414298	NA	NA	NA	NA	NA	NA	NA	-1.05461463022927	NA	NA
Niben261Chr01g0014008.1	Transmembrane protein 184"	1.2322078208601	0.862990182491473	1.15395743747114	NA	0.696684864863021	NA	NA	NA	NA	NA	NA	NA	NA	-1.57838599487174	NA	-0.967743720497146
Niben261Chr01g0191003.1	Mitogen-activated protein kinase"	0.63669769848419	0.991887708860822	0.746280027062302	1.84790202050777	1.53718432031826	2.06832869297271	NA	NA	NA	NA	NA	NA	NA	-0.693479509201037	NA	NA
Niben261Chr01g0220007.1	RING-type domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.838180299056479	NA	NA	NA	NA	NA
Niben261Chr01g0584029.1	Patatin"	0.923403369635947	1.23895870558145	1.14585282271053	NA	1.20559134449963	1.49961147256558	NA	NA	NA	NA	NA	NA	NA	-1.25497082297306	-1.04542040308912	NA
Niben261Chr01g0753001.1	L-ascorbate oxidase homolog"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.22127141068132	NA	NA	-0.672752255697208	NA	-0.710603024010935
Niben261Chr01g0897005.1	Non-specific serine/threonine protein kinase"	NA	0.905250168154524	0.619113730673234	1.50571917943718	1.29553734101897	1.81075173715566	NA	NA	NA	NA	0.956429556096283	NA	NA	NA	NA	NA
Niben261Chr01g1050001.1	Auxin response factor"	NA	0.955716290054044	0.588280111298257	1.35244807513959	1.1880139633354	1.49428172275773	NA	NA	NA	NA	NA	NA	NA	-0.743443328386898	NA	NA
Niben261Chr01g1505001.1	Prolycopene isomerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0356004.1	Very-long-chain aldehyde decarbonylase GL1-3"	NA	0.656705178023836	NA	NA	NA	0.9142128474464	NA	NA	NA	NA	NA	NA	-0.600618008250619	-0.943841682657622	NA	NA
Niben261Chr02g0391008.1	CASP-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0426008.1	AAI domain-containing protein"	NA	0.803520797905788	0.751864786523936	NA	0.763188106260661	0.938985175897894	NA	NA	NA	NA	NA	NA	NA	-1.79508227090698	NA	NA
Niben261Chr02g0607003.1	Glyco_trans_2-like domain-containing protein"	NA	1.32736680584306	0.994859902033714	2.34324821500436	1.91451440386984	2.96450248429957	1.22566866986746	NA	NA	NA	0.790982390095718	NA	NA	NA	NA	NA
Niben261Chr02g0749002.1	Polygalacturonase-1 non-catalytic subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.729340343419535
Niben261Chr02g0976002.1	Hexosyltransferase"	0.933456074678017	1.22552376741412	1.09774586449517	1.41957707331807	1.29623243128845	1.66465642260134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1158001.1	serine/threonine-protein kinase STY46-like"	NA	NA	NA	1.36826622822268	1.15937321378851	1.46622765812177	NA	NA	NA	NA	NA	NA	NA	-0.612603148033851	NA	NA
Niben261Chr03g0040016.1	AB hydrolase-1 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.555360821078	NA	NA
Niben261Chr03g0138004.1	Endoglucanase"	NA	0.650508806036031	NA	0.821958072283497	0.756375898260816	0.996253433895671	0.91924952576927	NA	0.784127496477371	NA	NA	NA	NA	-1.36461705303778	NA	NA
Niben261Chr03g0154010.1	GDSL esterase/lipase EXL3-like"	0.90720111159746	1.10316496956555	1.02368787633615	1.65193194670198	1.50667875848948	1.78893262127168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0167003.1	ribonuclease P protein subunit p25-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0181011.1	L-ascorbate oxidase homolog"	NA	NA	NA	NA	NA	1.14725038686585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
