"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.pink"	"p.MM.pink"
"Niben261Chr16g0343009.1"	"Receptor-like serine/threonine-protein kinase"	"pink"	0.309670242534964	0.0322044899263696	0.104359030799855	0.480254681240256	0.987155465536762	2.71289960241641e-38
"Niben261Chr17g1535045.1"	"AB hydrolase-1 domain-containing protein"	"pink"	0.374150130224148	0.00879895830817071	0.185762778406525	0.206189222938495	0.983720366428957	6.09403172594451e-36
"Niben261Chr09g0575003.1"	"AB hydrolase-1 domain-containing protein"	"pink"	0.382528241857225	0.00729058665738905	0.140378609069143	0.341270299489564	0.981867049869844	7.13346178267852e-35
"Niben261Chr12g0492008.1"	"heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic-like"	"pink"	0.311248127562396	0.0312910534512175	0.1213725834624	0.411206297066534	0.980538825821068	3.57502800817093e-34
"Niben261Chr12g1168004.1"	"WD_REPEATS_REGION domain-containing protein"	"pink"	0.325535811728602	0.0239570751332518	0.116783051332943	0.42924780687381	0.980164855982623	5.51667001665716e-34
"Niben261Chr08g0758003.1"	"Anthranilate synthase"	"pink"	0.406574245551482	0.00413611646792659	0.156501117820946	0.288120837289045	0.979921991365612	7.27974558083738e-34
"Niben261Chr06g0099008.1"	"1-deoxy-D-xylulose-5-phosphate synthase"	"pink"	0.319992174671575	0.026610169170061	0.156290700789924	0.288777639610051	0.977882059399317	6.59535808469569e-33
"Niben261Chr04g1175007.1"	"AB hydrolase-1 domain-containing protein"	"pink"	0.349440366008544	0.0149136865460392	0.202394428859659	0.167711915826093	0.977747148461758	7.57455209596045e-33
"Niben261Chr10g0337003.1"	"Transcription factor bhlh14"	"pink"	0.294363047354386	0.0422661390520554	0.0683371554582552	0.64443004858577	0.976333846724313	3.07527095459468e-32
"Niben261Chr02g0315004.1"	"Allene oxide synthase"	"pink"	0.437486477032827	0.00187437444170529	0.175683852244374	0.232319272751216	0.975739678100468	5.40526692083786e-32
"Niben261Chr03g0307006.1"	"(-)-camphene/tricyclene synthase, chloroplastic-like"	"pink"	0.36930192501327	0.00978939383937358	0.180581334894511	0.219351970716052	0.974041199515042	2.51695518905436e-31
"Niben261Chr14g1238001.1"	"(3S,6E)-nerolidol synthase 1"	"pink"	0.257995026450573	0.0766550540896234	0.0546151579280376	0.712361655443874	0.973857015889113	2.95559133117344e-31
"Niben261Chr02g1343006.1"	"4-coumarate--CoA ligase"	"pink"	0.462618399070224	0.000930837310488895	0.207299839985247	0.157430148478032	0.973759039234226	3.21777387354071e-31
"Niben261Chr06g1363022.1"	"12-oxophytodienoate reductase 3"	"pink"	0.405156692581262	0.00428157539884456	0.136885893716169	0.353536392058221	0.972781286525966	7.3865923456389e-31
"Niben261Chr13g0663003.1"	"trans-cinnamate 4-monooxygenase"	"pink"	0.246538201000654	0.0911757918313296	0.102053380340849	0.490059382874609	0.972018323995785	1.38371640420843e-30
"Niben261Chr09g1243001.1"	"serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' beta isoform-like"	"pink"	0.233763989196769	0.109794516595986	0.0528075588571194	0.721491324547204	0.970372855201935	5.06036858831177e-30
"Niben261Chr01g0888003.1"	"S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase"	"pink"	0.300045101188582	0.038266906988881	0.12958968029671	0.380015806305038	0.970113815776776	6.16502877636706e-30
"Niben261Chr13g1197002.1"	"Protein DETOXIFICATION"	"pink"	0.269838909268832	0.0636261468887805	0.10197382417265	0.490399540659397	0.969414196752616	1.04189394229853e-29
"Niben261Chr13g0664013.1"	"Protein kinase domain-containing protein"	"pink"	0.220258904489328	0.132499920613079	0.00254111035855508	0.986323913823335	0.969320789100759	1.11647375755803e-29
"Niben261Chr10g0918006.1"	"acetyl-CoA-benzylalcohol acetyltransferase-like"	"pink"	0.263840373133598	0.0699842305999143	0.118170068853886	0.423749069928984	0.968953858807132	1.46185259931997e-29
"Niben261Chr06g0182027.1"	"Lanc-like protein gcl1"	"pink"	0.274196305548913	0.0593036733066203	-0.000349845283848845	0.998117068586594	0.968432577633456	2.13209442259263e-29
"Niben261Chr13g0510015.1"	"Rubisco large subunit-binding protein subunit alpha, chloroplastic"	"pink"	0.243958512726383	0.0947227542854798	0.0366726013252046	0.804551414508473	0.968232122160244	2.4609569538562e-29
"Niben261Chr16g0182001.1"	"GDSL esterase/lipase At1g29670-like"	"pink"	0.338112894171727	0.0187504133449589	0.0984560475130599	0.505562374491975	0.967724247990348	3.52510321448978e-29
"Niben261Chr03g0774007.1"	"Anthranilate synthase"	"pink"	0.341058311552219	0.0176802385199084	0.0419996909015461	0.776841683722902	0.967306358071178	4.71768560052263e-29
"Niben261Chr14g0211003.1"	"Tify domain-containing protein"	"pink"	0.326242352322085	0.0236354529602098	0.132999049308172	0.367499039147275	0.965612895360814	1.4801212580939e-28
