GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0004003.1	Pentatricopeptide repeat-containing protein, chloroplastic	7.465261	5.262916	5.561204	3.662782	4.525943	4.14614	3.783596	3.310091	5.926612	4.319772	3.00468	5.228517	4.225637	4.074683	3.191571	8.288086	10.343893	11.023719	5.044883	5.511967	5.459978	7.395864	7.861251	9.288878	7.645253	7.745971	7.804316	4.737379	5.365469	5.099212	2.598388	4.723238	3.754483	8.515627	3.169475	4.212589	3.318946	9.181689	3.380919	10.606567	11.905214	10.340916	3.489563	5.241887	5.134622	4.6559	6.815206	5.561393
Niben261Chr01g0034003.1	RNA polymerase sigma factor	7.652351	5.834909	6.804597	3.516765	5.062608	4.420392	3.22549	3.515265	5.797489	2.556745	2.301888	3.194641	2.980824	2.996286	2.778131	5.970954	6.52931	6.736558	2.496706	3.888015	3.267335	7.307115	6.960631	8.755318	8.915144	8.530773	8.002995	5.422103	7.557178	6.436186	3.243858	5.210771	4.312676	4.736156	2.5046	3.118984	2.887294	6.019443	2.465526	7.684255	7.674704	6.980686	4.322608	4.680703	5.479294	6.069571	7.690665	5.388642
Niben261Chr01g0045014.1	glutamate formimidoyltransferase-like	4.868037	3.385646	4.539509	3.122784	3.362099	3.271501	2.499224	2.15563	3.200501	2.172209	1.633569	2.901062	2.02298	2.651042	3.068236	5.11778	6.645934	5.880974	3.10192	4.252442	3.806467	4.842734	5.823402	6.600456	6.768828	5.013244	4.927612	2.615084	5.104369	4.531026	3.425353	3.589067	3.972989	4.065475	2.027648	2.482763	2.548547	5.872222	1.774249	5.869634	5.475272	6.096125	2.295302	3.754493	2.920932	3.241324	3.73496	2.559777
Niben261Chr01g0142004.1	Atp-dependent zinc metalloprotease ftsh 2, chloroplastic	5.807933	4.501504	4.202279	4.432204	7.558645	4.41263	4.084597	5.24621	5.884682	4.512288	3.755577	4.065241	4.39182	4.302573	4.71075	5.971064	6.639705	5.32328	4.92125	6.344232	5.958023	8.013134	6.925233	7.78188	5.808105	5.347896	7.431872	6.500166	8.624752	6.146886	5.229156	6.541208	5.722567	6.341083	4.276184	4.879191	5.67617	5.777301	6.015666	8.149988	7.372387	7.182241	6.178345	5.780799	6.116366	8.063757	8.818261	6.991144
Niben261Chr01g0632005.1	Protein NEOXANTHIN-DEFICIENT 1	6.992653	6.423832	7.391101	3.601462	5.232872	3.788206	2.801403	2.874791	4.767437	2.37123	2.324042	3.272104	4.069631	2.90996	4.913536	7.087579	9.365717	8.701149	4.081411	6.734303	4.796192	8.927698	7.888244	9.182259	9.295947	9.155993	10.749485	5.610345	6.956144	7.183888	3.195722	4.130929	5.371987	6.057904	2.736205	4.166004	5.858811	7.144165	3.116436	11.325066	12.362488	11.10402	5.015537	5.976621	5.771055	5.887906	7.724353	5.29471
Niben261Chr01g1063004.1	Fe2OG dioxygenase domain-containing protein	8.468531	7.617345	4.403954	2.766188	4.934324	3.84684	4.172224	4.140764	6.854108	3.047313	4.328718	5.369771	6.065139	10.064214	7.056089	19.680941	18.93459	18.940403	5.139459	7.472696	7.441051	12.627294	15.095788	14.398945	6.146606	8.0923	3.929317	3.741979	4.805273	5.114243	2.800806	4.767451	3.657039	7.404042	3.659492	6.533586	3.942454	12.039392	6.528371	23.664942	25.094679	18.84098	6.121452	5.081351	5.276113	8.995063	8.725714	7.82658
Niben261Chr01g1184002.1	Mitogen-activated protein kinase	3.211691	3.964419	3.645944	3.890433	7.186174	4.916555	3.573567	4.328181	6.366621	3.721082	2.559165	3.804428	5.292502	4.14336	5.041828	7.726933	8.27526	7.878143	4.945935	5.306617	5.365097	12.018858	14.050981	10.203884	4.274534	5.014545	5.15416	8.450854	10.223945	7.628898	6.273487	6.878486	6.911839	6.81006	4.511195	5.354819	7.626717	7.669783	4.15993	10.052932	10.984206	8.964867	7.079514	6.402894	6.282139	6.077377	7.108029	7.981122
Niben261Chr01g1287008.1	thioredoxin-like 4, chloroplastic	35.413432	29.219671	31.479283	20.958876	26.03273	24.126865	17.645014	20.120189	32.969258	32.270007	21.919955	39.25693	38.405489	30.580883	34.078616	55.363147	60.180342	54.09384	28.062861	34.40304	36.375268	66.377216	64.565023	76.205555	52.210202	46.037699	42.951659	32.592744	36.047846	30.887949	22.068997	29.911323	23.724731	59.757697	28.865622	32.574963	47.606916	59.637174	32.973724	75.908677	69.893591	78.670131	26.254014	32.21884	40.355171	45.450196	54.960783	45.305028
Niben261Chr01g1343002.1	purine-uracil permease NCS1-like	8.403008	6.762308	4.087574	5.541548	5.718073	3.276446	3.978257	3.496385	7.067624	6.139285	5.175804	7.864995	8.398981	6.509256	7.234068	10.140757	11.394822	13.390927	6.861977	9.24539	10.969135	13.569817	15.280581	16.029451	10.041223	9.508131	8.596591	6.639863	8.893896	6.890575	8.314892	6.40673	7.514699	10.250465	5.672889	6.655035	8.233271	9.302548	5.44552	13.448339	12.656401	13.639458	4.641235	8.679598	6.516316	10.037056	10.689313	9.973492
Niben261Chr02g0110032.1	replication protein A 70 kDa DNA-binding subunit A-like	2.716755	1.172483	5.648949	1.432923	1.898778	0.246717	1.146796	1.648353	4.495788	3.81107	2.082168	5.165825	1.591314	3.227341	5.782486	7.707882	3.68403	6.458106	3.146351	2.824219	4.008748	7.110888	5.809012	6.808684	4.045867	2.428053	2.970081	2.699909	4.314607	3.650346	0.449074	4.586409	5.437162	7.122876	2.51466	5.892633	3.476679	4.02859	3.954362	8.606745	5.957267	7.608235	1.239087	2.095024	4.467671	2.974633	7.345063	3.312922
Niben261Chr02g0177003.1	GTP cyclohydrolase II	12.501869	11.374643	12.411736	7.61364	9.255227	8.453068	7.585778	7.266794	8.236231	12.270236	9.286955	13.051138	11.72394	12.283201	11.686228	20.947547	24.231086	24.568531	12.204785	18.412552	13.387509	18.047054	18.830095	16.766102	12.20702	11.239056	14.059622	7.671648	11.116736	8.282081	7.179059	8.913871	6.428152	17.036724	11.131196	12.957448	15.016129	22.63792	10.536685	23.410201	26.637809	25.638544	14.193761	14.270118	17.866755	17.24751	19.041776	17.042235
Niben261Chr02g0680001.1	Myb-like domain-containing protein	8.027262	3.737866	3.623723	1.623523	2.842093	1.688167	0.936286	1.303053	3.216081	1.68682	0.971405	1.792081	2.062234	1.351241	1.563904	3.378061	5.251677	4.627008	1.328086	3.194178	3.473272	7.74079	5.239546	4.92904	10.647664	7.363023	7.893994	3.638854	5.583449	2.863041	1.885582	3.209583	2.28794	5.116479	1.564238	2.016023	1.966053	4.22883	1.121379	6.130967	6.646095	6.716232	2.408658	2.534007	2.2696	2.439114	5.330472	3.981079
Niben261Chr02g0682009.1	mediator of RNA polymerase II transcription subunit 28-like	33.714767	30.342999	31.738761	25.651401	28.772163	32.596384	22.649178	24.883927	35.924901	31.145591	26.658889	28.415418	28.538426	23.669982	31.504527	33.404792	34.567721	38.95536	22.856212	23.780066	29.250978	48.023958	48.52854	63.638014	41.118606	44.316083	42.293319	31.464248	35.260699	35.884975	26.301777	26.97566	29.623111	37.421354	28.086107	34.244947	31.426291	35.323901	28.514674	51.051605	39.512601	39.927733	39.239465	34.242742	32.860435	41.253152	46.687505	41.842446
Niben261Chr02g0691009.1	chloroplast sensor kinase, chloroplastic-like	4.536831	4.539072	3.77163	3.111738	2.956572	2.741788	2.134959	2.704853	3.630409	2.572597	2.28476	3.629752	2.736764	2.504561	2.818742	4.701557	6.047236	6.085511	3.863874	5.114279	4.388298	4.767	5.192118	5.807137	5.944592	5.330875	4.734189	3.515592	5.167479	3.19403	2.82551	3.979297	3.068795	4.662322	2.613038	2.40754	1.678597	5.450349	2.046251	6.448759	6.794913	6.088968	3.052305	4.461508	4.102706	4.870983	5.363028	4.403902
Niben261Chr02g0776008.1	DNA ligase 1	4.646241	6.316381	4.347418	1.890471	1.461295	0	0.882571	1.268569	1.845306	0.902459	0	1.223264	1.632895	1.528464	2.321837	3.235619	4.410344	0.710021	1.383671	3.161473	0.881464	8.208785	6.556884	11.564022	6.70641	8.221946	4.155941	1.846972	2.371794	4.397381	2.07364	1.283524	0.984571	1.044143	0	2.418644	3.891846	3.875492	1.432126	6.8374	8.770729	4.821995	2.860795	2.149767	3.66753	8.324622	7.536991	3.708534
Niben261Chr02g0822033.1	CCHC-type domain-containing protein	4.535374	4.641082	3.228789	2.158155	2.703555	2.710977	1.830548	1.765782	2.58751	0.993776	0.647644	1.583755	1.641526	2.253816	1.840843	5.001013	4.540568	3.328042	1.471262	2.35722	2.426025	6.71022	4.49711	4.416733	6.853411	5.615366	5.342968	3.456546	4.881514	4.610021	2.130108	2.603582	1.494663	2.462207	1.696459	2.782088	2.655313	4.383068	1.291239	7.135908	5.201201	6.04363	1.947052	2.554391	1.781337	3.711814	5.866309	4.019476
Niben261Chr02g1036006.1	Fe2OG dioxygenase domain-containing protein	2.845779	3.123991	4.097646	3.792437	3.641469	3.876508	2.569496	2.687696	4.533604	3.142073	2.575007	4.478189	4.164066	3.531461	3.687651	4.883087	5.639475	4.750565	4.658654	4.86146	3.993138	4.961503	5.597456	5.149561	4.970326	4.473124	4.530855	4.204754	5.360193	5.240437	3.128531	4.777246	3.893781	3.645307	2.822784	3.366519	3.40612	4.837094	3.504346	5.438688	6.310748	5.154209	3.285479	4.635398	4.090858	5.916056	6.049761	5.22367
Niben261Chr02g1074003.1	Peroxidase	13.813011	10.730426	19.386943	7.493683	8.688695	4.515852	10.495339	8.799893	10.971979	18.780713	3.811152	20.001819	19.418021	11.360095	9.203588	35.270813	28.09651	33.773617	8.227152	16.448043	18.343796	21.692671	49.619169	36.527884	19.937777	22.221257	14.826452	8.236417	18.333148	18.88252	12.329627	11.44753	5.854149	18.625064	6.904163	32.357212	14.462798	25.347561	8.515261	35.572609	37.927099	36.862766	5.669988	17.04303	19.08088	2.474863	28.809064	27.563156
Niben261Chr02g1333008.1	UDP-galactose transporter 2-like	5.900804	5.937251	6.121286	10.049877	7.282	6.77389	6.697583	5.854726	7.738226	9.945135	11.102528	8.906301	8.370139	9.053918	7.15673	5.496429	5.066739	6.43422	7.238931	7.802575	7.36491	4.606088	6.105713	4.688099	5.232356	6.13067	6.266918	7.316568	9.118761	8.871773	10.272317	7.721247	11.798785	5.807882	6.453594	8.515643	6.842651	6.459791	7.538649	3.603365	3.936584	4.252987	5.908978	5.784386	7.287557	3.159	3.291149	4.933764
Niben261Chr02g1474001.1	H(+)-exporting diphosphatase	9.019683	10.944792	9.866579	7.861177	10.323014	8.252988	3.994315	4.919826	6.838277	5.362304	4.690391	6.689426	7.882794	7.593856	7.203129	12.528488	16.812503	19.16716	12.702077	12.900678	11.331591	11.812512	12.838303	13.449511	11.03229	12.110998	11.380785	9.268137	15.020924	12.409369	6.831219	8.034043	8.263068	9.957133	5.955684	6.426297	10.348817	13.809673	8.609133	14.492476	19.143922	16.713963	8.266141	11.497267	12.006803	11.116963	10.883935	10.063548
Niben261Chr03g0084005.1	DEAD-box ATP-dependent RNA helicase	19.084484	17.172637	16.85081	11.622225	15.811028	10.910302	9.30612	10.004962	13.627032	15.052899	11.915905	15.257973	17.12779	15.639303	15.468434	19.693796	25.462676	23.686107	14.589879	18.293929	15.123709	19.30171	21.461881	21.110231	22.316095	22.106234	21.620687	16.353637	20.756576	16.603842	13.180027	14.453441	14.722395	16.802383	14.988239	13.640089	19.124335	22.667666	15.495426	22.671233	28.532436	24.27081	18.673668	19.692855	19.942165	20.858631	22.666868	19.313557
Niben261Chr03g0141009.1	HVA22-like protein	3.683223	2.78691	3.522826	2.34202	2.943787	2.409971	1.821986	2.215583	4.063288	2.168329	2.044042	2.312976	3.51702	2.359188	3.12903	4.22825	5.456266	4.816726	3.893291	5.076681	3.177982	4.888343	7.704561	4.554678	2.788837	3.563038	5.622906	3.854369	4.586263	2.790513	2.395601	3.58967	3.631217	3.113231	2.187167	3.335701	4.07268	3.207572	2.669023	5.028882	5.64478	4.961209	2.40016	4.863045	5.172313	3.561119	6.198265	4.571228
Niben261Chr03g0210003.1	Cinnamoyl-CoA reductase	46.292461	41.199208	45.272178	33.562484	39.64621	32.999963	30.497626	33.102481	49.140641	32.529236	27.843773	38.191246	36.638851	27.777623	34.396586	52.882236	55.912941	53.596865	32.137548	40.905676	36.647469	56.034378	58.500451	59.682822	55.284816	47.904063	54.994504	45.082696	53.183666	50.191837	40.481131	52.861606	37.690798	55.539464	35.127212	46.118107	41.430388	59.45075	34.801484	76.833412	72.822174	63.89784	52.090834	66.777834	59.809758	69.579512	86.064848	69.785439
