Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0012011.1	Protein IQ-DOMAIN 1"	0.874908135311582	0.851874178733147	0.875653840976809	0.758886720168952	0.782552900560153	0.811243674414298	NA	NA	NA	NA	NA	NA	NA	-1.05461463022927	NA	NA
Niben261Chr01g0014008.1	Transmembrane protein 184"	1.2322078208601	0.862990182491473	1.15395743747114	NA	0.696684864863021	NA	NA	NA	NA	NA	NA	NA	NA	-1.57838599487174	NA	-0.967743720497146
Niben261Chr01g0054008.1	NADPH-protochlorophyllide oxidoreductase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.844636722129591	NA	NA
Niben261Chr01g0067005.1	basic leucine zipper 61-like"	0.922561920031326	1.30528669063227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0138011.1	Chaperone protein dnaj gfa2. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89910760887917	NA	NA	-1.84823609905199	NA	NA
Niben261Chr01g0176002.1	Alpha/beta-Hydrolases superfamily protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03353100544791	NA	NA	NA	NA	NA
Niben261Chr01g0196022.1	protodermal factor 1-like"	0.610099075957213	0.98148289006372	NA	0.98145742912193	1.04019283311008	1.16774792560847	1.4167614266255	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0487002.1	protein LNK1-like isoform X1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751373329953506	NA	NA	NA
Niben261Chr01g0539001.1	beta-xylosidase/alpha-L-arabinofuranosidase 2-like"	NA	NA	NA	NA	NA	-0.911126255463378	NA	NA	NA	NA	1.89938973565339	NA	NA	-1.27633864189365	NA	-0.634823481128391
Niben261Chr01g0584029.1	Patatin"	0.923403369635947	1.23895870558145	1.14585282271053	NA	1.20559134449963	1.49961147256558	NA	NA	NA	NA	NA	NA	NA	-1.25497082297306	-1.04542040308912	NA
Niben261Chr01g0616007.1	Enoyl-[acyl-carrier-protein] reductase [NADH]. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.11832128292565	NA	NA
Niben261Chr01g0654003.1	mitochondrial carnitine/acylcarnitine carrier-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.665923060565321	NA	NA	-0.79794510021924	NA	NA
Niben261Chr01g0890008.1	Dihydroxy-acid dehydratase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24664683787775
Niben261Chr01g0895004.1	amino-acid permease BAT1 homolog"	0.800702010034741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.830440553853772	-1.51413949111737	NA	NA
Niben261Chr01g0912007.1	Dihydrolipoyl dehydrogenase"	NA	0.875982917442939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75488398302405	NA	NA	0.883438339299744
Niben261Chr01g0973008.1	LIM domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.743911856170704	NA	NA	NA	NA	NA
Niben261Chr01g0982004.1	Pyruvate kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.784492977592406	NA	NA
Niben261Chr01g1007002.1	transcription factor bHLH71-like"	0.951037032252706	0.881474819033364	NA	NA	NA	NA	NA	NA	NA	NA	0.954278542407992	NA	NA	NA	NA	NA
Niben261Chr01g1050010.1	CSC1-like protein ERD4"	NA	0.814190207429175	NA	1.16873852385089	0.987126642308769	1.06426658989734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1052002.1	BAG family molecular chaperone regulator 2-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.932086524950879	NA	NA	-2.04501075228849	-1.30476408566966	-1.21951439103612
Niben261Chr01g1061003.1	Transmembrane 9 superfamily member"	NA	0.663093609494057	0.687288608904791	1.01829050747911	0.919612609196503	1.27640211869752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
