Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0031011.1	Adenosine kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0249008.1	trifunctional UDP-glucose 4.6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3.5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1-like"	NA	NA	NA	2.4826760646468	2.02057761482623	2.63032004458023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0351010.1	cytochrome c-type biogenesis ccda-like chloroplastic protein"	NA	NA	NA	0.58769503086843	0.598895229743561	0.657824765273983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0421004.1	heterodimeric geranylgeranyl pyrophosphate synthase small subunit. chloroplastic-like"	NA	NA	NA	8.15636672216745	8.20534318802802	6.923203563542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0450010.1	Cytokinin riboside 5'-monophosphate phosphoribohydrolase"	NA	NA	NA	1.40976655792697	1.04615668935498	1.28888427164203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0794004.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0896008.1	Non-specific serine/threonine protein kinase"	NA	1.13194683465088	NA	1.53773750845937	1.42785382385047	1.64056848482604	0.985746042733049	NA	NA	NA	NA	NA	NA	0.674460961902005	0.726807070280574	NA
Niben261Chr01g0976002.1	UDP-glycosyltransferase g26396"	NA	0.678153746644496	NA	1.3008372633946	1.11226774880984	1.29216959492208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1081002.1	caffeoylshikimate esterase"	NA	NA	NA	NA	NA	0.926632631447158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1082012.1	ADP.ATP carrier protein"	NA	NA	NA	1.14459738492914	NA	1.17063188342307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1098009.1	Chr1:25693926-25694946 FORWARD LENGTH=183"	NA	NA	NA	1.18863775031946	1.01534693644647	1.14006999644817	NA	NA	NA	NA	0.836819352029205	NA	NA	NA	NA	NA
Niben261Chr01g1119001.1	Transcription factor myb1r1"	NA	NA	NA	NA	NA	0.741750266801342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1138010.1	Root meristem growth factor 6"	NA	NA	NA	3.31996033609335	1.82687062013374	2.19459572602134	NA	NA	NA	NA	NA	NA	NA	2.46000931225085	NA	NA
Niben261Chr01g1241001.1	Chr4:10574903-10577267 REVERSE LENGTH=185"	NA	NA	NA	NA	NA	1.65540411490464	-1.59279269428226	-1.4838955106681	-1.45988666879367	NA	NA	NA	NA	1.63202725860767	NA	-1.71467757877393
Niben261Chr01g1269014.1	Patatin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1269015.1	Patatin"	NA	NA	NA	7.57937945904423	7.80741402547714	6.54071031418186	8.15418738856139	6.85410216074211	7.25634543181819	6.33325393157675	7.17128485705597	6.51176180722157	NA	NA	4.95468747301297	NA
Niben261Chr01g1317004.1	Cysteine proteinase RD21a"	NA	NA	NA	1.41634090795315	1.10108623837415	1.55672444923136	NA	NA	NA	NA	NA	NA	0.637251142755395	0.748877384598933	NA	NA
Niben261Chr01g1322012.1	S-adenosylmethionine synthase"	NA	NA	NA	NA	NA	0.709523958099073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1363012.1	Geranylgeranyl pyrophosphate synthase"	NA	0.733283834556762	NA	1.57477309882479	1.38454050673082	1.61638640147135	1.46130303789284	1.29034202194475	1.16117475563519	1.10608454452658	1.24173645370114	1.15928473790096	1.0438222256222	0.614123555160647	0.786654276848382	NA
Niben261Chr01g1508003.1	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	NA	NA	NA	NA	0.665228828883231	0.914547863408744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0083008.1	GFO_IDH_MocA_C domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0084019.1	Lipoxygenase"	NA	3.0570538545422	NA	5.90365962845116	5.50474024089697	5.22985395470613	6.83862290044006	6.6667904240416	6.42237945060544	5.86712745200521	6.76995954660885	6.83455303396381	6.30549169786607	6.10918131058324	6.12159783689717	NA
Niben261Chr02g0085008.1	Lipoxygenase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0093002.1	Cysteine-rich extensin-like protein"	NA	1.64948251175375	0.86831669134629	3.09208096306244	2.77283962291604	3.26331277010169	3.81171687636648	3.25910860826732	2.90430107243778	2.37202760060219	3.01515967228587	2.36298888444467	1.80552209224744	1.46635247370213	1.70914536904508	NA
Niben261Chr02g0101009.1	Formyltetrahydrofolate synthetase"	NA	NA	NA	0.835427973990449	0.665881604566722	0.825212420382094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0230006.1	Enoyl-[acyl-carrier-protein] reductase. mitochondrial"	NA	5.48742275157385	NA	10.2709149719385	9.70735133017533	7.29635534565526	9.17065190886583	9.06023304767804	9.1354470319389	6.58688578405197	6.8230482346933	6.50493703490969	7.48569574329605	6.93777510840828	8.21021902172581	NA
Niben261Chr02g0315004.1	Allene oxide synthase"	NA	2.39308573266493	1.52438876156978	4.29038595038558	3.84117475299731	3.82862631470365	3.25666063481557	2.63771548299319	2.58319411734902	2.17431147122666	1.86027247948716	1.64824614720493	1.62273480966801	2.24858687838877	2.09481734259181	NA
Niben261Chr02g0340007.1	O-fucosyltransferase family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0518023.1	early nodulin-like protein 1"	NA	NA	NA	NA	2.3870448987151	2.59868665356316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0552001.1	vicianin hydrolase-like"	NA	1.04576891307521	NA	1.60663026130681	1.42135221749586	1.75145932570021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0720001.1	lipase-like"	NA	1.2204252153548	NA	2.98827999969464	2.52423027441266	3.074680866591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0757006.1	Spermidine synthase"	NA	NA	NA	2.41172475087107	1.95279397412552	2.49391266852837	NA	NA	NA	NA	NA	-0.598413588342535	NA	NA	NA	NA
Niben261Chr02g0780007.1	IAA-amino acid hydrolase ILR1-like 2"	NA	2.39179688333151	NA	3.7625223198962	3.4409544451797	3.05260801933987	NA	NA	NA	NA	NA	NA	NA	1.19513376653867	1.05208960036382	NA
Niben261Chr02g0915012.1	UDP-arabinopyranose mutase"	NA	NA	NA	0.767553174589084	0.703418498856034	0.916874404567263	NA	NA	NA	NA	NA	NA	0.659503597085393	NA	NA	NA
Niben261Chr02g0953008.1	S-adenosylmethionine decarboxylase proenzyme"	NA	NA	NA	1.52250534721261	1.1436146098448	1.57062177373631	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.607862489178103
Niben261Chr02g1061004.1	Kh domain-containing protein"	NA	NA	NA	0.933384727796283	0.814362295939406	0.917158541205348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1132010.1	V-type proton ATPase proteolipid subunit"	NA	NA	NA	0.753953785428345	NA	0.869405236850951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1280010.1	isoflavone 2'-hydroxylase-like"	NA	1.57856439960128	NA	3.8312896225512	3.47671464411049	3.53982015731683	1.98403159202789	1.01235349673293	1.36511257948759	0.869220735028932	1.08009277999921	0.97558544179715	0.938476960141814	1.57564635872964	1.46986737169839	NA
Niben261Chr02g1343006.1	4-coumarate--CoA ligase"	NA	1.95806284570645	NA	3.84359410616435	3.53759140205177	3.12907984419146	1.95009560753568	1.04023060085341	1.36911249913147	NA	NA	NA	0.78092520215615	NA	0.677500487439748	-0.825144181334181
Niben261Chr02g1370003.1	outer envelope pore protein 24B. chloroplastic-like"	NA	NA	NA	NA	NA	1.78890028662531	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02654149638556
Niben261Chr02g1453001.1	Holocarboxylase synthetase"	NA	NA	NA	NA	NA	1.12562770426647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1506012.1	Quinolinate phosphoribosyltransferase [decarboxylating]"	NA	0.740273494457318	NA	3.49412322420536	2.91386621625425	3.36525008957412	2.68769696040462	2.11409897047266	2.40405066168339	1.60364600963947	1.44026625713728	NA	NA	NA	0.676782337974262	NA
Niben261Chr02g1508014.1	histone H1-I-like"	NA	NA	NA	NA	NA	1.43513353312205	1.60629486481015	NA	NA	NA	1.2008535128918	0.871082479539773	NA	NA	NA	NA
Niben261Chr03g0005023.1	translation initiation factor IF-2-like"	NA	NA	NA	1.06481107764151	0.8965277284733	1.17084949375616	0.846633358646609	NA	0.59343970248599	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0015004.1	Ring finger protein"	NA	NA	NA	1.68985144340308	1.36296529957724	1.51727729139149	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.709221561294348
Niben261Chr03g0035006.1	oligopeptide transporter 7-like"	NA	0.790312944303055	NA	1.39094396928822	1.20510240406219	1.56019110626222	NA	NA	NA	NA	NA	NA	-0.698886696206474	-0.620976402651815	-0.681063280360456	NA
Niben261Chr03g0056007.1	1-aminocyclopropane-1-carboxylate synthase-like"	NA	NA	NA	0.794347989223762	NA	0.922552748981623	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.593791648450709
Niben261Chr03g0085006.1	RHOMBOID-like protein"	NA	NA	NA	1.7076241474852	1.37792406945455	1.95303579765179	NA	NA	-0.816362353359364	-0.825795531092545	NA	NA	NA	NA	NA	NA
Niben261Chr03g0096001.1	bifunctional dTDP-4-dehydrorhamnose 3.5-epimerase/dTDP-4-dehydrorhamnose reductase"	NA	NA	NA	0.688224914234866	NA	0.827011602570477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0104020.1	nudix hydrolase 14. chloroplastic-like"	NA	NA	NA	NA	NA	0.672985391064865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0221009.1	thioredoxin M3. chloroplastic"	NA	1.22376413434055	NA	3.25849148477563	2.87658254311571	3.44298236293525	2.41376036447679	NA	1.34211983759857	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0223008.1	Tryptophan synthase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0401003.1	Malic enzyme"	NA	NA	NA	1.31214721409865	0.984064374505871	1.37876752110142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0410005.1	Remorin"	NA	NA	NA	1.03992160770437	0.955991783989332	0.902696228448369	NA	NA	NA	NA	NA	NA	0.689621302201136	NA	NA	NA
Niben261Chr03g0413011.1	acyl-CoA thioesterase 2"	NA	0.765606872600259	NA	1.70914660918943	1.41013641589543	1.73768088278905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0442001.1	Chr1:8400638-8401171 FORWARD LENGTH=137"	NA	-1.01306957422269	NA	NA	NA	1.12377977549442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0529013.1	PLATZ transcription factor family protein"	NA	NA	NA	NA	1.17522331804029	1.51335435099388	NA	NA	NA	NA	NA	NA	NA	0.747504088284009	NA	NA
Niben261Chr03g0629001.1	WAT1-related protein"	NA	NA	NA	1.82995290149638	1.52647054990721	2.21728682013548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0751014.1	E3 ubiquitin-protein ligase MIEL1-like"	NA	1.18491716290711	NA	2.79420576617867	2.57892818062843	2.24599525822932	NA	NA	NA	-1.39607035345631	-1.58668934266046	-1.74284541722976	-1.61261251763073	-2.54638935231854	-2.36919249184818	NA
Niben261Chr03g0822044.1	Cysteine proteinase RD21a"	NA	1.54897461645922	NA	2.62085502771477	2.60621762221821	2.07531632067743	1.71317310557715	1.86934062093475	1.683798653898	1.48658101848596	2.30457145665364	2.19319630051678	2.0163358583715	0.721199950513399	NA	NA
Niben261Chr03g0916010.1	Tify domain-containing protein"	NA	1.28773858179516	NA	1.97625758777391	1.86307186393963	1.78349872398917	2.52613730168623	1.7648095035357	1.77452601079861	1.59475049538326	1.66461987959219	1.14005438110842	0.784855966715419	NA	NA	NA
Niben261Chr03g1051003.1	RAB6-interacting golgin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.641751861641444
Niben261Chr03g1062002.1	Actin-depolymerizing factor"	NA	1.64700056382413	NA	3.1055101112779	2.97072613722633	3.2626727113921	NA	NA	NA	NA	NA	3.25924786362209	2.71496524351535	NA	NA	1.3792750571614
Niben261Chr03g1163007.1	GRF-type domain-containing protein"	NA	NA	NA	3.19506893419669	3.31603803553882	2.99020091642259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1276001.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	2.62708667511723	2.17096003421515	2.84797528274047	1.67818430773748	NA	NA	NA	NA	NA	NA	-0.61000831524826	NA	NA
Niben261Chr03g1276002.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1472008.1	Copper-transporting ATPase"	NA	NA	NA	1.06669959316906	0.771680494919964	1.26311119457667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1810009.1	Squalene synthase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1872005.1	Thioredoxin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g0078008.1	Alba domain-containing protein"	NA	NA	NA	1.24579085800764	1.01696721164486	1.20198444623885	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.841605252164275
Niben261Chr04g0264018.1	UDP-D-apiose/UDP-D-xylose synthase 2-like"	NA	NA	NA	NA	NA	0.732587183376567	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.61794922871704
Niben261Chr04g0292014.1	cytochrome P450 98A2-like"	NA	-0.585595954034442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.13330028963581	NA	NA	1.77559777472229
Niben261Chr04g0324001.1	Chr5:580113-580454 FORWARD LENGTH=84"	NA	NA	NA	NA	NA	1.26034673661919	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.59692526069068
Niben261Chr04g0418025.1	protein TIFY 5A-like"	NA	NA	NA	NA	2.07712976913622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g1072007.1	auxin-induced protein 15A-like"	NA	NA	NA	2.89927266208312	2.40668652448345	3.38147374090055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
