GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0011008.1	Ribonuclease P protein subunit p29	1.290525	2.734383	1.877841	4.438166	4.856946	3.53225	4.659181	4.298819	4.879765	6.306921	6.028203	6.847261	6.156764	5.496281	4.654071	2.45338	3.779354	2.757106	3.498431	3.192753	5.205351	8.057702	6.596044	8.101741	2.34647	2.35144	2.193687	4.189224	4.296644	3.543661	5.519617	4.799494	5.706701	4.935036	4.571183	5.672389	6.66608	2.235461	3.69698	3.246709	4.422011	4.188822	5.144938	3.911099	3.431741	6.793848	6.149465	8.712498
Niben261Chr01g0034004.1	Ubiquitin-like domain-containing protein	1.907766	1.620958	1.115667	2.910881	2.812564	1.754159	3.623874	3.038464	3.314894	1.389575	2.302878	1.726578	3.771413	1.176738	1.390311	2.214264	1.61688	1.639898	4.142695	4.665097	4.524159	12.639604	8.566356	12.056066	2.950371	3.069059	3.839504	4.265856	6.938813	6.645217	10.288293	5.434895	16.676096	3.483426	2.582556	1.862072	4.744086	4.574967	1.102569	3.070665	3.478526	3.005253	5.873272	7.35586	8.706001	8.331677	9.118371	8.565409
Niben261Chr01g0064025.1	Two pore calcium channel protein 1A	2.543223	2.320107	3.653271	3.854354	3.112974	3.298265	3.468355	4.095168	4.841936	3.988267	3.32867	4.474641	3.332979	3.550561	3.32653	5.027517	5.099302	5.53725	3.526883	4.088774	3.789166	6.091201	6.997462	4.795277	3.676937	2.612371	2.759033	2.703224	4.893757	3.62641	3.744357	6.13194	5.482433	6.929837	4.185761	3.992604	2.670542	6.429977	3.269186	5.291395	6.281435	5.654367	2.537198	4.234955	4.841307	4.405724	6.153357	4.509304
Niben261Chr01g0118005.1	ATP synthase protein I	15.857387	14.03606	14.908854	17.321378	23.928104	21.973969	37.827009	35.763805	63.054872	35.227644	28.021373	32.880359	21.947687	25.60312	18.996539	24.334986	26.118843	29.814439	7.471451	10.004093	9.828666	60.328627	59.873546	62.684037	21.753954	21.136468	21.434472	31.168618	37.66317	34.160417	47.93536	56.437679	53.399238	59.732544	23.921532	35.996809	16.778168	45.839046	18.747195	23.368055	27.448071	22.975485	11.525872	14.401387	11.045028	45.0854	60.959727	49.2483
Niben261Chr01g0151009.1	SHSP domain-containing protein	1.195675	1.290058	0.310771	5.495628	13.057402	8.25231	41.386867	52.172583	70.04412	82.187481	61.581141	76.076105	36.418477	43.157994	36.846279	27.601204	18.916144	13.29784	5.802741	5.19788	3.528592	150.871987	125.444455	149.415653	1.232745	1.068614	0.118833	12.014637	19.056898	19.139006	64.826823	82.668017	78.826825	78.07292	50.909613	65.526956	33.106364	39.782324	31.428854	28.71493	19.492968	16.151448	6.271367	5.737161	4.456885	101.401171	95.901831	101.666183
Niben261Chr01g0194010.1	SWIM-type domain-containing protein	8.690034	10.204576	8.745698	17.404986	23.199684	23.124505	23.0331	27.405028	22.674517	17.271552	20.352312	21.548968	13.317138	14.293713	13.970435	10.555285	15.07261	12.198862	18.857789	15.641998	9.776784	28.9608	33.186853	32.065677	9.167819	10.728703	9.038381	19.280707	23.521401	29.539018	30.065147	26.239347	27.836319	21.799795	21.044297	16.83229	17.774453	12.811257	15.884472	10.223157	12.832049	10.78655	14.517267	18.857185	18.54462	25.346258	27.865591	26.615678
Niben261Chr01g0349002.1	Chr4:13703417-13704655 REVERSE LENGTH=235	2.414491	2.995271	3.317892	4.399019	7.086433	5.274681	6.144957	6.677891	10.797741	4.757306	5.39243	6.348419	3.450463	4.585705	3.368857	4.330673	5.087974	5.305465	3.786849	3.1905	3.721516	12.018075	11.820074	10.542766	3.575192	3.072754	3.82928	6.030848	8.302293	7.262005	7.233186	13.04388	7.809028	4.83288	4.620573	4.512135	4.545639	3.974887	3.744407	5.096949	5.197279	4.169981	4.373654	5.747704	6.251571	6.862557	7.288738	7.918461
Niben261Chr01g0452001.1	Mitochondrial import inner membrane translocase subunit TIM22	26.939728	29.63536	25.583122	18.099848	21.539966	22.799807	32.389319	31.600597	37.911897	46.680772	42.615925	43.187532	42.231449	42.376105	39.520164	42.742527	44.400842	45.317282	21.589477	20.283327	16.52689	43.661285	49.45934	46.803689	21.383527	28.724083	26.082607	24.315441	30.197851	29.23556	39.428899	43.266396	37.182324	44.016756	50.848022	55.314998	47.220668	49.251929	42.180724	43.184448	54.818183	43.233876	25.358988	25.729957	27.552582	71.175432	70.152037	71.752299
Niben261Chr01g0509004.1	Amino acid transporter	0.636452	1.004287	0.697874	3.857437	2.908741	2.243295	3.551337	3.149605	3.396651	7.842193	5.597368	7.14771	7.619017	5.332453	6.327877	2.354618	2.103697	2.431504	3.909228	3.721657	4.980725	8.199169	8.343854	9.095999	0.410115	0.287964	0.284645	2.648618	1.583856	1.045717	1.982444	2.527411	1.938738	5.721158	5.865304	6.056782	7.122064	3.550216	5.272224	1.097581	1.535924	2.742369	4.000421	4.294497	5.416352	6.343057	5.576985	6.310351
Niben261Chr01g0565003.1	Dormancy-associated protein homolog 4	5.064849	12.295471	55.783204	27.763485	31.859043	17.938248	54.518304	70.487536	72.499997	23.364464	33.771563	27.780736	37.083602	25.339715	23.552604	27.43328	23.17998	16.124807	16.759274	22.61641	23.621644	72.498333	72.017828	42.676213	5.657036	4.752954	91.740095	20.972683	51.709681	35.506145	52.744223	76.371047	30.856724	14.701957	29.534932	41.196163	53.914934	20.419186	27.320219	19.798158	12.313329	20.650296	13.860187	20.505214	21.239166	32.895565	44.992632	36.215487
Niben261Chr01g0687007.1	mitochondrial import receptor subunit TOM20	9.698251	19.350867	11.653907	20.450944	21.41414	23.99685	29.652176	24.241692	23.47995	27.223797	28.957798	26.320584	29.881828	30.265226	29.986011	22.050124	21.61845	21.926209	22.55156	18.418574	16.63479	32.860623	31.872436	31.102428	10.820766	10.579278	11.407998	25.87768	17.971808	15.157534	18.776062	21.011072	21.536615	18.809155	24.237403	20.920216	27.403167	23.270997	27.026767	23.5829	25.30666	22.651421	24.13113	22.33395	20.318154	36.299715	34.481557	33.932911
Niben261Chr01g0723010.1	zinc transporter 1-like	0.382866	0.229833	0.207775	2.529039	4.214546	3.039827	2.480518	3.036472	4.021312	1.68227	1.261791	2.412025	2.450842	1.799294	1.822164	0.571341	2.225064	1.713451	2.171793	4.207979	2.905423	8.160125	9.297528	6.919561	0.451127	0.351956	0.244617	4.022342	6.727062	6.814997	6.509518	6.685963	6.954169	2.028106	2.079866	1.551826	1.583007	1.576953	1.433003	1.65624	2.81586	1.258131	3.861472	2.44633	3.346216	5.467428	4.182739	6.353762
Niben261Chr01g0754014.1	Serine/threonine protein kinase	1.494548	1.387586	2.392367	5.061705	6.579095	5.669603	13.588213	18.61269	21.703816	15.643728	21.601788	17.995339	13.73244	16.045873	14.431781	14.196832	13.264262	13.055553	3.568882	4.908051	4.243687	42.875519	40.456101	33.516266	1.550435	1.294918	4.284827	9.165161	11.504652	9.75934	21.533081	28.453204	24.527738	11.86444	16.087943	16.090739	17.542635	11.27831	9.137614	12.336546	10.814739	10.784378	5.119981	7.677939	6.71669	46.428666	40.252572	44.180642
