Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0006004.1	60S ribosomal protein L4-like"	NA	NA	NA	-0.596701152995871	NA	-0.601712211300583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0007001.1	ethylene-responsive transcription factor RAP2-7-like isoform X2"	NA	1.10727327463793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0008006.1	Nuclear transcription factor Y subunit B"	NA	NA	NA	NA	-0.69594538120548	NA	NA	NA	NA	NA	NA	NA	NA	0.711674598989237	NA	NA
Niben261Chr01g0014001.1	Cell number regulator 8"	-0.810800112020896	-0.771437763281832	-0.742021070989002	NA	-0.658752836402023	NA	NA	NA	NA	NA	NA	NA	NA	1.17296744186482	0.906886321055601	NA
Niben261Chr01g0015010.1	L-type lectin-domain containing receptor kinase VIII.1-like"	-1.71104009114265	-0.880534383711364	-1.33813202812546	NA	-0.664273141473385	NA	NA	NA	NA	NA	0.612502093810793	0.636686974221519	NA	1.70711795350849	1.13882499809402	NA
Niben261Chr01g0018001.1	dnaJ protein P58IPK homolog"	NA	NA	NA	0.826591740767682	0.698776544653823	0.806103080340912	0.644907810560529	0.908803314845425	0.767559359590495	NA	NA	NA	0.747004560880077	0.775004559763734	0.769350697292614	NA
Niben261Chr01g0036001.1	Cell division cycle protein 48 homolog"	-1.16336790841071	-1.40596764827526	-1.20818059330249	NA	-0.970132396692109	NA	NA	NA	NA	NA	-0.831452968401704	NA	-0.877020429115827	NA	NA	0.855204696170367
Niben261Chr01g0042007.1	H/ACA ribonucleoprotein complex non-core subunit NAF1"	NA	NA	NA	NA	-0.913517162461245	-1.36968334091367	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44587257170526
Niben261Chr01g0056001.1	Tetraspanin-19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18869650119842	1.05425823768431	NA
Niben261Chr01g0059002.1	E3 ubiquitin-protein ligase RMA1H1-like"	NA	NA	NA	NA	NA	NA	NA	NA	0.821970506268038	0.833222137515206	NA	NA	NA	1.089546155428	0.80098758775233	0.790746966299398
Niben261Chr01g0065004.1	Chr1:19761866-19762318 REVERSE LENGTH=150"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0076002.1	Diacylglycerol O-acyltransferase"	NA	-0.763985579421603	NA	-1.19606579300434	-1.00358553578144	-1.4376406232488	NA	NA	0.705548731209613	NA	NA	0.881338163524708	0.905770734435551	1.95666882255587	1.78151149726306	1.09662526586918
Niben261Chr01g0092007.1	Prohibitin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0013345075351
Niben261Chr01g0095015.1	Tr-type G domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.607623701106425	0.884851084999414	0.844507786381807	0.860061629960504
Niben261Chr01g0100004.1	E3 ubiquitin-protein ligase ATL41-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62079566754158	1.56190522836369	NA
Niben261Chr01g0144008.1	Receptor-like serine/threonine-protein kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.690960086638717	NA	NA	NA
Niben261Chr01g0161003.1	serine/threonine-protein kinase WAG1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1719163411297	1.10731050615698	NA
Niben261Chr01g0164008.1	endoplasmic reticulum oxidoreductin-1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.863995455796078	1.50825671012776	1.40558057435355	NA
Niben261Chr01g0167002.1	Vacuolar cation/proton exchanger"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13072727845535	0.960640359623655	NA
Niben261Chr01g0170002.1	Ras-related protein RABB1c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.587311990796923	NA	NA
Niben261Chr01g0210011.1	Glutathione s-transferase"	-0.811764473192567	-0.599774484361152	-0.723202259905069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0213005.1	Bystin"	NA	NA	NA	-0.588442006249689	NA	-0.697201342717618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0216003.1	CASP-like protein"	-1.02986667973016	NA	-0.693695516869074	-0.839423210243587	-0.596472540593048	-0.841419468976451	0.695487689631747	1.00802644583381	0.70707752033717	NA	NA	NA	2.70677225697534	2.25375008472538	2.27890036477124	0.620412969799628
Niben261Chr01g0269006.1	multiprotein-bridging factor 1b-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0280001.1	Protein kinase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0281008.1	Serine-rich repeat protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.648279242242304	NA	NA
Niben261Chr01g0287015.1	Sodium/calcium exchanger family protein"	-1.04820658014226	NA	-0.762346171933328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0304001.1	PPM-type phosphatase domain-containing protein"	-1.35985891340098	-1.38161503445167	NA	NA	-1.10953442280693	-1.0674952425948	NA	NA	NA	NA	NA	NA	NA	0.615747218372526	NA	NA
Niben261Chr01g0307011.1	3-hydroxybutyryl-CoA dehydrogenase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0348004.1	transmembrane protein 184C-like"	NA	NA	NA	1.44568615457904	1.15816117673177	1.56851406322673	2.04505102454014	1.4063189483387	1.60208122104806	1.54732922038649	1.99327494082216	1.87277296557336	1.80263280536292	2.15501265527832	2.09645000276804	-0.926187776171175
Niben261Chr01g0354004.1	Vesicle-associated protein 4-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0391006.1	21.7 kDa class VI heat shock protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0412003.1	Dead box ATP-dependent RNA helicase"	NA	NA	NA	-0.786125384191507	NA	-0.784004996843527	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.662333549609845
Niben261Chr01g0419004.1	Chr4:13548813-13550644 REVERSE LENGTH=343"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0442013.1	GrpE protein homolog"	NA	NA	NA	-0.683556756773632	NA	-0.685409863024479	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.620471086805851
Niben261Chr01g0443009.1	protein HOMOLOG OF MAMMALIAN LYST-INTERACTING PROTEIN 5-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06798748423825	0.975852083701927	NA
Niben261Chr01g0452001.1	Mitochondrial import inner membrane translocase subunit TIM22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00451457941516
Niben261Chr01g0460004.1	Abc transporter c family member 3"	NA	-1.59761060304738	NA	-1.36866925845397	-1.45633420913832	-1.34912292874237	NA	NA	0.617912942648538	NA	1.19306595706298	NA	0.84291133159831	2.05189073045882	1.68753227654628	1.31555709981005
