GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0098005.1	basic leucine zipper 61-like	0	0	0	0	0	0.221074	0	0	0	0.261543	0	0	0.118922	0.276043	0.337796	0	0	0	0.13277	0	0	0	0	0	0	0	0	0	0	0	0.218807	0.28883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niben261Chr01g0132001.1	Peroxidase	15.852852	24.39597	20.42719	24.689636	24.147679	22.071107	21.181802	16.481085	14.740329	6.458587	7.599056	6.901007	21.660617	12.706638	19.084407	9.044178	11.022111	15.45501	12.436436	5.370726	10.263686	5.076957	5.774103	3.082591	8.380161	14.42674	11.957142	26.102502	19.476771	13.950913	14.200179	14.947761	16.956218	13.445412	12.092992	8.829544	32.213366	19.330943	33.178673	13.839647	11.816055	27.644205	11.787904	8.650906	13.598205	8.003706	6.927315	6.434127
Niben261Chr01g0227007.1	GCV_T domain-containing protein	0.340672	0.330808	0.398453	1.848179	0.535727	0.556876	0.970681	0.465071	0.676509	0.992553	0.469975	1.121154	1.197274	0.840527	0.283737	1.581617	0.923931	1.301506	0.676358	0.869273	0.969463	0.668762	1.748236	1.059874	0.702469	1.096093	2.133058	0.67712	1.391241	0.716465	0.506812	0.470554	0.360954	0.765588	1.135189	1.773402	0.356698	0.568319	0	0.313333	0.876939	0	0.699199	0.788128	0.672278	1.220759	1.184204	0.679794
Niben261Chr01g0236002.1	Activity-dependent neuroprotector homeobox protein	3.210133	0.890622	1.072741	2.487894	1.442319	1.124443	1.74222	2.50419	1.366007	2.672218	2.530596	1.811068	5.640916	2.262923	4.201424	1.596801	0.621867	3.504001	3.641874	5.07068	1.305026	2.700728	2.059189	5.350243	6.61932	1.844358	0.820394	3.190228	2.809193	1.928916	2.728948	3.167139	1.457678	1.545875	0.764058	0.596809	1.920653	1.147549	2.120293	0	0	1.019866	1.88243	1.768208	1.357464	1.643304	2.125462	0.457547
Niben261Chr01g0377003.1	Transcription factor bhlh123	0.241181	0.19542	0.169277	0.029296	0.455084	0.164245	0.145115	0.275259	0.442896	0.043767	0	0	0.15698	0.04475	0.120495	0.250566	0	0.036847	0.191502	0.408096	0.296438	0.330717	0.309395	0.580329	0.248646	0.465523	0.043146	0.200026	0.35812	0.285095	0.152877	0.215429	0.408769	0.108402	0.281329	0.29994	0.165739	0.215415	0.159814	0.166628	0.082438	0.178833	0.448251	0.297507	0.18994	0.290282	0.503765	0.262055
Niben261Chr01g0505004.1	BTB domain-containing protein	0.147822	0.249232	0.048643	0.320821	0.314783	0.375177	0.334486	0.173227	0.422151	0.485721	0.534421	0.590607	0.305646	0.306475	0.225208	0.257094	0.412096	0.361379	0.387713	0.27085	0.276087	0.437209	0.194961	0.180423	0.466852	0.431245	0.266557	0.343106	0.631746	0.417961	0.430115	0.237685	0.509248	0.585726	0.724422	0.300141	0.908703	0.263767	0.287863	0.262583	0.170047	0.19699	0.408847	0.506079	0.226499	0.477139	0.290888	0.556641
Niben261Chr01g0747002.1	geraniol 8-hydroxylase-like	0	0	3.780862	2.192139	7.625153	2.642059	12.280874	4.412994	9.628951	6.278802	8.919058	4.255392	0	0	0	0	0	0	0	0	3.066366	9.518687	12.441578	10.056998	0	0	8.674411	0	3.300323	0	7.213611	8.930038	3.425047	10.896839	2.692914	8.413784	16.923301	2.69635	0	5.94635	2.773719	4.792677	0	4.985625	6.379154	2.895903	7.491166	3.225238
Niben261Chr01g0961002.1	sedoheptulose-1,7-bisphosphatase, chloroplastic-like	0.537497	0.227884	0	0	0.329512	0	0.422805	0.623756	0.385734	0.332351	0.230382	0.104887	0	0.130204	0.08086	0.263123	0	0.376787	0	0.151274	0	0.685822	0.189687	0.378952	0.245375	0.243049	0.068401	0.132311	0.443522	0.268368	0	0.255183	0.130937	0.749613	0.121147	0	0.309202	0.772666	0.071579	0.614833	0.937564	0.465143	0	0.391793	0.08683	0.406165	0.148267	0.182351
Niben261Chr01g1437002.1	Abc transporter c family member 3	0.0411	0.104177	0.093514	0.258221	0.177988	0.124483	0.109636	0.056234	0.08257	0.168242	0.18576	0.113491	0.192171	0.149146	0.109165	0.072635	0.100902	0.049121	0.173065	0.119318	0.154853	0.193072	0.207106	0.17431	0.067606	0.028154	0.06343	0.134511	0.174567	0.139896	0.174251	0.167714	0.198974	0.152731	0.137382	0.029655	0.162684	0.186533	0.173904	0.067466	0.546328	0.212409	0.145346	0.017253	0.040766	0.12462	0.052064	0.053211
Niben261Chr01g1548006.1	Lipoxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156101	0	0	0	0	0	0	0	0.091029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
