Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr02g0493016.1	Protein DETOXIFICATION"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.40520078554225
Niben261Chr02g0643004.1	Ubiquinol oxidase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.944707068661898	NA	NA	NA	NA	NA
Niben261Chr03g0084009.1	UDP-glucose 4-epimerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44002362354451
Niben261Chr03g0187019.1	Chr1:15891512-15894322 FORWARD LENGTH=426"	NA	0.678022527402452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.29773191069331	-0.925051721561459	NA
Niben261Chr03g1700009.1	Amino acid transporter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.846642155023488
Niben261Chr04g1147002.1	Methylcrotonoyl-coa carboxylase subunit alpha. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0497002.1	F-box/kelch-repeat protein At1g30090"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.625828675862261	-0.786370882478254	NA	NA
Niben261Chr06g0830002.1	transmembrane ascorbate ferrireductase 1-like"	NA	NA	NA	NA	0.594203543676844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10680673922036
Niben261Chr06g0978008.1	Protein ABHD18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g1155012.1	serine/threonine-protein kinase STY17-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g0139011.1	Chaperone protein dnaj 8. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.60745709483579	NA	NA	NA	NA	NA
Niben261Chr08g0410010.1	AB hydrolase-1 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g0458001.1	Pyruvate kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g0595003.1	Syntaxin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g1066024.1	DUF3700 domain-containing protein"	NA	1.37831728028356	NA	NA	1.16044075592509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59367937782082
Niben261Chr08g1344001.1	ethylene-responsive transcription factor RAP2-12-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.598188346572793	NA	NA
Niben261Chr09g0063010.1	chaperone protein dnaJ 20. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63252404336621	1.65708667427617	2.17331793173352	NA	NA	NA
Niben261Chr09g0976003.1	Auxin-repressed 12.5 kDa protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.590475096401968	NA
Niben261Chr09g0996015.1	F-box protein At1g55000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr09g1240004.1	serine/threonine-protein kinase STY46-like"	NA	NA	NA	0.906910772320158	0.750646145690957	0.808729437265225	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01632549184631
Niben261Chr10g0009009.1	caffeoylshikimate esterase-like"	NA	NA	NA	NA	0.713820043464552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0242001.1	Cyclin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.25601894534628	NA	0.870964807890437
Niben261Chr11g0697001.1	Chr1:15891512-15894322 FORWARD LENGTH=426"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751728670978379
Niben261Chr12g1557006.1	Upstream activation factor subunit UAF30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g1015012.1	Chr3:1831305-1831846 REVERSE LENGTH=151"	1.29065772410492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g1151018.1	ribosome-binding factor PSRP1. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.754206584780503	1.18671528281714	1.70690297963687	NA	NA	0.974373095718427
Niben261Chr14g0830004.1	Prespore protein like"	NA	1.06485480392653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65600109874078	1.3243144503811	1.29872850813511	NA
Niben261Chr15g0043010.1	monothiol glutaredoxin-S1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1072013.1	serine/threonine-protein kinase STY17-like"	0.85073214463226	0.6063135821869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0270015.1	Asparagine synthetase [glutamine-hydrolyzing] 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7705435695614
Niben261Chr17g0017004.1	Snf1-related protein kinase regulatory subunit beta-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr17g0263003.1	Aquaporin TIP2-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr17g0633002.1	Asparagine synthetase [glutamine-hydrolyzing]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.40760099438192
Niben261Chr17g0870006.1	NEDD8-activating enzyme E1 catalytic subunit-like"	0.88815292091053	0.862434564249562	NA	NA	NA	NA	1.61294066737394	NA	NA	NA	1.17884016423689	0.994587530391303	NA	NA	NA	NA
Niben261Chr18g0751003.1	Protein PTST homolog 2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g1077001.1	Sm domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g1460005.1	Chr2:10244921-10246715 FORWARD LENGTH=466"	NA	NA	NA	NA	NA	-0.843320675406093	NA	NA	NA	NA	NA	NA	0.663208967763071	NA	NA	NA
Niben261Chr19g0657007.1	Chr1:15891512-15894322 FORWARD LENGTH=426"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.19888920357854	NA	NA
Niben261Chr19g0746003.1	Transcription factor bhlh47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.887867863362394	0.731663922598444	NA
Niben261Chr19g0779002.1	Rhodanese-like domain-containing protein 11. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991198019578422
Niben261Chr19g1329002.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
