"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.midnightblue"	"p.MM.midnightblue"
"Niben261Chr13g0293003.1"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"midnightblue"	0.706225064005621	2.05000245760066e-08	0.858204594522221	6.43887202972231e-15	0.960473873550408	3.44826672611447e-27
"Niben261Chr17g0963022.1"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"midnightblue"	0.745824967272056	1.18218364471274e-09	0.880868718804391	1.51200175862925e-16	0.955686530906964	4.5418830165181e-26
"Niben261Chr12g0194004.1"	"Threonine dehydratase"	"midnightblue"	0.807894834132989	3.91321411356048e-12	0.855454761965277	9.70939124385383e-15	0.953076418460782	1.6470392401901e-25
"Niben261Chr08g0313002.1"	"cysteine protease inhibitor 8-like"	"midnightblue"	0.835465754483897	1.52229242971752e-13	0.946165453261901	3.60346241611946e-24	0.944345872359552	7.58943347096769e-24
"Niben261Chr07g0989006.1"	"Carbonic anhydrase"	"midnightblue"	0.811744428665211	2.56828327310075e-12	0.919851001988261	2.55659561314494e-20	0.93763860248141	9.66648491054763e-23
"Niben261Chr03g1904002.1"	"Proteinase inhibitor"	"midnightblue"	0.860774851295269	4.35177017064468e-15	0.920731871809476	2.00198163696732e-20	0.93529932149787	2.19823908655014e-22
"Niben261Chr08g0313003.1"	"cysteine protease inhibitor 8-like"	"midnightblue"	0.802881551006705	6.67827005483964e-12	0.942821432554588	1.38985469276238e-23	0.93355122476731	3.98217080617106e-22
"Niben261Chr12g0049014.1"	"CAPIP2"	"midnightblue"	0.692053258176035	5.09522051388399e-08	0.861600177359341	3.83100019380445e-15	0.92754394078234	2.73040045063155e-21
"Niben261Chr10g0129001.1"	"proteinase inhibitor I-B-like"	"midnightblue"	0.807876541435354	3.92096429368913e-12	0.96136856550832	2.05623809233346e-27	0.925506154103197	5.05383486239893e-21
"Niben261Chr04g0011008.1"	"phospholipase A1-Igamma2, chloroplastic-like"	"midnightblue"	0.717546793923004	9.5248801955699e-09	0.765516982504222	2.33711727674177e-10	0.924870994827334	6.10121015681041e-21
"Niben261Chr10g0129002.1"	"proteinase inhibitor I-B-like"	"midnightblue"	0.784471359327193	4.20213662978507e-11	0.939569361975054	4.78868301715839e-23	0.92193010785365	1.42891521140883e-20
"Niben261Chr09g0916004.1"	"Aspartic proteinase"	"midnightblue"	0.743429754700295	1.42547314567343e-09	0.820633533337286	9.35260323652657e-13	0.921248198313742	1.73235445715025e-20
"Niben261Chr12g0428010.1"	"Vacuolar-sorting receptor 1"	"midnightblue"	0.642316728275316	8.59712313989493e-07	0.766135055241322	2.21556988114875e-10	0.899852659252058	3.4450281335174e-18
"Niben261Chr06g1467002.1"	"Defensin-like protein"	"midnightblue"	0.741053242707809	1.71286495663892e-09	0.908509070340107	4.73848571042352e-19	0.881808085810295	1.27357923813045e-16
"Niben261Chr10g0135007.1"	"Proteinase inhibitor"	"midnightblue"	0.744285262958359	1.33362140603348e-09	0.930317529159238	1.14677223931495e-21	0.872630205504182	6.41954753013422e-16
"Niben261Chr03g0099007.1"	"Protein STAY-GREEN homolog, chloroplastic"	"midnightblue"	0.599583850268009	6.68941265296089e-06	0.736640635733842	2.39643704197866e-09	0.8620737218854	3.55951794340665e-15
"Niben261Chr06g1467010.1"	"Defensin-like protein"	"midnightblue"	0.726908159497418	4.9121293624761e-09	0.887169481741802	4.64773047198989e-17	0.853495921883959	1.29430947721262e-14
"Niben261Chr02g0093002.1"	"Cysteine-rich extensin-like protein"	"midnightblue"	0.78264897586248	4.9924479413424e-11	0.738749432693602	2.04281698061548e-09	0.849813393478706	2.19745916113342e-14
"Niben261Chr01g1772004.1"	"GDSL esterase/lipase CPRD49-like"	"midnightblue"	0.767250691927301	2.01112200439908e-10	0.8470359596617	3.24557338118501e-14	0.849787093907896	2.20566980226808e-14
"Niben261Chr12g1109004.1"	"Chr4:1512226-1513594 FORWARD LENGTH=310"	"midnightblue"	0.608531475849734	4.46238002795708e-06	0.783452791905064	4.62796397703636e-11	0.838957604657702	9.6717513461868e-14
"Niben261Chr02g0084019.1"	"Lipoxygenase"	"midnightblue"	0.702384623158416	2.63734594840244e-08	0.729875475943394	3.95958004814812e-09	0.832385965230581	2.25153660316154e-13
"Niben261Chr18g1266006.1"	"Glutamate dehydrogenase"	"midnightblue"	0.807262858449947	4.18954646850913e-12	0.753113501345083	6.60313141853853e-10	0.812343513106183	2.40329079509012e-12
"Niben261Chr06g0556002.1"	"Hypersensitive-induced response protein 1"	"midnightblue"	0.680282317161576	1.04467426192383e-07	0.824440362347489	5.9651808686616e-13	0.809795696672563	3.18230279616103e-12
"Niben261Chr15g1170010.1"	"Salicylic acid-binding protein 2"	"midnightblue"	0.658811970872837	3.56874716302266e-07	0.742225620500969	1.56488345412146e-09	0.805058392038666	5.30506464986625e-12
