Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
mRNA40	Photosystem I reaction center subunit IX"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0017010.1	zinc finger protein JACKDAW-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1973081684679	0.924497241032862	0.973028181734434	NA	NA	-0.651307582456353
Niben261Chr01g0039005.1	Acylphosphatase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.790445899035224	-1.77373156537547	-1.45475085465775	NA
Niben261Chr01g0061005.1	tRNA-uridine aminocarboxypropyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0064002.1	1.3-beta-glucan synthase"	NA	-0.969883047027103	NA	NA	-0.732487378070814	NA	NA	NA	NA	NA	NA	NA	NA	0.655809594711655	NA	-0.591337442209709
Niben261Chr01g0078002.1	Protein kinase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.610750496392126	NA	NA	NA
Niben261Chr01g0091006.1	glutaredoxin-C9-like"	NA	-1.35243962999928	NA	-1.69329642164399	-1.47094788141398	-1.66456199159377	NA	-1.24050205605921	NA	NA	1.24383881833403	NA	NA	NA	NA	-1.03690246925475
Niben261Chr01g0095003.1	Ras-related protein raba1f"	NA	-0.700991562495568	NA	NA	NA	NA	-0.742816693193743	NA	NA	NA	-0.696429033576192	NA	NA	NA	NA	NA
Niben261Chr01g0138013.1	Chr1:1772454-1773228 REVERSE LENGTH=189"	-1.00163906760199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.820365477484208	NA	NA	NA
Niben261Chr01g0144005.1	Receptor-like serine/threonine-protein kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0161003.1	serine/threonine-protein kinase WAG1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1719163411297	1.10731050615698	NA
Niben261Chr01g0166018.1	Unknown protein"	-2.30113341486131	-2.60400316751399	-2.21558414880467	-2.0113638821705	-2.00523736198167	-1.96328804222594	-0.643492184174595	NA	NA	NA	NA	NA	2.18704030528652	2.02032542022884	1.87051206760684	NA
Niben261Chr01g0236018.1	C2 domain-containing protein At1g53590-like"	NA	NA	NA	NA	NA	-0.698363680125767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0273002.1	epidermis-specific secreted glycoprotein EP1-like"	NA	-0.952571775016133	-1.2683548844325	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82132261165563	NA	0.906984585183963	0.741917595012855
