Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
mRNA11	DNA-directed RNA polymerase subunit beta''"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA12	DNA-directed RNA polymerase subunit beta'"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA13	DNA-directed RNA polymerase subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA18	Photosystem II reaction center protein Z"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA19	30S ribosomal protein S14. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA21	Photosystem I assembly protein Ycf3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.925923220326272	-0.835053856055354	NA
mRNA22	30S ribosomal protein S4. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA24	NAD(P)H-quinone oxidoreductase subunit K. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA26	ATP synthase epsilon chain. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA27	ATP synthase subunit beta. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA29	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA30	Photosystem I reaction center subunit VIII"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA31	Photosystem I assembly protein Ycf4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA32	Chloroplast envelope membrane protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA33	Cytochrome f"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA34	Photosystem II reaction center protein J"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA36	Cytochrome b559 subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA39	Cytochrome b6-f complex subunit 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA4	Photosystem II reaction center protein K"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA43	50S ribosomal protein L20. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA46	ATP-dependent Clp protease proteolytic subunit"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA48	Protein PsbN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA49	Photosystem II reaction center protein H"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA53	30S ribosomal protein S11. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA56	30S ribosomal protein S8. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA57	50S ribosomal protein L14. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA60	30S ribosomal protein S3. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA61	30S ribosomal protein S19. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA62	50S ribosomal protein L2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA65	Ycf15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA7	ATP synthase subunit b. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA70	NAD(P)H-quinone oxidoreductase chain 4. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA72	NAD(P)H-quinone oxidoreductase subunit 4L. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA73	NAD(P)H-quinone oxidoreductase subunit 6. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA75	NAD(P)H-quinone oxidoreductase subunit 1. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRNA76	NAD(P)H-quinone oxidoreductase subunit H. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0012010.1	Mitochondrial import inner membrane translocase subunit TIM14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0016001.1	Valyl-tRNA synthetase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0022001.1	Chr3:16557482-16557928 REVERSE LENGTH=148"	NA	1.49606012240279	NA	2.23173955975837	2.07135799466991	2.0542623297649	NA	NA	NA	NA	NA	NA	NA	NA	1.33378736781823	NA
Niben261Chr01g0041003.1	Heavy metal-associated isoprenylated plant protein 3"	NA	NA	NA	NA	NA	NA	NA	NA	0.684784840265387	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0049001.1	ATP synthase subunit beta. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0049003.1	photosystem II repair protein PSB27-H1. chloroplastic-like"	NA	0.715349541663635	NA	NA	NA	NA	1.01428002523298	NA	NA	NA	0.815433464154104	1.04503921068139	1.30933054685862	NA	NA	NA
Niben261Chr01g0057001.1	Prenyl-dependent CAAX protease"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.614070118985612
Niben261Chr01g0074004.1	ADP.ATP carrier protein. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0081020.1	DDB1- and CUL4-associated factor 13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0094006.1	fasciclin-like arabinogalactan protein 9"	0.985637447989828	1.48594632426078	1.19983539140153	NA	1.16882295912359	0.899565832461157	NA	1.61482143056295	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0116010.1	Ketol-acid reductoisomerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0129012.1	Serine/threonine-protein kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.670463477683476	NA	NA	NA	NA	NA
Niben261Chr01g0149003.1	TPT domain-containing protein"	NA	NA	NA	NA	NA	0.653473136566886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0176002.1	Alpha/beta-Hydrolases superfamily protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03353100544791	NA	NA	NA	NA	NA
Niben261Chr01g0192001.1	Transcription factor PAR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0196007.1	50S ribosomal protein L20. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0205005.1	[Acyl-carrier-protein] S-malonyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0212003.1	(S)-2-hydroxy-acid oxidase"	NA	NA	NA	NA	NA	NA	0.758758819903363	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0227008.1	DNA-directed RNA polymerase subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0244001.1	Chalcone-flavonone isomerase family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.815872619130746	NA	NA	NA
Niben261Chr01g0262008.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0292006.1	Exonuclease domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.820695133120686
Niben261Chr01g0296010.1	30S ribosomal protein S20. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.826144983038501	NA	NA	1.14435486918657
Niben261Chr01g0323001.1	thioredoxin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0380007.1	60S ribosomal protein L8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0387015.1	Protein kinase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.819755251827268
Niben261Chr01g0389012.1	40S ribosomal protein S27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0418003.1	Chr5:22280755-22281363 REVERSE LENGTH=202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0426002.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.979708912384947	NA	NA	2.11855061849563
Niben261Chr01g0442006.1	Peptidylprolyl isomerase"	NA	0.815212925026158	NA	NA	0.622951450891303	NA	NA	NA	NA	NA	NA	NA	0.815046548994171	0.912352279289544	0.953852967712628	0.694227922366129
Niben261Chr01g0450008.1	40S ribosomal protein S8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0477026.1	Nicotinamide-nucleotide adenylyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0487002.1	protein LNK1-like isoform X1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751373329953506	NA	NA	NA
Niben261Chr01g0496014.1	Calcineurin B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0501010.1	Fructose-bisphosphate aldolase"	NA	0.72291945917383	NA	NA	NA	NA	NA	NA	NA	NA	0.690266962990969	NA	0.849904603933602	NA	NA	NA
Niben261Chr01g0513006.1	actin-related protein 8-like"	NA	NA	NA	NA	NA	1.42701654145557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0539001.1	beta-xylosidase/alpha-L-arabinofuranosidase 2-like"	NA	NA	NA	NA	NA	-0.911126255463378	NA	NA	NA	NA	1.89938973565339	NA	NA	-1.27633864189365	NA	-0.634823481128391
Niben261Chr01g0543004.1	ATP synthase subunit c. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0567003.1	Arginine/serine-rich splicing factor"	NA	-0.64005640723031	NA	NA	NA	NA	-0.609360397116074	NA	NA	-0.585510435886986	-0.954145968832943	-1.25545155916085	-1.45984484464597	-0.639934669301808	-0.861142309797611	NA
Niben261Chr01g0591001.1	Photosystem I P700 chlorophyll a apoprotein A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
